,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B099YMDPSS,Solid Men Round Neck Multicolor T-Shirt (Pack of 4),INKKR,1,0,0,799,3.7,37,60,,1,37
1,B082KW55PC,Polo Collar T-Shirt for Plus Size Men,AMERICAN CREW,1,0,0,799,4.1,560,60,,1,560
2,B09BZZRBWH,Men's Regular Fit Polo T-Shirt,PRINTOCTOPUS,1,0,0,798,0,0,50,,1,"₹798
₹1,599 Save ₹801 (50%)"
3,B09MN7N3WM,Round Neck Cotton Tshirts for Men - 50 Colours,TAILRED,1,0,0,299,3.9,53,63,,0,53
4,B09CP1XSMK,Men's Cotton Half Sleeve Regular Fit Striped T-Shirt,RodZen,0,0,0,389,3.8,21,74,,0,21
5,B09QHRDB82,Regular Fit Half Sleeve Polo Men's T-Shirt,LEOTUDE,0,0,0,299,1.5,2,73,,0,2
6,B09CV152WG,Regular Fit Half Sleeve Men's T-Shirt,LEOTUDE,0,0,0,329,3.4,"1,471",70,,0,"1,471"
7,B096VYGB4R,Men's Slim T-Shirt,Integriti,0,0,0,158,3.6,27,84,,0,27
8,B08SHNCBMG,Mens Regular Fit Printed Cotton Polo Tshirt,BULLMER,0,0,0,439,4.1,834,56,,0,834
9,B06Y2DM9JL,Men's Polo,Allen Solly,0,1,0,585,4.1,"43,489",35,,1,"43,489"
10,B084L9LPM6,Men's Regular Fit T-Shirt (Pack of 3),Scott International,0,1,0,449,3.8,"24,707",81,,0,"24,707"
11,B09QHV3FY2,Regular Fit Full Sleeve Men's T-Shirt,LEOTUDE,0,0,0,299,2.0,2,73,,0,2
12,B08L9FWQ3G,Regular Fit Half Sleeve Men's Polo T-Shirt,LEOTUDE,0,0,0,329,3.6,291,70,,0,291
13,B08TH92K4Q,Regular Fit Half Sleeve Polo Men's T-Shirt,LEOTUDE,0,0,0,329,3.6,"1,045",70,,0,"1,045"
14,B07W3GH5S7,Men's Regular Fit T-Shirt,GRITSTONES,0,0,0,315,3.8,"1,041",76,,0,"1,041"
15,B0922TZG2K,KiwiCaves Polo Collar Neck Sports Cotton T-Shirt for Men and Boys,Generic,0,0,0,348,3.5,112,68,,1,112
16,B07B2X6LDJ,Men's Regular Fit T-Shirt (Pack of 4),AWG ALL WEATHER GEAR,0,0,0,529,3.5,"6,914",83,,1,"6,914"
17,B09C2JBSSC,Men's Slim T Shirt (Pack of 3),BULLMER,0,0,0,599,3.5,642,60,,1,642
18,B089B3C74D,Regular Men's Cotton Designer T-Shirt (EB1T67),EYEBOGLER,0,0,0,339,3.4,"2,137",74,,0,"2,137"
19,B098K2L2P5,Regular Fit Cotton Printed Men's T-Shirt,LEOTUDE,0,0,0,299,3.4,953,73,,0,953
20,B09MQW1SCY,"Mens Polo T-Shirt Emb,",Clothe Funn,1,0,0,499,4.4,7,75,,1,7
21,B08VWQCK75,Eco-Friendly Men's 50/50 Blend Double Coloured Polo T-Shirt,ECOLINE Clothing,1,0,0,609,4.3,13,21,,1,13
22,B0967JMHNB,Men's Slim Fit Neon Polo T-Shirt,RARE RABBIT,1,0,0,"1,319",0,0,40,,1,"₹1,319
40
₹2,199 Save ₹879.60 (40%)"
23,B07BTCZXQ2,Men's Cotton T-Shirt,fanideaz,1,0,0,499,3.5,"3,390",80,,1,"3,390"
24,B08JQKHXGN,Men's Printed Full Sleeve Slim Fit Cotton T-Shirt,Urbano Fashion,0,0,0,420,3.8,"1,803",62,,0,"1,803"
25,B09N3L78CN,Regular Fit Full Sleeve Men's T-Shirt (Color : Maroon),LEOTUDE,0,0,0,299,3.7,29,73,,0,29
26,B09KBJY64Y,Men's T Shirt-(Amt250105-P_Green),AELOMART,0,0,0,447,4.0,72,70,,0,72
27,B098L98857,"Men's Hooded Cotton Blend Checked T-Shirt : Black, White",LEWEL,0,0,0,349,3.6,161,83,,0,161
28,B07BQCVTSS,Men's Solid Regular Fit T-Shirt,EYEBOGLER,0,0,0,335,3.8,"7,309",74,,0,"7,309"
29,B08CDR6T1M,Men T-Shirt,EYEBOGLER,0,0,0,339,3.9,"6,235",74,,0,"6,235"
30,B08R5J1BDW,"Men's Cotton T Shirt (AWT1272-PN,Green)",AELOMART,0,0,0,448,3.9,610,70,,0,610
31,B08T7LRZ9D,Men's Regular Fit Printed Full Sleeve Soft & Strong Hooded T-Shirt,London Hills,0,0,0,399,3.8,594,69,,0,594
32,B08N55WRSX,Men's Regular Fit T-Shirt,EYEBOGLER,0,0,0,318,3.8,804,76,,0,804
