,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B084L8XZTV,Men's Regular Fit T-Shirt (Pack of 3),Scott International,0,1,0,429,3.8,"25,319",82,,0,"25,319"
1,B09QHRCN48,Regular Fit Half Sleeve Polo Men's T-Shirt,LEOTUDE,0,0,0,299,3.5,10,73,,0,10
2,B07B2X6LDJ,Men's Regular Fit T-Shirt (Pack of 4),AWG ALL WEATHER GEAR,0,0,0,499,3.5,"7,054",84,,1,"7,054"
3,B08HNC1K6B,AWG Men's Cotton Regular Fit Solid Polo Neck T-Shirt,AWG ALL WEATHER GEAR,0,0,0,349,3.6,"6,968",77,,0,"6,968"
4,B09CNYR7ZS,Men's Cotton Half Sleeve Regular Fit Striped T-Shirt,RodZen,0,0,0,299,4.0,31,80,,0,31
5,B079KGF18M,Men's Regular Fit T Shirt (Pack of 5),AWG ALL WEATHER GEAR,0,0,0,649,3.5,632,78,,1,632
6,B09BFVQTJH,Men's Regular T-Shirt,Levi's,0,0,0,669,4.1,15,44,,1,15
7,B089B3NSKX,Regular Men's Cotton Designer T-Shirt (EB1T67),EYEBOGLER,0,0,0,309,3.4,"2,219",76,,0,"2,219"
8,B098K1DKLJ,Regular Fit Cotton Printed Men's T-Shirt,LEOTUDE,0,0,0,299,3.4,990,73,,0,990
9,B07W1FDP11,Men's Regular Fit T-Shirt,GRITSTONES,0,0,0,309,3.9,"1,145",76,,0,"1,145"
10,B08N714Q2T,Men's Solid Regular fit T-Shirt,EYEBOGLER,0,0,0,349,3.7,"3,915",73,,0,"3,915"
11,B073X1MR71,Men's Regular T-Shirt,Amazon Brand - Symbol,0,0,0,379,4.0,"5,617",73,,0,"5,617"
12,B07NL7HD5H,Men's Regular Fit T-Shirt,Veirdo,0,0,0,299,4.1,"2,720",70,,0,"2,720"
13,B09H4BCKMY,Men's Cotton Printed Round Neck Loose Fit Oversized T-Shirt | Hip Hop Casual T-Shirt,JUGULAR,0,0,0,369,3.6,66,58,,0,66
