,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07BHBF369,Women's Regular T-Shirt,Amazon Brand - Symbol,1,1,0,385,4.2,"23,316",36,,0,"23,316"
1,B01MU37ZC5,Women's T-Shirt,FLEXIMAA,1,0,0,212,3.8,483,39,,0,483
2,B09NJS8T2S,Women's Regular T-Shirt,TAILRED,1,0,0,199,0,0,75,,0,"₹199
₹799 Save ₹600 (75%)"
3,B07JPDLCK7,Women's Regular T-Shirt,Amazon Brand - Symbol,1,0,0,442,4.2,"4,563",26,,0,"4,563"
4,B089FMP157,Stylish Plain Up and Down Cotton Tshirt for Women,Fabricorn,0,0,0,399,4.0,"8,005",67,,0,"8,005"
5,B09Q2ZYM1W,Regular Fit Half Sleeve Printed Women's Tshirt,LEOTUDE,0,0,0,299,0,0,73,,0,"₹299
₹1,099 Save ₹800 (73%)"
6,B097RPY5Y8,Women's Regular T-Shirt,VERO MODA,0,0,0,200,3.9,"1,198",75,,0,"1,198"
7,B09Q32TTTR,Regular Fit Half Sleeve Acid Wash Printed Women's Tshirt,LEOTUDE,0,0,0,299,3.0,1,73,,0,1
8,B08W3LJ8MR,Believe Tshirt for Women,ABSOLUTE DEFENSE,0,0,0,299,3.8,798,70,,1,798
9,B07M7K7KHW,Women's Regular T-Shirt,Amazon Brand - Symbol,0,1,0,243,4.2,"23,316",59,,0,"23,316"
10,B09GKLWHLK,Casual Full Sleeve High Neck | Turtle Neck Cotton T-Shirt for Women/Girls,DIAZ,0,0,0,305,3.7,58,67,,0,58
11,B09H2KTJ41,Cotton Half Sleeve Oversized Cow & Zebra Printed T-Shirt for Women/Girls,Veirdo,0,0,0,399,3.9,76,67,,0,76
12,B08W9G5Z78,Tie Dye T-Shirt for Women/Girls,JUNEBERRY,0,0,0,349,4.0,"2,211",71,,0,"2,211"
13,B09C6QQZKL,Women's Regular T-Shirt (Pack of 2),Max,0,0,0,439,4.1,105,20,,0,105
14,B09D3TRJ8B,Women's & Girls' Solid Long Sleeve Top/T-Shirt,Aahwan,0,0,0,359,3.2,132,82,,0,132
15,B09Q3C6SL8,Regular Fit Half Sleeve Camo Print Women's Tshirt,LEOTUDE,0,0,0,299,4.0,3,73,,0,3
16,B07V9CPVJL,Women's Regular Fit T-Shirt,JUNEBERRY,0,0,0,299,4.1,782,75,,0,782
17,B083DXHK86,Women's T-Shirt,Veirdo,0,0,0,349,4.1,"1,554",71,,0,"1,554"
18,B081QJ141F,"Women Printed Top with Half Sleeves for Office Wear, Casual Wear, Under 399 Top for Women/Girls Top",DHRUVI TRENDZ,0,0,0,299,3.9,456,85,,0,456
