,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07BHBF369,Women's Regular T-Shirt,Amazon Brand - Symbol,1,1,0,439,4.2,"23,374",27,,0,"23,374"
1,B09NJS8T2S,Women's Regular T-Shirt,TAILRED,1,0,0,199,0,0,75,,0,"₹199
₹799 Save ₹600 (75%)"
2,B07JPDLCK7,Women's Regular T-Shirt,Amazon Brand - Symbol,1,0,0,442,4.2,"4,577",26,,0,"4,577"
3,B083T2ZNK6,Women's Regular T-Shirt,Amazon Brand - Symbol,1,0,0,286,4.1,282,68,,0,282
4,B08W9G5Z78,Tie Dye T-Shirt for Women/Girls,JUNEBERRY,0,0,0,329,4.0,"2,231",73,,0,"2,231"
5,B084V1H1GW,Women's & Girl's Classic Fit T-shirt (Set of 5),NIVIK,0,0,0,799,4.0,"1,234",43,,1,"1,234"
6,B089FMP157,Stylish Plain Up and Down Cotton Tshirt for Women,Fabricorn,0,0,0,379,4.0,"8,035",68,,0,"8,035"
7,B09Q335CXG,Regular Fit Half Sleeve Acid Wash Printed Women's Tshirt,LEOTUDE,0,0,0,299,4.0,3,73,,0,3
8,B07M7K7KHW,Women's Regular T-Shirt,Amazon Brand - Symbol,0,1,0,244,4.2,"23,374",59,,0,"23,374"
9,B09Q2ZYM1W,Regular Fit Half Sleeve Printed Women's Tshirt,LEOTUDE,0,0,0,299,5.0,3,73,,0,3
10,B09GKLWHLK,Casual Full Sleeve High Neck | Turtle Neck Cotton T-Shirt for Women/Girls,DIAZ,0,0,0,305,3.6,63,67,,0,63
11,B07XP769YJ,100% Cotton Multicolored Stylish Round Neck T-Shirt for Women/Girls,JUNEBERRY,0,0,0,299,3.6,"1,186",75,,0,"1,186"
12,B09H2KTJ41,Cotton Half Sleeve Oversized Cow & Zebra Printed T-Shirt for Women/Girls,Veirdo,0,0,0,399,3.9,79,67,,0,79
13,B08H1TGWX7,Regular Fit Printed Cotton Half Sleeve T-Shirt for Women (JB_TSH_54_Wow_P),JUNEBERRY,0,0,0,299,3.8,500,75,,0,500
14,B09C4Y6LTL,Women's Regular T-Shirt,Max,0,0,0,299,5.0,1,0,,0,1
15,B07JQH5G2W,Women's Solid Regular Fit Half Sleeve T-Shirt (Combo Pack of 3),Amazon Brand - Symbol,0,0,0,678,4.2,"4,052",24,,1,"4,052"
16,B083DXHK86,Women's T-Shirt,Veirdo,0,0,0,329,4.1,"1,560",73,,0,"1,560"
17,B09C6QQZKL,Women's Regular T-Shirt (Pack of 2),Max,0,0,0,449,4.1,113,18,,0,113
18,B07V9CPVJL,Women's Regular Fit T-Shirt,JUNEBERRY,0,0,0,299,4.1,787,75,,0,787
19,B08P7HBNY6,Women's Cotton Regular Fit Half Sleeves Printed T-Shirt,JUNEBERRY,0,0,0,349,4.2,874,71,,0,874
20,B08WPZL5CP,Womens Printed Round Neck Tshirt | Top | Tee (Pack of 3),Womens,1,0,0,699,4.1,47,61,,1,Club A9
21,B08BTMMBFF,Women's Loose Fit T-Shirt,Amazon Brand - Symbol,1,0,0,315,4.0,77,68,,0,77
22,B08BTSX9HW,Women's Regular T-Shirt,Amazon Brand - Symbol,1,0,0,334,3.8,70,63,,0,70
23,B08WNGRW3P,Womens Round Neck Tshirt | Top | Tee (Pack of 2),Womens,1,0,0,469,4.2,17,61,,0,Club A9
24,B08QD8FLJJ,Women's T-Shirt,Fabricorn,0,0,0,299,4.0,992,75,,0,992
25,B09D3TRJ8B,Women's & Girls' Solid Long Sleeve Top/T-Shirt,Aahwan,0,0,0,359,3.2,136,82,,0,136
26,B09Q3C6SL8,Regular Fit Half Sleeve Camo Print Women's Tshirt,LEOTUDE,0,0,0,299,4.0,3,73,,0,3
27,B08FYC8PH1,Women's Regular Fit T-Shirt,Van Heusen Woman,0,0,0,349,3.9,314,50,,0,314
28,B09MJ43SBQ,Women's Cotton Long/Knee Length T-Shirt,JUNEBERRY,0,0,0,399,3.8,4,75,,0,4
29,B07SH8DYWW,Women's Regular fit T-Shirt,Levi's,0,0,0,500,4.0,53,50,,1,53
30,B08FGBXZT6,Women's Long T-Shirt,RG,0,0,0,260,3.8,680,74,,1,680
31,B08SSNHL1M,Women's Regular T-Shirt,Max,0,0,0,174,3.6,58,42,,0,58
32,B084P6BR4F,504 69GAL Women Round Neck T-Shirt(Pack of 1),SHAUN,0,0,0,359,3.9,"1,617",70,,1,"1,617"
33,B09H2N4TFP,Cotton Half Sleeve Oversized Zebra Printed T-Shirt for Women/Girls (X-Large) White,Veirdo,0,0,0,399,3.5,20,67,,0,20
34,B09CTK9HJX,Women's Cotton 3/4 Sleeve Regular Fit T-Shirt,Veirdo,0,0,0,284,3.9,231,76,,0,231
35,B081QJ141F,"Women Printed Top with Half Sleeves for Office Wear, Casual Wear, Under 399 Top for Women/Girls Top",DHRUVI TRENDZ,0,0,0,299,3.9,458,85,,0,458
36,B08SSSKYCN,Women's Regular T-Shirt,Max,0,0,0,269,3.7,101,10,,0,101
37,B08TC5XV56,Tie Dye Regular Fit Half Sleeves T-Shirts for Women,JUNEBERRY,0,0,0,349,4.1,470,71,,0,470
38,B09B7D95YT,1019 T-Shirts for Women,THE BLAZZE,0,0,0,449,3.5,192,55,,1,192
39,B092JBSR2F,Cotton Full Sleeve Regular Fit T-Shirt for Women/Girls,JUNEBERRY,0,0,0,349,4.0,330,71,,0,330
40,B09JSNQTXK,Cotton Drop Shoulder Half Sleeve Camouflage Crop T-Shirt for Women/Girls,Veirdo,0,0,0,299,4.2,24,75,,0,24
41,B0963YRLS4,Women T-Shirt (103WTS1_$P_Pack of 1),SHAUN,0,0,0,269,3.7,7,78,,1,7
42,B09Q2ZRN7G,Regular Fit Half Sleeve Printed Women's Tshirt,LEOTUDE,0,0,0,299,3.0,2,73,,0,2
43,B08RC432MN,Women's Regular T-Shirt,Harpa Basics,0,0,0,399,4.0,109,60,,0,109
44,B09H2MDCCG,Cotton Half Sleeve Drop-Shoulder Oversized Printed T-Shirt for Women/Girls,JUNEBERRY,0,0,0,349,4.0,34,71,,0,34
45,B09C6PXS1X,Women's Regular T-Shirt (Pack of 2),Max,0,0,0,399,4.3,463,20,,0,463
46,B0936S5WFR,Women Round Neck Polo Full Sleeve Tshirt,CRAFTLY,0,0,0,498,4.2,76,55,,0,76
47,B08W3LJ8MR,Believe Tshirt for Women,ABSOLUTE DEFENSE,0,0,0,299,3.8,799,70,,1,799
48,B09NRD3HP9,Graphic Printed T-Shirt for Women Funny Quote BTS| English Slogan Stylish T Shirt | Round Neck Stylish Tees | 100% Cotton T Shirts | Half Sleeve Office tees,Tee Stores,0,0,0,199,4.7,5,80,,0,5
49,B0832GQYR8,Stylish Plain Green Long Sleeve Cotton Tshirt for Women (Green),Fabricorn,0,0,0,409,3.8,"1,935",66,,0,"1,935"
50,B07NSWRG1Z,Women's T-Shirt,WC Right,0,0,0,375,4.0,855,62,,0,855
51,B075L5Y8C4,Women's T-Shirt,MIDAAS,0,0,0,209,4.1,"1,280",58,,0,"1,280"
52,B08CVKJSDB,Women's T-Shirts,Broadstar,0,0,0,499,3.5,393,75,,1,393
53,B08CZV4HWG,Women's T-Shirt,Plush,0,0,0,349,3.6,730,61,,0,730
54,B09Q2XDKLS,Regular Fit Half Sleeve Printed Women's Tshirt,LEOTUDE,0,0,0,299,4.5,2,73,,0,2
55,B0856VCNLZ,Women's T-Shirt (Pack of 3),SHAUN,0,0,0,719,4.0,"4,566",64,,1,"4,566"
56,B08WPGY2P4,Womens Printed Round Neck Tshirt | Top | Tee (Pack of 3),Womens,1,0,0,699,4.3,51,61,,1,Club A9
57,B083JMZMP5,Women's Regular T-Shirt,Amazon Brand - Symbol,1,0,0,603,4.3,"1,757",45,,1,"1,757"
