,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B087JYRGDG,AmazonBasics 139cm (55 inch) 4K Ultra HD Smart LED Fire TV AB55U20PS (Black),AmazonBasics,1,0,0,"37,999",4.0,"2,183",42,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"2,183"
1,B08BXYM4JW,Hisense 177 cm (70 inches) 4K Ultra HD Smart Certified Android LED TV 70A71F (Black) (2021 Model) | With Dolby Vision and ATMOS,Hisense,1,0,0,"79,990",4.2,"3,167",33,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"3,167"
2,B09F9YQQ7B,Redmi 80 cm (32 inches) HD Ready Smart LED TV | L32M6-RA (Black) (2021 Model) | With Android 11,Redmi,0,0,0,"14,999",4.3,"17,373",40,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"17,373"
3,B08B42HNH7,OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),OnePlus,0,0,0,"25,999",4.2,"30,656",13,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"30,656"
4,B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),OnePlus,0,1,0,"16,499",4.2,"30,656",18,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"30,656"
5,B09G73T643,Redmi 108 cm (43 inches) Full HD Smart LED TV | L43M6-RA (Black) (2021 Model) | With Android 11,Redmi,0,0,0,"23,999",4.3,"17,373",31,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"17,373"
6,B099L2V8HX,Acer 80 cm (32 inches) Boundless series HD Ready Android Smart LED TV AR32AP2841HDFL (Black) (2021 Model) | With Frameless Design,Acer,0,0,0,"13,999",4.3,"1,281",39,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"1,281"
7,B07M9K7HX8,eAirtec 81 cms (32 inches) HD Ready Smart LED TV 32DJSM (Black) (2020 Model),eAirtec,0,0,0,"10,490",3.9,"3,589",25,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"3,589"
8,B09HQSV46W,Mi 100 cm (40 inches) Horizon Edition Full HD Android LED TV 4A | L40M6-EI (Black) (2021 Model),Mi,0,0,0,"22,999",4.3,"46,347",23,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"46,347"
9,B07MNH2VR8,eAirtec 102 cms (40 inches) HD Ready Smart LED TV 40DJSM (Black) (2020 Model),eAirtec,0,0,0,"14,490",3.9,"2,617",28,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"2,617"
10,B093LMH4N6,Mi 138.8 cm (55 inches) Q1 Series 4K Ultra HD Smart QLED TV | L55M6-EQG (Metallic Grey) (2020 Model),Mi,1,0,0,"57,999",4.4,8,3,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,8
11,B08MM4LK85,Hisense 139 cm (55 inches) 4K Ultra HD Smart Certified Android LED TV 55A73F (Black) (2020 Model) | With JBL 6 Speaker System,Hisense,1,0,0,"47,990",4.4,"1,614",31,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"1,614"
12,B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),Mi,0,0,0,"24,999",4.3,"46,347",29,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"46,347"
13,B08PV1X771,Samsung 80 cm (32 inches) Wondertainment Series HD Ready LED Smart TV UA32TE40AAKBXL (Titan Gray) (2020 Model),Samsung,0,0,0,"18,490",4.3,"11,822",12,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"11,822"
14,B08Y55LPBF,Redmi 126 cm (50 inches) 4K Ultra HD Android Smart LED TV X50|L50M6-RA (Black) (2021 Model),Redmi,0,0,0,"34,999",4.3,"17,373",22,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"17,373"
15,B09C8D3XF6,Vu 108 cm (43 Inches) Premium 4K Series Smart Android LED TV 43PM (Grey) (2021 Model),Vu,0,0,0,"28,999",4.2,236,42,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,236
