,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07GVZFN92,Amazon Brand - Solimo 3 Ply Toilet Paper/Tissue Roll - 12 Rolls (160 Pulls Per Roll),Amazon,1,1,0,314,4.2,"11,526",10,"Thursday, February 17",1,"11,526"
1,B07M7H1MDM,Amazon Brand - Solimo 3 Ply Toilet Paper Tissue Roll - 4 Rolls (300 Pulls Per Roll),Amazon,1,0,0,259,4.4,"1,362",8,"Thursday, February 17",1,"1,362"
2,B00VY567Q6,"Scott 3 Ply Toilet Paper - 12 Toilet Tissue Rolls x 160 Pulls (1920 Pulls)- Bathroom Tissue From Kimberly Clark, White",Scott,1,0,0,264,4.1,440,24,"Saturday, February 19",0,440
3,B00E3QVP06,Origami So..Soft - 3 Ply Toilet Paper | Tissue Roll - Pack of 6 Rolls (160 Pulls Per Roll) Total 960 Pulls,Origami,1,0,0,225,4.3,"1,317",0,"Thursday, February 17",1,"1,317"
4,B07GVZFN92,Amazon Brand - Solimo 3 Ply Toilet Paper/Tissue Roll - 12 Rolls (160 Pulls Per Roll),Amazon,0,1,0,314,4.2,"11,526",10,"Thursday, February 17",1,"11,526"
5,B07HRQ677T,Softouch 2 Ply Toilet Paper Tissue Roll Family Pack 6-in-1 (230 Sheets Per roll),Softouch,0,0,1,159,4.1,"3,829",32,"Thursday, February 17",1,"3,829"
6,B00W1G5KQU,Origami So.Soft - 3 Ply Toilet Paper | Tissue Roll - 12 in 1-12 Rolls - 160 pulls per roll - Total 1920 pulls,Origami,0,0,0,363,4.1,"6,522",7,"Thursday, February 17",1,"6,522"
7,B00E3QVP06,Origami So..Soft - 3 Ply Toilet Paper | Tissue Roll - Pack of 6 Rolls (160 Pulls Per Roll) Total 960 Pulls,Origami,0,0,0,225,4.3,"1,317",0,"Thursday, February 17",1,"1,317"
8,B0797GJWX3,Presto! 3 Ply Toilet Paper Tissue Roll - 4 Rolls (300 Sheets Per Roll),Presto!,0,0,0,280,4.3,"3,235",0,"Thursday, February 17",1,"3,235"
9,B081NS2NSZ,Origami So..Soft - 3 Ply Toilet Paper | Tissue Roll - 10 in 1 - 10 Rolls - 160 pulls per roll - Total 1600 pulls,Origami,0,0,0,0,4.2,750,0,,0,750
10,B09BYZWSCM,Softouch Excel Toilet Roll Tissue Paper Pack of 2 (450 pulls Per Roll) (900 pulls),Softouch,0,0,0,99,4.1,90,18,"Thursday, February 17",1,90
11,B08HML4SDJ,Softouch 2 Ply Toilet Paper Tissue Roll 10-in-1 set (Multicolour),Softouch,0,0,0,239,4.1,635,19,"Thursday, February 17",1,635
12,B07M7H1MDM,Amazon Brand - Solimo 3 Ply Toilet Paper Tissue Roll - 4 Rolls (300 Pulls Per Roll),Amazon,0,0,0,259,4.4,"1,362",8,"Thursday, February 17",1,"1,362"
13,B077G8GK45,Selpak Super Soft Toilet Paper - Pack of 9 Rolls,Selpak,0,0,0,445,4.6,829,16,"Monday, February 21",1,829
14,B01128LI2C,Premier Tissues Toilet Tissue 160 Pulls 2 Ply Roll 10+2 Pack,Premier,0,0,0,194,4.0,729,34,"Sunday, February 20",0,729
15,B01N2Z3RMU,Selpak Imported 3Ply Toilet Tissue Paper - 16 Rolls,Selpak,0,0,0,898,4.7,423,22,"Monday, February 21",1,423
16,B08R6CQFC9,SELPAK Deluxe Toilet Roll Bamboo Enriched Tissue 3ply 4rolls/pack,SELPAK,0,0,0,266,4.5,132,11,"Thursday, February 17",1,132
17,B08HMNX4F2,SofTouch Toilet Paper Tissue Roll Economy Pack 4-in-1 (100 mtr roll) (455 Sheet Per roll),SofTouch,0,0,0,159,4.2,995,28,"Thursday, February 17",1,995
18,B08ZPQGHF4,Softouch 3 Ply Toilet Paper tissue roll 12-in-1 set- (160 pulls per roll) Total 1920 Pulls,Softouch,0,0,0,279,4.1,249,14,"Thursday, February 17",1,249
19,B09QYS7X6D,"Toilet tissue paper roll, 2 Ply, 10 rolls Toilet Paper Roll ",Toilet,0,0,0,164,4.0,1,78,"Sunday, February 20",0,1
20,B00VY56BXK,"Scott 3 Ply Toilet Paper - 12 Toilet Tissue Rolls x 300 Pulls (3600 Pulls)- Bathroom Tissue From Kimberly Clark, White",Scott,1,0,0,487,4.1,92,11,"Thursday, February 17",0,92
21,B097PTGNTF,Amazon Brand - Presto ! 3 Ply Toilet Paper Tissue Roll - 12 Rolls (160 Pulls Per Roll),Amazon,1,0,0,330,4.3,"3,235",6,"Thursday, February 17",1,"3,235"
22,B09P1HVDZM,"Kleenex 3 PLY Ultra Soft Aloe Clean Toilet Paper with Aloe Vera Extracts - Toilet Tissue - 10 Bathroom Tissue Rolls x 190 Pulls/Toilet Roll - From Kimberly Clark,White,90716",Kleenex,1,0,0,594,0,0,1,"Thursday, February 17",1,"₹594
₹599 Save ₹5 (1%)"
23,B09P1J367K,"Kleenex 3 PLY Scented Aroma Clean Toilet Paper with Floral Scent - Fragranced Toilet Tissue - 10 Bathroom Tissue Rolls x 190 Pulls/Toilet Roll - From Kimberly Clark,White,90715",Kleenex,1,0,0,599,4.5,2,0,"Thursday, February 17",1,2
24,B00NSL9WEI,Selpak Toilet Paper Bathroom Tissue Roll - 3Ply (4 Rolls/Pack),Selpak,0,0,0,300,4.5,944,0,"Wednesday, February 23",0,944
25,B00E3QVNJY,Origami So.Soft 3 Ply Toilet Roll - 340 Sheets,Origami,0,0,0,0,4.4,64,0,,0,64
26,B07B4FWNKW,KLEENEX® Toilet Tissue 60047 - 2 ply Toilet Paper - 6 Toilet Rolls x 160 Toilet Tissue Sheets - Sheet Size 11 x 10 cm (960 sheets),KLEENEX®,0,0,0,299,4.2,982,0,"Thursday, February 17",0,982
27,B08KG3N3W5,2 Ply Toilet Paper/Toilet Roll/Toilet Tissue - 6 in 1-6 Rolls - 160+ sheet per roll (comes with plain packaging) 100% quality product guarantee,2,0,0,0,129,4.0,1,48,"Sunday, February 20",0,1
28,B08P7CHH98,Origami Good Karma toilet roll - 4in1,Origami,0,0,0,261,4.4,147,5,"Sunday, February 20",1,147
29,B07BBHZL1X,"Big Bazaar Combo - Paseo Toilet Tissue Paper Roll Smart, 10 Numbers (Buy 1 Get 1, 2 Pieces) Promo Pack",Big,0,0,0,528,4.2,154,25,"Sunday, February 20",1,154
30,B00NSMEH9C,Selpak Toilet Roll - 3Ply (8 Rolls/Pack),Selpak,0,0,0,579,4.6,830,2,"Monday, February 21",1,830
31,B09KCH2YVR,Selpak Super Soft Toilet Paper - Pack of 18 Rolls,Selpak,0,0,0,864,4.4,22,17,"Monday, February 21",1,22
32,B08G8R1Q8L,Beeta Ultra-Soft Toilet Paper | Mirasa Toilet Roll 12 In 1 Pack | 3 Ply,Beeta,0,0,0,358,4.2,12,31,"Sunday, February 20",1,12
33,B08BRGMCR2,"XURO, Paseo Imported 2 Ply Toilet Tissue Paper (10 Rolls)","XURO,",0,0,0,258,4.1,289,35,"Sunday, February 20",1,289
34,B08L9VVNNS,Globomotive 4 Ply Toilet Paper/Tissue Roll (Pack of 4-160 Pulls Per Roll),Globomotive,0,0,0,265,4.0,97,67,"Sunday, February 20",1,97
35,B08GZ1H8CL,Origami 3 Ply So Soft Tissue Roll - 4 Rolls (340 Pull),Origami,0,0,0,199,4.2,46,33,"Sunday, February 20",0,46
36,B08P9DXNX1,Origami Good Karma toilet tissue roll- 320 sheets- 3Ply- pack of 6 single rolls,Origami,0,0,0,0,4.0,59,0,,0,59
37,B01LXZIQVM,Bella India No1 Karo White Toilet Tissue Roll - 12 Rolls,Bella,0,0,0,360,4.1,391,7,"Thursday, February 17",1,391
38,B09J2X6FRY,"Premier 3 Ply Quick Absorbent Toilet Paper/Tissue Roll | 300 Pulls, 4 Rolls, Total 1200 Pulls |",Premier,0,0,0,248,4.2,4,23,"Sunday, February 20",1,4
39,B09BVXJY1J,Vinda 4D Emboss Supreme and Ultra Soft - 4 ply Bathroom / Toilet Tissue 10 Rolls - 220 pulls per roll - Total 2220 pulls,Vinda,0,0,0,550,5.0,3,51,"Sunday, February 20",1,3
40,B07CJZV8RY,Rolia's 10 Toilet Roll (White),Rolia's,0,0,0,221,4.1,831,31,"Sunday, February 20",0,831
41,B08NX6NJ1D,Kleenex Toilet Tissue 92544-3 Ply Toilet Paper - 12 Toilet Rolls x 165 Toilet Tissue Sheets (1980 total),Kleenex,0,0,0,549,3.9,87,27,"Thursday, February 17",1,87
42,B09RHH7YDJ,"2 Ply Toilet Paper/Toilet Tissue Roll with 100% Natural Tissue, Extra Soft Tissue Paper- Pack of 2 (2 Ply, 160 Sheets per roll - Total 320 Sheets)",2,0,0,0,69,0,0,65,"Sunday, February 20",0,"₹69
₹199 Save ₹130 (65%)"
43,B08DDC9TMS,Galaxia Toilet Tissues Jumbo Pack of 10 Rolls (1),Galaxia,0,0,0,219,4.2,466,32,"Sunday, February 20",0,466
44,B079GXGHKW,"Premier Toilet Tissue - 190 Pulls (2 Ply Roll, Pack of 12)",Premier,0,0,0,240,3.9,67,25,"Monday, February 28",0,67
45,B09HPWBBPN,"BKT-HOMEMATE Quick Absorbent Toilet Roll/Tissue |160 Pulls, 3 Ply| ,Pack of 4 Rolls",BKT-HOMEMATE,0,0,0,125,4.2,5,22,"Monday, February 21",1,5
46,B07DW5Z1LK,Selpak Imported Perfumed Powder 3Ply Toilet Tissue Paper - 8 Rolls,Selpak,0,0,0,555,4.6,227,13,"Monday, February 21",1,227
47,B01N2NP1TA,Amazon Brand - Solimo 3 Ply Toilet Paper Tissue Roll - 4 Rolls (300 Sheets Per Roll),Amazon,0,0,0,280,4.2,651,0,"Saturday, February 19",1,651
48,B09RTVNJCQ,Bajrang Toilet Tissue Paper 3 Ply | Tissue Roll - 10 in 1 - 10 Rolls - 160 pulls per roll - Total 1600 pulls,Bajrang,0,0,0,240,0,0,29,"Tuesday, February 22",0,"₹240
₹340 Save ₹100 (29%)"
49,B07DJB68ND,Jackson Toilet Paper 2 Ply (Pack of 10 Rolls) 270+ Tissue Paper Pulls/Roll Guaranteed! - 2700+ Tissue Pulls,Jackson,0,0,0,275,4.1,556,45,"Sunday, February 20",0,556
50,B09F3VT1GM,"Coze Toilet Tissue Paper Roll - Elite (3 Ply, 300 Pulls) | Pack of 4 | 100% skin safe FDA approved, OBA free | Lush 3 ply comfort | Toilet Roll | Bathroom Tissue Paper roll | Tissue Rolls for Toilet",Coze,0,0,0,299,4.3,120,7,"Saturday, February 19",1,120
