,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08H4T6B2M,"Synqe USB Type C Cable Fast Charging Charger Cord 3A QC 3.0 Data Cable Compatible for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 Flash Charge (1M, Grey)",Synqe,1,0,0,349,4.3,"1,916",68,"Friday, February 18",1,"1,916"
1,B08WRWPM22,boAt Micro USB 55 Tangle-Free Cable with 3A Fast Charging & 480mbps Data Transmission(Black),boAt,1,0,0,199,4.1,"8,928",60,"Thursday, February 17",1,"8,928"
2,B0825D8KNS,boAt A 350 Type C Cable 1.5m (Black),boAt,0,1,0,299,4.4,"22,747",63,"Thursday, February 17",1,"22,747"
3,B01GGKYKQM,AmazonBasics USB Type-C to USB-A 2.0 Male Cable - 3 Feet (0.9 Meters) - Black,AmazonBasics,0,0,0,329,4.3,"53,488",53,"Thursday, February 17",1,"53,488"
4,B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Portronics,0,0,1,169,4.4,"5,464",58,"Thursday, February 17",1,"5,464"
5,B08R69WBN7,"Pinnaclz Original Made in India Combo of 2 USB Type C Fast Charging Cable, USB C Data Cable for Data Transfer Perfect for Mi & Samsung Smart Phones White 1.2 Meter (Pack of 2)",Pinnaclz,0,0,0,149,4.1,"5,026",75,"Thursday, February 17",1,"5,026"
6,B08H4T6B2M,"Synqe USB Type C Cable Fast Charging Charger Cord 3A QC 3.0 Data Cable Compatible for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 Flash Charge (1M, Grey)",Synqe,0,0,0,349,4.3,"1,916",68,"Friday, February 18",1,"1,916"
7,B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data & Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices - (Black)",pTron,0,0,0,199,3.9,"16,153",80,"Thursday, February 17",1,"16,153"
8,B07GVGTSLN,"Wayona USB Type C Charger Cable Fast Charging USB C Cable/Cord Compatible for Samsung Galaxy S10e S10 S9 S8 Plus S10+, Note 10 Note 9 Note 8,S20,M31s,M40, Realme X3, LG , Pixel 2 XL (3 FT Pack of 1, Grey)",Wayona,0,0,0,299,4.2,"7,891",77,"Thursday, February 17",1,"7,891"
9,B071SDRGWL,"boAt Indestructible USB Type-C to USB-A 2.0 Male Cable for Type C Phones, 1 Meter (3.3 Feet) -(Black)",boAt,0,0,0,349,4.3,"25,892",50,"Thursday, February 17",1,"25,892"
