,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09PRJXC37,Dyson V8 Absolute Cord-Free Vacuum Cleaner,Dyson,1,0,0,"34,900",5.0,4,21,"Sunday, February 13",1,4
1,B07H3X5GTL,"AmazonBasics Vacuum Cleaner with Power Suction, Low Sound, High Energy Efficiency and 2 Years Warranty (1.5L Reusable Dust Bag, Black)",AmazonBasics,1,0,0,"3,609",4.2,"8,542",33,"Friday, February 11",1,"8,542"
2,B00F3ABSXU,"Eureka Forbes Quick Clean DX Vacuum Cleaner with 1200 Watts Powerful Suction Control, 3 Free Reusable dust Bag worth Rs 500, comes with multiple accessories, dust bag full indicator (Red), standerd",Eureka,0,0,0,"3,499",3.8,"14,521",22,"Tuesday, February 8",1,"14,521"
3,B07H3X5GTL,"AmazonBasics Vacuum Cleaner with Power Suction, Low Sound, High Energy Efficiency and 2 Years Warranty (1.5L Reusable Dust Bag, Black)",AmazonBasics,0,0,0,"3,609",4.2,"8,542",33,"Friday, February 11",1,"8,542"
4,B072J83V9W,Philips PowerPro FC9352/01 Compact Bagless Vacuum Cleaner (Blue),Philips,0,0,1,"7,473",4.4,"13,294",25,"Tuesday, February 8",1,"13,294"
5,B08L3Q4W4H,"TUSA Wireless Handheld Vacuum Cleaner, High Power Cordless Mini Vacuum Cleaner (Black)",TUSA,0,1,0,"2,999",4.4,"1,859",33,"Friday, February 11",1,"1,859"
6,B07SRM58TP,"AGARO Regal 800 Watts Handheld Vacuum Cleaner, Lightweight & Durable Body, Small/Mini Size ( Black)",AGARO,0,0,0,"1,699",4.1,"8,091",19,"Saturday, February 12",1,"8,091"
7,B07DX2W1LL,"Maharsh Multi-Functional Portable Vacuum Cleaner Blowing and Sucking Dual Purpose (JK-8), 220-240 V, 50 HZ, 1000 W",Maharsh,0,0,0,"1,899",3.8,814,37,"Sunday, February 13",1,814
8,B07SLNG3LW,"Inalsa Vacuum Cleaner Wet and Dry Micro WD10 with 3in1 Multifunction Wet/Dry/Blowing| 14KPA Suction and Impact Resistant Polymer Tank,(Yellow/Black)",Inalsa,0,0,0,"3,999",3.9,"7,457",43,"Saturday, February 12",1,"7,457"
9,B08HDCWDXD,"Eureka Forbes Active Clean Handheld Vacuum Cleaner with 700 Watts Powerful Suction & Blower, Washable HEPA Filter, Comes with Multiple Accessories",Eureka,0,0,0,"2,599",3.9,192,21,"Saturday, February 12",1,192
10,B084HZPLD2,"AmazonBasics Wet and Dry Vacuum Cleaner with Power Suction, Low Sound, High Energy Efficiency and 1 Year Warranty (15L, Plastic Body)",AmazonBasics,1,1,0,"4,199",4.1,"2,567",40,"Friday, February 11",1,"2,567"
11,B07Z51CGGH,"Eureka Forbes Wet and Dry Ultimo Vacuum Cleaner with 1400 Watts High Power Suction and Blower, 20 litres Tank Capacity, Comes with Multiple Accessories (Red)",Eureka,0,0,0,"6,999",3.9,"1,165",30,"Tuesday, February 8",1,"1,165"
