,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09RHB46Q6,Handmade Resin Art with Clear Crystals Mirror Art Wall Clock (18 Inch),Handmade,1,0,0,"8,999",0,0,40,"Sunday, February 13",1,"₹8,999
₹14,999 Save ₹6,000 (40%)"
1,B09PF34VYF,Oreva Abstract Plastic Wooden Look Designer Wall Clock (RED),Oreva,1,0,0,445,0,0,58,"Saturday, February 12",0,"₹445
₹1,055 Save ₹610 (58%)"
2,B09DT78MJ5,Global Enterprises New Vintage Wall Clock Antique Style for Home Office Decor 12 inche,Global,1,0,0,"1,599",0,0,36,"Tuesday, February 15",0,"₹1,599
₹2,499 Save ₹900 (36%)"
3,B09RHBKWFX,Handmade Resin Art with Clear Crystals Art Wall Clock (18 Inch),Handmade,1,0,0,"8,999",0,0,40,"Sunday, February 13",1,"₹8,999
₹14,999 Save ₹6,000 (40%)"
4,B01N6OOW52,"Ajanta Abstract Metal Quartz Wall Clock (32 cm x 32 cm x 3.5 cm, White)",Ajanta,0,0,1,489,4.3,"41,914",0,"Tuesday, February 8",0,"41,914"
5,B00PXJWJJI,Ajanta AQ-2147 Quartz Glass Abstract Blue Office Clock (214 x 44 x 215 mm ),Ajanta,0,0,0,175,3.9,"33,336",0,"Sunday, February 13",0,"33,336"
6,B09Q1HFTK9,ZEPOLI - Wall Clock Silent Battery Operated Round Wall Clock Modern Simple Style Decor Clock Non-Ticking (Wooden Brown Clock),ZEPOLI,0,0,0,595,4.5,44,46,"Sunday, February 13",0,44
7,B07VGHBH91,"Oreva AQ 6197 Plastic Wooden Look Designer Wall Clock (32.5 x 32.5 x 4.8 cm), Brown",Oreva,0,0,0,345,4.3,"7,669",13,"Sunday, February 13",0,"7,669"
8,B076VF43GG,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Classic Roulette (Silent Movement, Black Frame)",Amazon,0,0,0,639,4.2,"14,508",42,"Tuesday, February 8",1,"14,508"
9,B01GTX6I3E,"Ajanta Plastic Quartz Abstract Wall Clock (Gold, 32 cm x 32 cm x 3.5 cm)",Ajanta,0,0,0,381,4.2,"8,954",18,"Tuesday, February 8",0,"8,954"
10,B07BSWXZG6,"Ajanta Plastic Abstract Wall Clock (28 cm x 28 cm x 3.4 cm, White)",Ajanta,0,0,0,320,4.0,"2,084",0,"Friday, February 11",0,"2,084"
11,B01MS642JN,"Ajanta Abstract Plastic Round Wall Clock (20.5 cm x 20.5 cm x 3.5 cm, Pink)",Ajanta,0,0,0,175,3.9,"5,272",0,"Friday, February 11",0,"5,272"
12,B07281JH99,"Ajanta Plastic Abstract Quartz Wall Clock - Model No.957 (260mm x 260mm x 33mm, Ivory )",Ajanta,0,0,0,264,4.0,"5,063",2,"Tuesday, February 8",0,"5,063"
13,B0184B9110,"Ajanta Plastic Abstract Round Wall Clock (18.8 cm x 18.8 cm x 3.5 cm, Ivory)",Ajanta,0,0,0,165,3.7,"3,305",0,"Friday, February 11",0,"3,305"
14,B09BB9Q36Q,"Starmoon Round Roman Wooden Clock, Wood Carving MDF Design Wall Clock, Perfect for Office, Classroom, Bedroom, Living Room, Kitchen, Restaurant,Hotel etc.(30 x 30 cm)",Starmoon,0,0,0,399,3.6,83,78,"Saturday, February 12",0,83
