,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B076VF43GG,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Classic Roulette (Silent Movement, Black Frame)",Amazon,1,0,0,639,4.2,"14,583",42,"Monday, February 14",1,"14,583"
1,B09QYQM6MW,Elica 33cm Vintage Home & Office Plastic Wall Clock (Brown),Elica,1,0,0,605,0,0,60,"Wednesday, February 16",1,"₹605
₹1,499 Save ₹894 (60%)"
2,B09QX75WS8,Bk Enterprise Circular Edge Square Wall Clock - Big Size Wooden Wall Clock for Home - Stylish Big Size Clock for Hall Bedroom Living Room - Fancy Wall Clock for Wall D©cor,Bk,1,0,0,799,0,0,47,"Wednesday, February 16",0,"₹799
₹1,499 Save ₹700 (47%)"
3,B09QYPX7G9,Elica 33 cm Vintage Home & Office Plastic Wall Clock (Yellow),Elica,1,0,0,601,0,0,60,"Wednesday, February 16",1,"₹601
₹1,499 Save ₹898 (60%)"
4,B01N6OOW52,"Ajanta Abstract Metal Quartz Wall Clock (32 cm x 32 cm x 3.5 cm, White)",Ajanta,0,0,1,489,4.3,"42,169",0,"Monday, February 14",0,"42,169"
5,B00PXJWJJI,Ajanta AQ-2147 Quartz Glass Abstract Blue Office Clock (214 x 44 x 215 mm ),Ajanta,0,0,0,175,3.9,"33,477",0,"Thursday, February 17",0,"33,477"
6,B01GTX6I3E,"Ajanta Plastic Quartz Abstract Wall Clock (Gold, 32 cm x 32 cm x 3.5 cm)",Ajanta,0,0,0,465,4.2,"8,991",0,"Monday, February 14",0,"8,991"
7,B01MS642JN,"Ajanta Abstract Plastic Round Wall Clock (20.5 cm x 20.5 cm x 3.5 cm, Pink)",Ajanta,0,0,0,175,3.9,"5,285",0,"Wednesday, February 16",0,"5,285"
8,B076VF43GG,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Classic Roulette (Silent Movement, Black Frame)",Amazon,0,0,0,639,4.2,"14,583",42,"Monday, February 14",1,"14,583"
9,B07VGHBH91,"Oreva AQ 6197 Plastic Wooden Look Designer Wall Clock (32.5 x 32.5 x 4.8 cm), Brown",Oreva,0,0,0,384,4.3,"7,736",3,"Thursday, February 17",0,"7,736"
10,B07281JH99,"Ajanta Plastic Abstract Quartz Wall Clock - Model No.957 (260mm x 260mm x 33mm, Ivory )",Ajanta,0,0,0,269,4.0,"5,092",0,"Monday, February 14",0,"5,092"
11,B0184B9110,"Ajanta Plastic Abstract Round Wall Clock (18.8 cm x 18.8 cm x 3.5 cm, Ivory)",Ajanta,0,0,0,165,3.7,"3,310",0,"Wednesday, February 16",0,"3,310"
12,B095BPBBWZ,STAR WORK - Black Wall Clock - 12 Inch Rose Gold Silent Non Ticking Quality Quartz Battery Operated Easy to Read Decorative Modern Design for Home/Office/Kitchen/Bedroom/Living Room,STAR,0,0,0,595,3.9,"3,088",40,"Wednesday, February 16",1,"3,088"
13,B09Q1K6F1C,ZEPOLI - Wall Clock Silent Battery Operated Round Wall Clock Modern Simple Style Decor Clock Non-Ticking (Pastel Clock),ZEPOLI,0,0,0,595,4.3,58,46,"Wednesday, February 16",0,58
14,B0716NTF52,"Ajanta Plastic Abstract Wall Clock (28 cm x 28 cm x 3.5 cm, White)",Ajanta,0,0,0,270,3.8,"3,535",0,"Wednesday, February 16",0,"3,535"
15,B09BB9Q36Q,"Starmoon Round Roman Wooden Clock, Wood Carving MDF Design Wall Clock, Perfect for Office, Classroom, Bedroom, Living Room, Kitchen, Restaurant,Hotel etc.(30 x 30 cm)",Starmoon,0,0,0,399,3.6,91,78,"Wednesday, February 16",0,91
