,Unnamed: 0,Unnamed: 0.1,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,0,0,0,B07VCXQQDG,Vintage Clock Wooden Hand-Crafted Wall Clock / 1 Year Warranty / 16 Inches (40 CM's),Vintage,1,0,0,"1,849",4.4,961,74,"Saturday, February 19",1,961,https://m.media-amazon.com/images/I/71LIiOx-qcL._AC_UL320_.jpg,Wall clock_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07VCXQQDG
1,1,1,1,B07PVW3621,"Vintage Clock Abstract Solid Pine Wood MDF English Numerals Hand-Painted Maharaja Large Wall Clock, 16x16 Inches, Multicolour",Vintage,1,0,0,"1,995",4.4,24,75,"Saturday, February 19",1,24,https://m.media-amazon.com/images/I/61nb-yNhq1L._AC_UL320_.jpg,Wall clock_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07PVW3621
2,2,2,2,B08L9M4XMX,"Vintage Clock Wooden Roman Numbers Hand-Painted Wall Clock 1 Year Warranty (16 Inches, Black)",Vintage,1,0,0,"1,895",4.2,10,75,"Saturday, February 19",1,10,https://m.media-amazon.com/images/I/81YOYeTd3UL._AC_UL320_.jpg,Wall clock_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08L9M4XMX
3,3,3,3,B078RPTT4G,Story@Home Round Shape Wall Clock with Glass for Home/Kitchen/Living Room/Bedroom/Office (Light Blue),Story@Home,1,0,0,199,3.6,"2,602",75,"Saturday, February 19",0,"2,602",https://m.media-amazon.com/images/I/81Oj3LWtCXL._SY355_.jpg,Wall clock_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
",SKU: B078RPTT4G
4,4,4,4,B01N6OOW52,"Ajanta Abstract Metal Quartz Wall Clock (32 cm x 32 cm x 3.5 cm, White)",Ajanta,0,0,1,489,4.3,"42,523",0,"Wednesday, February 16",0,"42,523",https://m.media-amazon.com/images/I/71qUOeD+iRS._AC_UL320_.jpg,Wall clock_A1,"<img class=""alignnone wp-image-4625"" src=""http://65.0.75.99/wp-content/uploads/2022/05/amazons-choice-300x79.webp"" alt="""" width=""111"" height=""29"" />
",SKU: B01N6OOW52
5,5,5,5,B00PXJWJJI,Ajanta AQ-2147 Quartz Glass Abstract Blue Office Clock (214 x 44 x 215 mm ),Ajanta,0,0,0,175,3.9,"33,647",0,"Friday, February 18",0,"33,647",https://m.media-amazon.com/images/I/71sMxD+-fGL._AC_UL320_.jpg,Wall clock_A1,,SKU: B00PXJWJJI
6,6,6,6,B01MS642JN,"Ajanta Abstract Plastic Round Wall Clock (20.5 cm x 20.5 cm x 3.5 cm, Pink)",Ajanta,0,0,0,175,3.9,"5,313",0,"Friday, February 18",0,"5,313",https://m.media-amazon.com/images/I/71a6FYtpLvL._AC_UL320_.jpg,Wall clock_A1,,SKU: B01MS642JN
7,7,7,7,B0184B9110,"Ajanta Plastic Abstract Round Wall Clock (18.8 cm x 18.8 cm x 3.5 cm, Ivory)",Ajanta,0,0,0,165,3.7,"3,324",0,"Friday, February 18",0,"3,324",https://m.media-amazon.com/images/I/718zI3dgr9L._AC_UL320_.jpg,Wall clock_A1,,SKU: B0184B9110
8,8,8,8,B076VF43GG,"Amazon Brand - Solimo 12-inch Plastic & Glass Wall Clock - Classic Roulette (Silent Movement, Black Frame)",Amazon,0,0,0,639,4.2,"14,666",42,"Wednesday, February 16",1,"14,666",https://m.media-amazon.com/images/I/81XEPquUw3L._AC_UL320_.jpg,Wall clock_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B076VF43GG
9,9,9,9,B07GLWRLS7,"Story@Home 12-inch Vintage Collection Round Shape Plastic Wall Clock (30 cm x 30 cm x 1.5 cm, Beige and Turquoise)",Story@Home,0,0,0,299,3.6,"2,602",80,"Saturday, February 19",0,"2,602",https://m.media-amazon.com/images/I/81BTCgRvkaL._SY450_.jpg,Wall clock_A1,,SKU: B07GLWRLS7
10,10,10,10,B09BB9Q36Q,"Starmoon Round Roman Wooden Clock, Wood Carving MDF Design Wall Clock, Perfect for Office, Classroom, Bedroom, Living Room, Kitchen, Restaurant,Hotel etc.(30 x 30 cm)",Starmoon,0,0,0,399,3.7,102,78,"Saturday, February 19",0,102,https://m.media-amazon.com/images/I/71+lG3mRNyL._AC_UL320_.jpg,Wall clock_A1,,SKU: B09BB9Q36Q
11,11,11,11,B01GTX6I3E,"Ajanta Plastic Quartz Abstract Wall Clock (Gold, 32 cm x 32 cm x 3.5 cm)",Ajanta,0,0,0,465,4.2,"9,031",0,"Wednesday, February 16",0,"9,031",https://m.media-amazon.com/images/I/71HA7WNwomL._AC_UL320_.jpg,Wall clock_A1,,SKU: B01GTX6I3E
12,12,12,12,B07VGHBH91,"Oreva AQ 6197 Plastic Wooden Look Designer Wall Clock (32.5 x 32.5 x 4.8 cm), Brown",Oreva,0,0,0,384,4.3,"7,847",3,"Sunday, February 20",0,"7,847",https://m.media-amazon.com/images/I/81rbLQ-Q-wL._AC_UL320_.jpg,Wall clock_A1,,SKU: B07VGHBH91
13,13,13,13,B0716NTF52,"Ajanta Plastic Abstract Wall Clock (28 cm x 28 cm x 3.5 cm, White)",Ajanta,0,0,0,270,3.8,"3,545",0,"Friday, February 18",0,"3,545",https://m.media-amazon.com/images/I/811-20UN+WL._AC_UL320_.jpg,Wall clock_A1,,SKU: B0716NTF52
14,14,14,14,B09KCK82V5,"VOLANTIS 12 Inch Modern Stylish Plastic Wall Clock Non Ticking Silent Decorative Wall Clocks for Home, Living Room, Hall, Office, and Bedroom (Rose Gold & Black)",VOLANTIS,0,0,0,649,4.0,306,46,"Saturday, February 19",0,306,https://m.media-amazon.com/images/I/61yEVawz6eL._AC_UL320_.jpg,Wall clock_A1,,SKU: B09KCK82V5
