,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08CVMFM5Q,Genuine Leather Wallet for Men | RFID Protected for Daily use (Black),HAMMONDS FLYCATCHER,1,0,0,373,4.1,"2,504",77,,0,"2,504"
1,B083TJBKCQ,Leather Wallet for Men (Brown),NAPA HIDE,1,0,0,299,4.0,"21,167",80,,0,"21,167"
2,B07QC5YF2W,Make in India Maroon Black Leather Men's Wallet,AL FASCINO,1,0,0,449,4.2,"1,578",85,,1,"1,578"
3,B076ZJQWGK,RFID Protected Genuine High Quality Leather Wallet for Men (Black),WildHorn,1,0,0,299,4.1,"2,206",80,,1,"2,206"
4,B07QBQ127Y,Blue Hunter Leather Men's Wallet,WildHorn,0,0,1,475,4.0,"16,402",68,,1,"16,402"
5,B07C3VH84K,Brown Leather Men's LEATHER WALLET(WH2052 CRACKLE),WildHorn,0,0,0,299,4.0,"22,844",80,,0,"22,844"
6,B083TJBKCQ,Leather Wallet for Men (Brown),NAPA HIDE,0,0,0,299,4.0,"21,167",80,,0,"21,167"
7,B07XTJDJHN,Oliver Black RFID Blocking Leather Wallet for Men,URBAN FOREST,0,0,0,455,4.3,"5,741",77,,0,"5,741"
8,B07MX26G8P,Oliver Blue RFID Blocking Leather Wallet for Men,URBAN FOREST,0,0,0,455,4.3,"29,029",77,,0,"29,029"
9,B083ZMYK85,Leather Wallet for Men (Maroon),NAPA HIDE,0,0,0,299,4.1,"7,808",80,,0,"7,808"
10,B08ZNKR6BQ,Black Leather Men's Wallet (tnw90),TnW,0,0,0,170,4.0,524,83,,0,524
11,B07D7RC7BX,black wallets for men,Woodland,0,0,0,399,3.3,23,27,,0,23
12,B085LFPKQB,Denial Navy Leather Wallet for Men | Wallets Men with RFID Blocking | Mens Wallet,HORNBULL,0,0,0,448,4.3,"5,454",82,,0,"5,454"
13,B07PB423Z8,Brown Genuine Hunter Leather Wallet for Men with ATM Card Wallet Men's Wallet Purse,Spiffy,0,0,0,675,4.0,"3,506",66,,1,"3,506"
14,B07B7J7FFH,Stylish RFID Protected Genuine Leather Wallets for Mens,AL FASCINO,0,0,0,470,4.1,"7,189",84,,0,"7,189"
15,B076ZJQWGK,RFID Protected Genuine High Quality Leather Wallet for Men (Black),WildHorn,0,0,0,299,4.1,"2,206",80,,1,"2,206"
16,B076ZM9M1R,Brown Leather Men's LEATHER WALLET(WH2010),WildHorn,0,0,0,299,4.1,"4,500",80,,0,"4,500"
17,B08XBCYVY2,Elk Vintage Brown RFID Blocking Men's Leather Wallet,LONDON ALLEY,0,0,0,499,4.1,"2,783",75,,1,"2,783"
18,B082SKY3CT,PU Leather 9 Slot Vertical Credit Debit Card Holder Money Wallet Zipper Coin Purse for Men Women - Light Brown,Storite,0,0,0,495,4.1,"3,389",75,,0,"3,389"
19,B075F45CGB,"6 Slots RFID Blocking Metal Credit Card Holder Wallet for Men & Women(Black,9.5 x 6.5 x 1.3 cm )",Storite,0,1,0,359,4.0,"5,545",80,,0,"5,545"
20,B098QFQLYD,Maroon Leather wallet with Tin Box for men (Garnet Maroon),WildHorn,1,0,0,490,4.2,"14,157",84,,0,"14,157"
21,B09NYHLFLJ,Top Grain Portrait Leather Wallet for Men | Ultra Strong Stitching | Handcrafted | RFID Blocking | 2 ID Slots | 11 Card Slots | Zip Compartment (Blue Hunter),WildHorn,1,0,0,499,4.7,4,67,,1,4
22,B08XBCYVY2,Elk Vintage Brown RFID Blocking Men's Leather Wallet,LONDON ALLEY,1,0,0,499,4.1,"2,783",75,,1,"2,783"
23,B076ZM9M1R,Brown Leather Men's LEATHER WALLET(WH2010),WildHorn,1,0,0,299,4.1,"4,500",80,,0,"4,500"
24,B07DK7DF4H,Men's Artificial Leather Designer Wallet with Flap Closure Tan,TnW,0,0,0,190,4.1,870,84,,0,870
25,B07TDH6MJV,Wildhorn India Matte Black Leather Men's RFID Wallet (WH1173),WildHorn,0,0,0,432,4.1,"5,284",71,,0,"5,284"
26,B07BMT1VSS,RFID Protected Genuine High Quality Leather Wallet for Men(Brown)…,WildHorn,0,0,0,411,4.2,"14,157",73,,0,"14,157"
27,B07X8XCR5F,"10 Slot PU Leather Credit Debit Zipper Card Holder Wallet Coin Purse with 2 ID Window for Men & Women (12 X 9.5 X 2 cm, Brown)",DAHSHA,0,0,0,599,4.1,"1,167",76,,1,"1,167"
28,B0786X6BP6,Brown Synthetic Men's Wallet (804600082509),TnW,0,0,0,207,4.1,731,83,,0,731
29,B08CJSHPZR,Men's Leather Wallet (TAN Crunch Brown),Generic,0,0,0,205,3.7,293,68,,0,293
30,B08V4VWZ3C,"Highlghly Finished Leather Wallet for Men, Men’s Wallet, Durable and Comfortable, Coin,Credit,Debit Card Wallet",Generic,0,0,0,168,3.5,57,83,,0,57
31,B07RF7MT6R,Grey Fabric Men's Wallet (1955),LORENZ,0,0,0,299,4.0,"1,872",70,,0,"1,872"
32,B07JDVFMSW,PU Leather Men's Wallet (ALW-31K_Black),ZORO,0,0,0,159,3.5,852,88,,0,852
33,B07JHJ4T73,RFID Blocking 10 Slot Vertical PU Leather Credit Debit Zipper Card Holder Money Wallet Zipper Coin Purse for Men & Women -(Chocolate Brown),Storite,0,0,0,599,4.3,"2,290",70,,1,"2,290"
34,B07M8S7KYB,"Classic Century Branded Bi-Fold Coin Wallets for Men Leather with Luxury Agenda Pen, Easy Compartment for Card and Money Storage - Black",Cross,0,0,0,"1,499",4.3,89,55,,1,89
35,B09LHJBH4D,Giftorious Customized Wallet for Men with Coin Pouch ( Navy Blue) - Best Gifts for Men,Generic,0,0,0,699,4.4,71,65,,0,71
36,B093KG6QGM,Antlers Hunter Leather Wallet for Men (Dark Brown),WildHorn,0,0,0,399,4.1,38,87,,0,38
37,B07XNRX7SY,"Sherlock Blue Leather Wallet, Keyring & Pen Combo Gift Set for Men",URBAN FOREST,0,0,0,610,4.2,84,70,,1,84
38,B07PJRTV3D,Brown Leather Men's Card Holder (ZR-ALW-121T),ZORO,0,0,0,199,3.9,968,85,,0,968
39,B08F5L31F3,Wildhorn India Bombay Bron Leather Men's Wallet & Belt Combo Set (NEWGIFT1173BB),WildHorn,0,0,0,925,4.2,"1,499",58,,1,"1,499"
40,B08Z387RXH,Doger Olive Green Mens Leather Wallet | Leather Wallet for Men | RFID Mens Wallet,RIGOHILL,0,0,0,499,4.1,231,80,,1,231
41,B09PGD5D5N,Top Grain Leather Wallet for Men | Ultra Strong Stitching | Handcrafted | RFID Blocking | Zip Wallet with 9 Card Slots | 2 ID Slots (Green Hunter),WildHorn,0,0,0,499,3.6,8,83,,1,8
42,B097PKY7TR,Leo RFID Blocking Vintage Brown Leather Wallet for Men,URBAN FOREST,0,0,0,499,4.2,"1,036",75,,1,"1,036"
43,B076ZLT2YC,Brown Leather Men's LEATHER WALLET(WH2006),WildHorn,0,0,0,455,4.0,663,70,,0,663
44,B08QHQTJHS,Zeus Vintage Brown RFID Blocking Leather Wallet for Men,URBAN FOREST,0,0,0,499,4.1,"3,931",75,,1,"3,931"
45,B01B4J0PKU,Brown Leather Men's Wallet (TW184LM1BR),TITAN,0,0,0,935,4.2,"1,192",25,,1,"1,192"
46,B09MQYKCQJ,Genuine Leather Slim Wallet for Men | RFID Protection Minimal Thin Front Pocket Wallet Sleeve Card Holder for Men (Brown),Contacts,0,0,0,498,4.5,3,69,,0,3
47,B07HD1H1RH,Men's Genuine Leather RFID Blocking Wallet (Brown),Contacts,0,0,0,"1,080",4.1,"4,126",57,,1,"4,126"
48,B084ZPFLLQ,Navy Leather Men's Wallet (8903496147384),Tommy Hilfiger,0,0,0,"1,399",4.2,93,48,,1,93
49,B01G55GYOE,RFID Protected Genuine High Quality Leather Wallet for Men(Black),WildHorn,0,0,0,299,4.1,"4,948",80,,0,"4,948"
50,B07V7TVDJ3,Carl Chocolate Brown Mens Leather Wallet for Men,URBAN FOREST,0,0,0,424,4.1,"3,016",79,,0,"3,016"
51,B09CPJMQCS,RFID Protected Slim Bifold Men Purse Genuine Leather Wallets for Men,AL FASCINO,0,0,0,359,3.9,54,82,,0,54
52,B0138NU6EA,Black Men's Wallet (8903338052395),Wildcraft,0,0,0,389,4.3,386,3,,0,386
53,B07C1J2XFT,Men Tan Artificial Leather Wallets for Men,ibex,0,0,0,159,4.1,"2,193",80,,0,"2,193"
54,B00Q4NJOU4,Semi Formal Tan Leather Men's Wallet (TW135LM1TN),TITAN,0,0,0,"1,315",4.4,999,25,,1,999
55,B0719BDVB2,Men's Stella Brown Genuine Leather RFID Blocking Wallet,HORNBULL,0,0,0,448,4.2,"9,140",82,,0,"9,140"
56,B0919R6X2W,Brown Leather Men's RFID Wallet (HF502_MH),HAMMONDS FLYCATCHER,1,0,0,420,4.2,"6,100",74,,0,"6,100"
57,B072MFVNML,Themes Brown Mens Leather Wallet | Stylish Leather Wallet for Mens | RFID Blocking Genuine Leather Mens Wallet,HORNBULL,1,0,0,448,4.2,"10,917",76,,0,"10,917"
58,B085LGV7LQ,Denial Olive Green Mens Leather Wallet – Premium Quality Leather Wallet for Mens & RFID Blocking Genuine Leather Mens Wallet,HORNBULL,1,0,0,449,4.3,"5,454",82,,0,"5,454"
59,B07C3VH84K,Brown Leather Men's LEATHER WALLET(WH2052 CRACKLE),WildHorn,1,0,0,299,4.0,"22,844",80,,0,"22,844"
60,B098S81HFV,Garnet Maroon Leather Men's Wallet (699709),WildHorn,1,0,0,455,4.2,"1,798",70,,0,"1,798"
61,B098S62LG2,Leather Wallet for Men (Obsidian Black),WildHorn,1,0,0,490,4.1,"2,600",67,,0,"2,600"
62,B08S77WC5J,Blue Leather Men's Wallet (WHEW5000BLUEHUNTER),WildHorn,1,0,0,455,3.7,14,70,,0,14
63,B083ZMYK85,Leather Wallet for Men (Maroon),NAPA HIDE,1,0,0,299,4.1,"7,808",80,,0,"7,808"
64,B076ZMLBJJ,RFID Protected Genuine High Quality Leather Wallet for Men… (Blue),WildHorn,0,0,0,299,4.0,"2,439",80,,1,"2,439"
65,B09K48CMFX,Men's Wallet (Brown Colour -BRWTCLC01),GIOVANNY,0,0,0,299,4.0,9,81,,0,9
66,B07JJ812H6,"Men's PU Leather Wallet, Multicolour",SAMTROH,0,0,0,189,3.8,14,81,,1,14
67,B08Y5799YT,Men's Genuine Leather RFID Blocking Large Capacity Wallet | Bifold Wallet for Men (Black),Contacts,0,0,0,798,4.1,363,68,,1,363
68,B08HRWDPR2,"PU Leather Steel Business Visiting Credit Debit Card Holder Wallet for Men & Women (Black, 10 x 6 x1.4 cm)",Storite,0,0,0,299,4.1,126,70,,0,126
69,B01K5B69IK,Brown Men's leather Wallet,Woodland,0,0,0,399,3.6,265,33,,0,265
70,B0919SBPHT,"RFID Protected Brown Nappa Genuine Leather 6 Card Slots, 1 Coin Pocket, 4 Hidden Compartment, 2 Currency Slots, 3 ID Compartment, Men's Wallet",HAMMONDS FLYCATCHER,0,0,0,460,4.1,179,71,,0,179
71,B08CVMFM5Q,Genuine Leather Wallet for Men | RFID Protected for Daily use (Black),HAMMONDS FLYCATCHER,0,0,0,373,4.1,"2,504",77,,0,"2,504"
72,B093DJT3C9,PU Leather & Stainless-Steel Business Card Holder Wallet Credit Card Holder with Magnetic Shut for Men & Women (Black Napa),FUR JADEN,0,0,0,499,4.1,55,50,,1,55
73,B077P61QM6,Multi Colour Formal Wallet for Men's,SAMTROH,0,0,0,149,3.9,13,85,,1,13
74,B07TZMG6VN,Brown Synthetic Men's RFID Protected Wallet (MT1655BLK),mtuggar,0,0,0,249,4.1,102,58,,0,102
75,B01JRZX4PG,Dark Brown Leather Men's RFID Wallet (Two Tone),Am leather,0,0,0,464,4.1,"2,968",77,,0,"2,968"
76,B09P892LQ5,"10 Slots Metal RFID Blocking Metal Credit Card Holder Wallet for Men Women (10cm x 7cm x 1.5cm ,Black)",DAHSHA,0,0,0,595,3.8,261,70,,1,261
77,B0919TRXYZ,Genuine Leather Wallet for Men| RFID Protected| Trifold Wallet (Black),HAMMONDS FLYCATCHER,0,0,0,444,4.0,362,72,,0,362
78,B07KXL1Q5Z,RFID Blocking Automatic Pop-Up Money Holding Smart Pocket Aluminum Metal Front Pocket Wallet Cardholder,Stealodeal,0,1,0,299,3.7,368,40,"Wednesday, February 23",1,368
79,B08FT27H1K,Leather Credit Card Holder -Slim Minimalist Front Pocket RFID Blocking Leather Wallets for Men Women,AL FASCINO,0,0,0,269,4.1,524,87,,0,524
80,B08DD8KN53,Harley Tan Leather Men's Wallet,LONDON ALLEY,1,0,0,499,4.1,"2,783",75,,1,"2,783"
81,B09NDMKR7F,Leather Wallet for Men (Blue Hunter),WildHorn,1,0,0,480,4.1,"4,500",68,,0,"4,500"
82,B07BMPFL68,Brown Leather Men's Wallet (WH2060A),WildHorn,1,0,0,404,4.2,980,73,,0,980
83,B072SQ5GB1,Brown Leather Men's Wallet & Belt Combo set (HBCM16BW6995),HORNBULL,1,0,0,898,4.1,"2,293",73,,1,"2,293"
84,B079TN3GCD,Bombay Brown Leather Men's Leather Wallet(WH2055 Bombay Brown),WildHorn,0,0,0,299,4.0,"2,637",80,,0,"2,637"
85,B082H2Z2TH,RFID Protected Genuine Leather Men's Money Clip Wallet (WL-M-900-blk),mtuggar,0,0,0,286,4.1,419,64,,0,419
86,B078N8WNJW,Navy Men's Wallet (8903496110418),Tommy Hilfiger,0,0,0,"1,629",4.4,49,37,,1,49
87,B07L91DSYT,Buttler Navy RFID Blocking Leather Wallet for Men | Genuine Leather Mens Wallet,HORNBULL,0,0,0,448,4.2,"6,894",82,,0,"6,894"
88,B08JM511WX,Genuine Leather Men Wallet||ATM Card Case||Money Purse||Card Holder with Zip Closure (Tan-HJ),ABYS,0,0,0,473,4.0,"1,666",64,,0,"1,666"
89,B01MTJED9K,Brown Leather Men's Wallet (AFS041),Woodland,0,0,0,390,3.9,"1,018",29,,0,"1,018"
90,B085LH2SPS,Denial Black Mens Leather Wallet – Leather Wallet for Mens and RFID Blocking Genuine Leather Mens Wallet,HORNBULL,0,0,0,448,4.2,"1,435",82,,0,"1,435"
91,B00I3WUZVQ,Brown Leather Men's Wallet (TW106LM1DB),TITAN,0,0,0,"1,315",4.3,"1,859",25,,1,"1,859"
92,B084ZPZFCB,Kyle RFID Blocking Black/Redwood Leather Wallet for Men,URBAN FOREST,0,0,0,450,4.2,"1,265",78,,0,"1,265"
93,B072MFVNML,Themes Brown Mens Leather Wallet | Stylish Leather Wallet for Mens | RFID Blocking Genuine Leather Mens Wallet,HORNBULL,0,0,0,448,4.2,"10,917",76,,0,"10,917"
94,B017IY31X8,"Black Leather Wallet, Blue Keychain and Black Diamond Pen for Men I Gift Hamper",WildHorn,0,0,0,630,4.2,"1,718",68,,1,"1,718"
95,B08DCL2YM7,Wildhorn India Brown 1 Leather Men's Men's Wallet(CUSTOMIZED1173BRN),WildHorn,0,0,0,479,4.2,"1,153",68,,1,"1,153"
96,B07BKYB2DX,Brown Leather Men's Wallet (C0408LBR01),Fastrack,0,0,0,"1,095",4.4,"1,342",0,,1,"1,342"
97,B08Y1NFTLY,Genuine Leather Slim Wallet | RFID Blocking Skinny Minimal Thin Front Pocket Wallet Sleeve Card Holder for Men (Tan),Contacts,0,0,0,399,4.1,327,84,,0,327
98,B085RXN18J,Groix men's Leather Over Flap Coin Wallet -Black,POLICE,0,0,0,"1,259",4.4,16,40,,1,16
99,B093CLM9JN,Genuine Leather Wallet for Men | RFID Protected for Daily use (Brown),HAMMONDS FLYCATCHER,0,0,0,390,4.1,"1,421",76,,0,"1,421"
100,B07Y1ZNPK5,Men's Aluminium Metal RFID Protected Smart Pop Up Wallet (Black),VOGARD,0,0,0,297,4.0,650,75,,0,650
101,B09K4B41XH,Men's Wallet (Blue-BLUTNSCRD),GIOVANNY,0,0,0,299,3.8,10,81,,0,10
102,B079P4CNCM,Blue Nylon Unisex Card Wallet,DailyObjects,0,0,0,399,4.1,261,27,,0,261
103,B09DVYG9WS,Men's Genuine Leather Wallet | RFID Blocking Card Holder Wallet Case (Black),Contacts,0,0,0,498,3.8,55,79,,0,55
104,B08FH4JV5K,Long Leather Clutch Crown Wallet | Unisex Wallet with Credit Card & Mobile Holder (Brown),Brand Conquer,0,0,0,499,4.3,447,75,,1,447
105,B08V8C1PJM,Personalized Custom Genuine Leather Wallet for Men with Name and Charm (Black),The Bling Stores,0,0,0,499,4.1,92,45,,0,92
106,B08D7PP7L4,"12 Slot PU Leather Credit/Debit Card Holder Money Wallet Zipper Purse for Men & Women - (Brown,10.75 x 8 x 2.5 cm)",Storite,0,0,0,549,4.4,"1,607",73,,1,"1,607"
107,B07B8DG86C,PU Leather Pocket Sized Credit Card Holder Name Card Case Wallet with Magnetic Shut for Men & Women Brown (100 X 65 X 14 mm),NISUN,0,0,0,299,4.0,"4,413",80,,0,"4,413"
108,B083TGJXZG,Leather Wallet for Men (Black) (Black),NAPA HIDE,0,0,0,480,4.1,752,68,,1,752
109,B084BW7DGW,Brown Leather Wallet for Men,GANNET,0,0,0,199,4.1,115,80,,1,115
110,B08QCRT4PY,Men's Genuine Leather Wallet | RFID Blocking Wallet for Men (Beige),Contacts,0,0,0,897,4.0,"1,397",64,,1,"1,397"
111,B077TZN4P8,"13 Slots Leather Credit Card Holder Wallet for Men & Women (10.5 x 7.5 x 2.6 cm, Brown)",Storite,0,0,0,399,4.2,"5,628",80,,0,"5,628"
112,B07HCZZP5T,Men's Genuine Leather RFID Protection Wallet | Wallet for Men,Contacts,0,0,0,798,3.8,"4,079",68,,1,"4,079"
113,B07D9LVRN9,"NISUN PU Leather Pocket Sized Business/Credit/ATM Card Holder Case Wallet with Magnetic Shut for Men & Women (Brown,9.5 X 6.5 X 1.5 cm)",NISUN,0,0,0,299,4.2,"1,272",70,,0,"1,272"
114,B011292ZI2,Toronto Brown Leather Wallet for Men,URBAN FOREST,0,0,0,449,4.1,"3,256",78,,0,"3,256"
115,B078NCYRW4,Black Leather Men's Wallet (8903496110357),Tommy Hilfiger,0,0,0,"1,264",4.6,118,45,,1,118
116,B09FKD7K4J,Richard Green RFID Blocking Leather Wallet for Men | 11 Card Slots Wallet,HORNBULL,1,0,0,499,4.2,"1,435",80,,1,"1,435"
117,B098S92R7R,Black & Brown Leather Men's Wallet (699710),WildHorn,1,0,0,490,4.1,"4,948",67,,0,"4,948"
118,B08RS26YFW,Denial Black Mens Leather Wallet | Leather Wallet for Mens & Valentine Gift Hamper | Branded Mens Wallet,HORNBULL,1,0,0,659,4.3,451,74,,1,451
119,B08CVMH9G1,Men's RFID Protected Premium Leather Brushwood Wallet (Brown),HAMMONDS FLYCATCHER,1,0,0,373,4.1,"2,504",77,,0,"2,504"
