,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07V838GTT,"AmazonBasics 6.5 kg Fully-Automatic Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)",AmazonBasics,1,0,0,"11,999",4.0,"2,320",52,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"2,320"
1,B084LF24Z8,"LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SKSF4Z, Middle Free Silver)",LG,1,0,0,0,4.3,"6,970",0,,0,"6,970"
2,B08GY3PZQF,"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65A4002VS/TL, Imperial Silver, Diamond Drum)",Samsung,0,1,0,"14,790",4.4,"14,014",12,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"14,014"
3,B07WGD8QQT,"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",Whirlpool,0,0,0,"10,475",4.3,"9,271",22,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"9,271"
4,B084LF24Z8,"LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SKSF4Z, Middle Free Silver)",LG,0,0,0,0,4.3,"6,970",0,,0,"6,970"
5,B0861C4YCG,"Samsung 6.5 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (WA65T4262GG/TL, Light Grey, Wobble technology)",Samsung,0,0,0,"16,890",4.3,"3,455",21,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"3,455"
6,B08QNZTQ96,"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",Whirlpool,0,0,0,"14,475",4.3,"2,344",23,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"2,344"
7,B083G25P9L,"Whirlpool 7.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 7.5 SUPREME, Grey Dazzle)",Whirlpool,0,0,0,"10,990",4.3,"2,533",22,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"2,533"
8,B083G1WGLF,"Whirlpool 6 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 60I, Grey Dazzle)",Whirlpool,0,0,0,"9,450",4.3,"2,083",24,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"2,083"
9,B08B98715P,"Panasonic 6.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (NA-W65E5ARB, Blue, Powerful Motor)",Panasonic,0,0,0,"8,990",4.1,"1,768",18,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"1,768"
