Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,B08GY3PZQF,"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65A4002VS/TL, Imperial Silver, Diamond Drum)",Samsung,0,1,0,"14,790",4.4,"14,251",12,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"14,251",https://m.media-amazon.com/images/I/610osBbwucL._AC_UL320_.jpg,Washing machine,"Samsung 6.5 kg Fully-Automatic Top Loading Washing Machine (WA65A4002VS/TL, Imperial Silver, Diamond Drum)",SKU: B08GY3PZQF
1,B07WGD8QQT,"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",Whirlpool,0,0,0,"10,700",4.3,"9,401",21,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"9,401",https://m.media-amazon.com/images/I/61yZL6bw+1L._AC_UL320_.jpg,Washing machine,"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",SKU: B07WGD8QQT
2,B0861C4YCG,"Samsung 6.5 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (WA65T4262GG/TL, Light Grey, Wobble technology)",Samsung,0,0,0,"15,848",4.4,"3,565",26,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"3,565",https://m.media-amazon.com/images/I/61YXeABU+RL._AC_UL320_.jpg,Washing machine,"Samsung 6.5 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (WA65T4262GG/TL, Light Grey, Wobble technology)",SKU: B0861C4YCG
3,B08QP41KBP,"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash)",Whirlpool,0,0,0,"15,475",4.3,850,23,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,850,https://m.media-amazon.com/images/I/61j25i+2K7L._SX466_.jpg,Washing machine,"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash)",SKU: B08QP41KBP
4,B08QNZTQ96,"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",Whirlpool,0,0,0,"14,475",4.3,"2,391",23,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"2,391",https://m.media-amazon.com/images/I/51hu9nbHShL._AC_UL320_.jpg,Washing machine,"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",SKU: B08QNZTQ96
5,B084LF24Z8,"LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SKSF4Z, Middle Free Silver)",LG,0,0,0,"16,990",4.3,"7,093",24,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"7,093",https://m.media-amazon.com/images/I/71sgMM9ZQ9L._AC_UL320_.jpg,Washing machine,"LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SKSF4Z, Middle Free Silver)",SKU: B084LF24Z8
6,B08B98715P,"Panasonic 6.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (NA-W65E5ARB, Blue, Powerful Motor)",Panasonic,0,0,0,"8,990",4.1,"1,802",18,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"1,802",https://m.media-amazon.com/images/I/61Lt1nXUF2L._AC_UL320_.jpg,Washing machine,"Panasonic 6.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (NA-W65E5ARB, Blue, Powerful Motor)",SKU: B08B98715P
7,B08B9756FB,"Panasonic 6 Kg 5 Star Fully-Automatic Top Loading Washing Machine (NA-F60LF1HRB, Grey)",Panasonic,0,0,0,"13,700",4.3,"3,066",18,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"3,066",https://m.media-amazon.com/images/I/61E5gS4YBIL._AC_UL320_.jpg,Washing machine,"Panasonic 6 Kg 5 Star Fully-Automatic Top Loading Washing Machine (NA-F60LF1HRB, Grey)",SKU: B08B9756FB
8,B084CMDS7B,"Whirlpool 7.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (360 BLOOMWASH PRO (540) H 7.5, Graphite, Hexa Bloom Impeller)",Whirlpool,0,0,0,"22,699",4.2,987,29,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,987,https://m.media-amazon.com/images/I/619IXFN9gUL._AC_UL320_.jpg,Washing machine,"Whirlpool 7.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (360 BLOOMWASH PRO (540) H 7.5, Graphite, Hexa Bloom Impeller)",SKU: B084CMDS7B
9,B08CHFTJHZ,"LG 8 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P8030SRAZ, Burgundy, Collar Scrubber)",LG,0,0,0,"13,783",4.4,563,24,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,563,https://m.media-amazon.com/images/I/71nV-jnW80S._AC_UL320_.jpg,Washing machine,"LG 8 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P8030SRAZ, Burgundy, Collar Scrubber)",SKU: B08CHFTJHZ
10,B083G1WGLF,"Whirlpool 6 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 60I, Grey Dazzle)",Whirlpool,0,0,0,"9,475",4.3,"2,122",24,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"2,122",https://m.media-amazon.com/images/I/81l6BjsfDyL._AC_UL320_.jpg,Washing machine,"Whirlpool 6 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 60I, Grey Dazzle)",SKU: B083G1WGLF
11,B08CW3V1X8,"Godrej 6 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 600 AD 5.0 ROGR, Grey, Acu Wash Drum)",Godrej,0,0,0,"13,690",4.3,936,17,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,936,https://m.media-amazon.com/images/I/711QU6ggL-L._AC_UL320_.jpg,Washing machine,"Godrej 6 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 600 AD 5.0 ROGR, Grey, Acu Wash Drum)",SKU: B08CW3V1X8
12,B07V838GTT,"AmazonBasics 6.5 kg Fully-Automatic Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)",AmazonBasics,0,0,0,"11,999",4,"2,409",52,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"2,409",https://m.media-amazon.com/images/I/619A7wmPjYL._AC_UL320_.jpg,Washing machine,"AmazonBasics 6.5 kg Fully-Automatic Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)",SKU: B07V838GTT
13,B08R8DGDSK,"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.0 GENX, Satin Grey, Hard Water Wash)",Whirlpool,0,0,0,"13,990",4.3,"1,450",17,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"1,450",https://m.media-amazon.com/images/I/51MMO-Xl8qL._AC_UL320_.jpg,Washing machine,"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.0 GENX, Satin Grey, Hard Water Wash)",SKU: B08R8DGDSK
14,B07QGWHH63,"Godrej 6.2 Kg Fully-Automatic Top Loading Washing Machine (WT EON 620 A Gp Gr, Grey)",Godrej,0,0,0,"12,790",4.2,"2,244",29,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"2,244",https://m.media-amazon.com/images/I/511v47yi5EL._AC_UL320_.jpg,Washing machine,"Godrej 6.2 Kg Fully-Automatic Top Loading Washing Machine (WT EON 620 A Gp Gr, Grey)",SKU: B07QGWHH63
