,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09K5963BM,"Eleganza Collection Analog Watch for Women with Color Variant, and Crystal Studded Metal Strap to Complement Your Look, Gift for Women - A2037",Giordano,1,0,0,"3,495",4.2,381,56,"Thursday, February 10",1,381
1,B07SBQZJXQ,"Teal By Chumbak Ombre Aztec Watch - Teal - Watch for Women, Analog Strap Watch, Metal Dial, Ladies Wrist Watch, Casual Watch for Girls, Printed Strap",Chumbak,1,0,0,"1,245",4.3,677,50,"Thursday, February 10",1,677
2,B084VQV17Z,"Teal By Chumbak Sunshine State Watch - Navy Blue - Watch for Women, Analog Strap Watch, Brass Dial, Ladies Wrist Watch, Casual Watch for Girls, Printed Strap",Chumbak,1,0,0,"1,145",4.2,268,50,"Thursday, February 10",1,268
3,B09KRVVFQG,"Fashionista Collection Analogue Watch for Women with Color Variant, Ladies Wrist Watch - GD4067",Giordano,1,0,0,"2,885",3.6,10,52,"Thursday, February 10",1,10
4,B07FCPL5NX,Analogue Women's Watch (Pink Dial SIlver Colored Strap),SWISSTONE,0,0,0,435,4.1,"8,599",83,"Sunday, February 6",0,"8,599"
5,B08W2T1KVW,Brand - A Branded Watch 4 Different Dial Black-Blue-Pink-White Stainless Steel Silver Band with Silver braclet and Watch for Women Watch for Girls,Acnos,0,0,0,299,4.0,"1,195",85,"Wednesday, February 9",0,"1,195"
6,B08VN2H8CV,Analogue Women's Watch(Blue Dial Silver Colored Strap)-LD-L144-BLU-CH,LOUIS DEVIN,0,0,0,299,4.0,"2,186",85,"Sunday, February 6",0,"2,186"
7,B0852J43C7,Diamond Studded Stylish Analogue Watch with Rose Gold Dot Bracelet for Girls & Women,ZUPERIA,0,0,0,299,3.9,"3,037",77,"Thursday, February 10",0,"3,037"
8,B08YZ39MX4,Branded Analogue Black Dial Magnet Watch with Gift Bracelet for Women or Girls and Watch for Girl or Women (Combo of 3),STYLEDOSE,0,1,0,299,3.9,"1,963",70,"Thursday, February 10",1,"1,963"
9,B07YC71Y12,Round Dial Stainless Steel Bracelet Chain Analogue Day & Date Functioning Watch for Women and Girls,IIK COLLECTION,0,0,0,359,3.9,"1,079",76,"Tuesday, February 8",0,"1,079"
10,B09MKN5T5F,Analog Pink Butterfly Silver Dial Stainless Steel Strap Watch for Women - 288SDTL,TIMEWEAR,0,0,0,329,4.1,32,75,"Tuesday, February 8",0,32
11,B09FXKH427,Aritocrat Women's & Girl's Watch BG-336,ADAMO,0,0,0,599,4.1,59,76,"Wednesday, February 9",1,59
12,B01BKEZYBY,Analog White Dial Women's Watch-SS-703W-703B,SWISSTYLE,0,0,0,379,3.6,"6,821",46,"Sunday, February 6",0,"6,821"
13,B0895SGLVC,7seven Analogue Gold Dial Women's & Girls Watch,7seven,0,0,0,699,4.1,"2,204",65,"Wednesday, February 9",1,7-Seven
14,B07XY2T212,Analogue Women's Watch (Blue Dial Silver Colored Strap),SWISSTONE,0,0,0,435,4.1,"1,113",83,"Sunday, February 6",0,"1,113"
15,B09FJKZS2M,Fleek Analog Dial Women's Watch,Fastrack,0,0,0,"1,663",4.4,363,21,,0,363
16,B01GDWNV68,"Analog Dial Women's Watch (Pink, 6150SM04)-NM6150SM04 / NL6150SM04/NP6150SM04",Fastrack,0,0,0,"1,436",4.4,"6,262",20,"Sunday, February 6",1,"6,262"
17,B08L5DWSLB,Analogue Women's Watch (Black Dial Black Colored Strap),SWISSTONE,0,0,0,625,3.9,322,76,"Thursday, February 10",1,322
18,B07B6JD5ZH,Analog Blue Dial Women's Watch-DK11421-7,DANIEL KLEIN,0,0,0,"1,349",4.3,"2,329",64,,1,"2,329"
19,B08B6CCZTP,"Analog Women's Watch (Black Dial, Black Colored Strap)",Talgo,0,0,0,258,3.6,666,74,"Thursday, February 10",0,666
20,B08GCP2S6J,"Eleganza Collection Analogue Watch for Women with Color Variant, and Crystal Studded Metal Strap Ladies Wrist Watch to Complement Your Look, Gift for Women - A2040",Giordano,1,0,0,"3,195",4.0,138,60,"Thursday, February 10",1,138
21,B09FXKH427,Aritocrat Women's & Girl's Watch BG-336,ADAMO,1,0,0,599,4.1,59,76,"Wednesday, February 9",1,59
