,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09S3X2M43,"SKYTONE GYM Water Bottle Spirit Motivational Water Gallon with Time Marker Large Capacity 2000ML, Leakproof BPA Free Fitness Sports Water Bottle (Pink)",SKYTONE,1,0,0,999,5.0,1,50,"Wednesday, February 23",1,1
1,B01IQYNO8G,"Milton Glassy 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Drinking Cup Lid, 1 Litre, Grey",Milton,1,0,0,999,4.5,"2,767",4,"Sunday, February 20",1,"2,767"
2,B07K2WWBNZ,"Milton Bliss 900 Thermosteel Vaccum Insulated 24 Hours Hot & Cold Water Bottle, 820 ml, Red",Milton,1,0,0,964,4.4,995,20,"Wednesday, February 23",1,995
3,B07CVZ8G7T,"Milton Aqua 1000 Stainless Steel Water Bottle, 950 ml Each, Set of 3, Silver",Milton,1,0,0,899,4.0,"21,719",32,"Sunday, February 20",1,"21,719"
4,B079R9W1B6,"Milton Aqua 1000 Stainless Steel Water Bottle, 1 pc, 950 ml, Silver",Milton,0,0,0,310,4.0,"21,719",30,"Sunday, February 20",0,"21,719"
5,B00JDACK3S,"Milton Duo Deluxe 1000 Thermosteel 24 Hours Hot and Cold Water Bottle, 1 Litre, Silver",Milton,0,1,0,"1,150",4.4,"51,346",4,"Wednesday, February 23",1,"51,346"
6,B0995VW65M,"Aquaqlean Frosty Plastic Food Grade Fridge Square Water Bottle Set(6 Pieces, 1L,Assorted)",Aquaqlean,0,1,0,519,3.7,"4,129",52,"Tuesday, February 22",1,"4,129"
7,B09LHX49HP,"Stewit Water bottle set for Fridge, Office, Sports, School, Gym, Yoga | 1000 ML - Water Bottle | Unbreakable & Leak-Proof (1 Piece) Multi Color",Stewit,0,0,0,99,3.7,333,0,"Wednesday, February 23",0,333
8,B07BFBNFSF,"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted",Cello,0,0,0,383,4.4,"26,975",29,"Wednesday, February 23",0,"26,975"
9,B08FYVDRNK,"Speedex Stainless Steel Fridge Water Bottle/Refrigerator Bottle/Thunder with Sipper Cap(Pack of 1, Black Colour, 1000 ml)",Speedex,0,0,0,358,4.0,"1,431",35,"Tuesday, February 22",0,"1,431"
10,B07CRN4M43,"Cello Ozone Plastic Water Bottle, 1 Litre, Set of 3, Assorted",Cello,0,0,0,381,4.4,"8,476",14,"Tuesday, February 22",0,"8,476"
11,B07TK1Y6H3,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)",Cello,0,0,0,450,4.0,"3,958",21,"Sunday, February 20",0,"3,958"
12,B01BYBTZJA,"Cello H2O Unbreakable Plastic Bottle, 1 Litre, Assorted, Pack of 1",Cello,0,0,0,150,4.3,"13,709",24,"Monday, February 21",0,"13,709"
