Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,B00JDACK3S,"Milton Duo Deluxe 1000 Thermosteel 24 Hours Hot and Cold Water Bottle, 1 Litre, Silver",Milton,0,1,0,"1,099",4.4,"51,061",8,"Saturday, February 19",1,"51,061",https://m.media-amazon.com/images/I/61c-GtJ+0eL._AC_UL320_.jpg,Water bottle,"Milton Duo Deluxe 1000 Thermosteel 24 Hours Hot and Cold Water Bottle, 1 Litre, Silver",SKU: B00JDACK3S
1,B079R9W1B6,"Milton Aqua 1000 Stainless Steel Water Bottle, 1 pc, 950 ml, Silver",Milton,0,0,0,320,4,"21,560",27,"Wednesday, February 16",0,"21,560",https://m.media-amazon.com/images/I/61X1b09mK0L._AC_UL320_.jpg,Water bottle,"Milton Aqua 1000 Stainless Steel Water Bottle, 1 pc, 950 ml, Silver",SKU: B079R9W1B6
2,B0995VW65M,"Aquaqlean Frosty Plastic Food Grade Fridge Square Water Bottle Set(6 Pieces, 1L,Assorted)",Aquaqlean,0,1,0,519,3.7,"3,983",52,"Saturday, February 19",1,"3,983",https://m.media-amazon.com/images/I/51sF1z2PSMS._AC_UL320_.jpg,Water bottle,"Aquaqlean Frosty Plastic Food Grade Fridge Square Water Bottle Set(6 Pieces, 1L,Assorted)",SKU: B0995VW65M
3,B07BFBNFSF,"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted",Cello,0,0,0,350,4.4,"26,857",35,"Wednesday, February 16",0,"26,857",https://m.media-amazon.com/images/I/61Krpl7FGyL._AC_UL320_.jpg,Water bottle,"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted",SKU: B07BFBNFSF
4,B08FYVDRNK,"Speedex Stainless Steel Fridge Water Bottle/Refrigerator Bottle/Thunder with Sipper Cap(Pack of 1, Black Colour, 1000 ml)",Speedex,0,0,0,380,4,"1,404",31,"Friday, February 18",0,"1,404",https://m.media-amazon.com/images/I/51KfJV-cglL._AC_UL320_.jpg,Water bottle,"Speedex Stainless Steel Fridge Water Bottle/Refrigerator Bottle/Thunder with Sipper Cap(Pack of 1, Black Colour, 1000 ml)",SKU: B08FYVDRNK
5,B09LHX49HP,"Stewit Water bottle set for Fridge, Office, Sports, School, Gym, Yoga | 1000 ML - Water Bottle | Unbreakable & Leak-Proof (1 Piece) Multi Color",Stewit,0,0,0,99,3.7,301,0,"Friday, February 18",0,301,https://m.media-amazon.com/images/I/51+03Dl42dL._AC_UL320_.jpg,Water bottle,"Stewit Water bottle set for Fridge, Office, Sports, School, Gym, Yoga | 1000 ML - Water Bottle | Unbreakable & Leak-Proof (1 Piece) Multi Color",SKU: B09LHX49HP
6,B07CRN4M43,"Cello Ozone Plastic Water Bottle, 1 Litre, Set of 3, Assorted",Cello,0,0,0,381,4.4,"8,444",14,"Wednesday, February 16",0,"8,444",https://m.media-amazon.com/images/I/81p2VIbJAOL._AC_UL320_.jpg,Water bottle,"Cello Ozone Plastic Water Bottle, 1 Litre, Set of 3, Assorted",SKU: B07CRN4M43
7,B07DFQ7M98,"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water bottle, Black, 700ML",Borosil,0,0,0,750,4.3,"16,370",23,"Wednesday, February 16",1,"16,370",https://m.media-amazon.com/images/I/51A7VnwPAtL._AC_UL320_.jpg,Water bottle,"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water bottle, Black, 700ML",SKU: B07DFQ7M98
8,B07TK1Y6H3,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)",Cello,0,0,0,448,4,"3,914",21,"Wednesday, February 16",0,"3,914",https://m.media-amazon.com/images/I/51uDEwagW6L._SX425_.jpg,Water bottle,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)",SKU: B07TK1Y6H3
9,B07R1SHLCP,"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",Milton,0,0,0,964,4.3,"5,226",20,"Thursday, February 17",1,"5,226",https://m.media-amazon.com/images/I/71m0Y6DnnIL._AC_UL320_.jpg,Water bottle,"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",SKU: B07R1SHLCP
