,Rank,Probability distn
0,1,"{'B07VQXXF95': 0.25, 'B08WWDY6GW': 0.2, 'B08WX2YLNZ': 0.2, 'B08Y2HRDK7': 0.2, 'B0922KHVDY': 0.05, 'B09S3X2M43': 0.05, 'B0929P7NT1': 0.05}"
1,2,"{'B07VGX97ZG': 0.35, 'B09GBDZDJR': 0.2, 'B01IQYNO8G': 0.1, 'B09R4SHRDW': 0.05, 'B08KDD1PYQ': 0.05, 'B082KFDGC4': 0.05, 'B09K5LBLFF': 0.05, 'B09S7Z4JGG': 0.05, 'B08XBB9MMZ': 0.05, 'B07PB95QJG': 0.05}"
2,3,"{'B07DXHCJYQ': 0.25, 'B01IQYNO8G': 0.15, 'B09GBDZDJR': 0.1, 'B097LQY7CF': 0.1, 'B09L4VC2TT': 0.05, 'B08FXN3NV2': 0.05, 'B09N3S452C': 0.05, 'B08WX2YLNZ': 0.05, 'B07VMQCW9R': 0.05, 'B07VGX97ZG': 0.05, 'B07PB95QJG': 0.05, 'B07K2WWBNZ': 0.05}"
3,4,"{'B07VMQCW9R': 0.2, 'B00JDACK3S': 0.15, 'B07N66R4LD': 0.1, 'B082KDD1TN': 0.05, 'B09QMS9XQ6': 0.05, 'B09GBDZDJR': 0.05, 'B094YN8MH1': 0.05, 'B07DFK3NLJ': 0.05, 'B089NZK496': 0.05, 'B09NRY6KX5': 0.05, 'B07DCWMRX8': 0.05, 'B0929P7NT1': 0.05, 'B07CVZ8G7T': 0.05, 'B01IQYNO8G': 0.05}"
4,5,"{'B00JDACK3S': 0.9, 'B079R9W1B6': 0.1}"
5,6,"{'B079R9W1B6': 0.85, 'B00JDACK3S': 0.1, 'B0995VW65M': 0.05}"
6,7,"{'B0995VW65M': 0.7, 'B07BFBNFSF': 0.3}"
7,8,"{'B07BFBNFSF': 0.6, 'B0995VW65M': 0.25, 'B09LHX49HP': 0.1, 'B08FYVDRNK': 0.05}"
8,9,"{'B09LHX49HP': 0.45, 'B08FYVDRNK': 0.3, 'B07DFQ7M98': 0.1, 'B07BFBNFSF': 0.1, 'B00N3L3XB6': 0.05}"
9,10,"{'B09LHX49HP': 0.35, 'B08FYVDRNK': 0.3, 'B00N3L3XB6': 0.25, 'B07R1SHLCP': 0.05, 'B07CRN4M43': 0.05}"
10,11,"{'B07CRN4M43': 0.4, 'B07R1SHLCP': 0.25, 'B07DFQ7M98': 0.2, 'B09LHX49HP': 0.05, 'B08FYVDRNK': 0.05, 'B07CVZ8G7T': 0.05}"
11,12,"{'B07TK1Y6H3': 0.35, 'B07DFQ7M98': 0.2, 'B08FYVDRNK': 0.15, 'B07R1SHLCP': 0.15, 'B09LHX49HP': 0.05, 'B0824ZFCDN': 0.05, 'B07CRN4M43': 0.05}"
12,13,"{'B07TK1Y6H3': 0.25, 'B01BYBTZJA': 0.25, 'B07CRN4M43': 0.2, 'B08FYVDRNK': 0.15, 'B0929P7NT1': 0.1, 'B07R1SHLCP': 0.05}"
13,14,"{'B0824ZFCDN': 0.25, 'B01BYBTZJA': 0.2, 'B09GBDZDJR': 0.2, 'B07R1SHLCP': 0.15, 'B07TK1Y6H3': 0.1, 'B0929P7NT1': 0.05, 'B07F5SHD5H': 0.05}"
14,15,"{'B01BYBTZJA': 0.25, 'B079RJNJVR': 0.2, 'B07TK1Y6H3': 0.15, 'B09GBDZDJR': 0.15, 'B08Y2HRDK7': 0.05, 'B0824ZFCDN': 0.05, 'B07CRN4M43': 0.05, 'B077Z99BP2': 0.05, 'B07TVD8183': 0.05}"
15,16,"{'B01BYBTZJA': 0.15, 'B09GBDZDJR': 0.15, 'B0824ZFCDN': 0.1, 'B07TK1Y6H3': 0.1, 'B079RJNJVR': 0.1, 'B077Z99BP2': 0.1, 'B08Y2HRDK7': 0.05, 'B07CRN4M43': 0.05, 'B07TVD8183': 0.05, 'B07R1SHLCP': 0.05, 'B0929P7NT1': 0.05, 'B07F5SHD5H': 0.05}"
16,17,"{'B079RJNJVR': 0.25, 'B00N3L3XB6': 0.15, 'B00MIYM0VS': 0.1, 'B077Z99BP2': 0.1, 'B07NJJ7LDK': 0.1, 'B07TK1Y6H3': 0.05, 'B07CRN4M43': 0.05, 'B01BYBTZJA': 0.05, 'B08Y2HRDK7': 0.05, 'B09GBDZDJR': 0.05, 'B07TVD8183': 0.05}"
17,18,"{'B00MIYM0VS': 0.15, 'B0824ZFCDN': 0.15, 'B07NJJ7LDK': 0.15, 'B07CRN4M43': 0.1, 'B077Z99BP2': 0.1, 'B0929P7NT1': 0.1, 'B08Y2HRDK7': 0.05, 'B09GBDZDJR': 0.05, 'B00N3L3XB6': 0.05, 'B07VS1GPSN': 0.05, 'B081L3JP9V': 0.05}"
18,19,"{'B07NJJ7LDK': 0.2, 'B079RJNJVR': 0.15, 'B07TVD8183': 0.15, 'B00MIYM0VS': 0.1, 'B0929P7NT1': 0.1, 'B07CRN4M43': 0.05, 'B01BYBTZJA': 0.05, 'B07F5SHD5H': 0.05, 'B07R1SHLCP': 0.05, 'B09BP2M4SM': 0.05, 'B0824ZFCDN': 0.05}"
19,20,"{'B0929P7NT1': 0.3, 'B079RJNJVR': 0.1, 'B00MIYM0VS': 0.1, 'B07F5SHD5H': 0.1, 'B01BYBTZJA': 0.05, 'B09GBDZDJR': 0.05, 'B07NJJ7LDK': 0.05, 'B00N3L3XB6': 0.05, 'B077Z99BP2': 0.05, 'B07TVD8183': 0.05, 'B07THZR677': 0.05, 'B09BP2M4SM': 0.05}"
20,21,"{'B09K5LBLFF': 0.15, 'B07S9SW24Y': 0.15, 'B07CVZ8G7T': 0.1, 'B07DFK3NLJ': 0.1, 'B089NZK496': 0.1, 'B00JDACK3S': 0.1, 'B09GBC73JL': 0.05, 'B07DDCHX38': 0.05, 'B07DFQ7M98': 0.05, 'B01MTZ5SAP': 0.05, 'B09RNDBVLB': 0.05, 'B07NC7WGCX': 0.05}"
21,22,"{'B07DFK3NLJ': 0.2, 'B07DDCHX38': 0.15, 'B09GBC73JL': 0.1, 'B00JDACK3S': 0.1, 'B0868S19CD': 0.1, 'B09QHNHTBR': 0.05, 'B092DC3LR2': 0.05, 'B098KGQC7M': 0.05, 'B09CGHYTNG': 0.05, 'B07X6T6VR9': 0.05, 'B07SZNDVJ6': 0.05, 'B07D2JMT62': 0.05}"
22,23,"{'B09GBC73JL': 0.15, 'B0929P7NT1': 0.15, 'B07G3H1LTZ': 0.1, 'B00JDACK3S': 0.1, 'B09K5LBLFF': 0.05, 'B07P7ZWQMZ': 0.05, 'B09L4TJ9SM': 0.05, 'B098KGQC7M': 0.05, 'B07SLNFPD7': 0.05, 'B09QJMKNW5': 0.05, 'B0868S19CD': 0.05, 'B01IQYNO8G': 0.05, 'B089NZK496': 0.05, 'B07DDCHX38': 0.05}"
23,24,"{'B08WX2YLNZ': 0.1, 'B07DDCHX38': 0.1, 'B08YWL3QG5': 0.05, 'B07P5XM6GL': 0.05, 'B098KGQC7M': 0.05, 'B0993Z5HQ5': 0.05, 'B07F5QVYN8': 0.05, 'B09CGHYTNG': 0.05, 'B09K5LBLFF': 0.05, 'B07P94WPV1': 0.05, 'B09GBC73JL': 0.05, 'B07G3H1LTZ': 0.05, 'B07VMQCW9R': 0.05, 'B01IQYNO8G': 0.05, 'B09GBB5B1L': 0.05, 'B0869NL6G9': 0.05, 'B09QHNHTBR': 0.05, 'B09HKW1SCT': 0.05}"
24,25,"{'B07NJJ7LDK': 0.3, 'B00MIYM0VS': 0.1, 'B077Z99BP2': 0.1, 'B01IVBR4Y4': 0.1, 'B0929P7NT1': 0.1, 'B09GBDZDJR': 0.05, 'B09BP2M4SM': 0.05, 'B08Y2HRDK7': 0.05, 'B01BSY2ZTU': 0.05, 'B07F5SHD5H': 0.05, 'B092R2BD2D': 0.05}"
25,26,"{'B079RJNJVR': 0.15, 'B07NJJ7LDK': 0.15, 'B07F5SHBBP': 0.1, 'B077Z99BP2': 0.1, 'B00N3L3XB6': 0.1, 'B07F5SHD5H': 0.1, 'B01IVBR4Y4': 0.1, 'B07THZR677': 0.1, 'B01BSY2ZTU': 0.05, 'B081L3JP9V': 0.05}"
