,Unnamed: 0,Unnamed: 0.1,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,0,0,0,B08WWDY6GW,"SOLARA Unbreakable Silicone Water Bottle 1 Litres with Motivational Time Marker, Leakproof Durable BPA-free Non-Toxic Water bottle for office, gym | Detoxing eBook included | Orange Teal",SOLARA,1,1,0,849,4.6,"2,548",43,"Sunday, February 20",0,"2,548",https://m.media-amazon.com/images/I/81E0nYErVFL._SY355_.jpg,Water bottle_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
",SKU: B08WWDY6GW
1,1,1,1,B07VGX97ZG,"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water Bottle, 850 ML, Green",Borosil,1,0,0,"1,070",4.3,"16,370",2,"Friday, February 18",0,"16,370",https://m.media-amazon.com/images/I/51s-WtdgCjL._AC_UL320_.jpg,Water bottle_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
",SKU: B07VGX97ZG
2,2,2,2,B07VMQCW9R,"Borosil - Stainless Steel Hydra Travelease - Vacuum Insulated Flask Water Bottle, 420 ML, Brown",Borosil,1,0,0,610,4.0,"1,153",19,,1,"1,153",https://m.media-amazon.com/images/I/510I8FJ2UFL._SX425_.jpg,Water bottle_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07VMQCW9R
3,3,3,3,B07DFK3NLJ,"Borosil - Stainless Steel Hydra Natural - Vacuum Insulated Flask Water Bottle, 750ML",Borosil,1,0,0,995,4.0,"1,130",0,,1,"1,130",https://m.media-amazon.com/images/I/51E02yhDKdL._AC_UL320_.jpg,Water bottle_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07DFK3NLJ
4,4,4,4,B00JDACK3S,"Milton Duo Deluxe 1000 Thermosteel 24 Hours Hot and Cold Water Bottle, 1 Litre, Silver",Milton,0,1,0,"1,099",4.4,"51,061",8,"Saturday, February 19",1,"51,061",https://m.media-amazon.com/images/I/61c-GtJ+0eL._AC_UL320_.jpg,Water bottle_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B00JDACK3S
5,5,5,5,B079R9W1B6,"Milton Aqua 1000 Stainless Steel Water Bottle, 1 pc, 950 ml, Silver",Milton,0,0,0,320,4.0,"21,560",27,"Wednesday, February 16",0,"21,560",https://m.media-amazon.com/images/I/61X1b09mK0L._AC_UL320_.jpg,Water bottle_A1,,SKU: B079R9W1B6
6,6,6,6,B0995VW65M,"Aquaqlean Frosty Plastic Food Grade Fridge Square Water Bottle Set(6 Pieces, 1L,Assorted)",Aquaqlean,0,1,0,519,3.7,"3,983",52,"Saturday, February 19",1,"3,983",https://m.media-amazon.com/images/I/51sF1z2PSMS._AC_UL320_.jpg,Water bottle_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B0995VW65M
7,7,7,7,B07BFBNFSF,"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted",Cello,0,0,0,350,4.4,"26,857",35,"Wednesday, February 16",0,"26,857",https://m.media-amazon.com/images/I/61Krpl7FGyL._AC_UL320_.jpg,Water bottle_A1,,SKU: B07BFBNFSF
8,8,8,8,B08FYVDRNK,"Speedex Stainless Steel Fridge Water Bottle/Refrigerator Bottle/Thunder with Sipper Cap(Pack of 1, Black Colour, 1000 ml)",Speedex,0,0,0,380,4.0,"1,404",31,"Friday, February 18",0,"1,404",https://m.media-amazon.com/images/I/51KfJV-cglL._AC_UL320_.jpg,Water bottle_A1,,SKU: B08FYVDRNK
9,9,9,9,B09LHX49HP,"Stewit Water bottle set for Fridge, Office, Sports, School, Gym, Yoga | 1000 ML - Water Bottle | Unbreakable & Leak-Proof (1 Piece) Multi Color",Stewit,0,0,0,99,3.7,301,0,"Friday, February 18",0,301,https://m.media-amazon.com/images/I/51+03Dl42dL._AC_UL320_.jpg,Water bottle_A1,,SKU: B09LHX49HP
10,10,10,10,B07CRN4M43,"Cello Ozone Plastic Water Bottle, 1 Litre, Set of 3, Assorted",Cello,0,0,0,381,4.4,"8,444",14,"Wednesday, February 16",0,"8,444",https://m.media-amazon.com/images/I/81p2VIbJAOL._AC_UL320_.jpg,Water bottle_A1,,SKU: B07CRN4M43
11,11,11,11,B07DFQ7M98,"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water bottle, Black, 700ML",Borosil,0,0,0,750,4.3,"16,370",23,"Wednesday, February 16",1,"16,370",https://m.media-amazon.com/images/I/51A7VnwPAtL._AC_UL320_.jpg,Water bottle_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07DFQ7M98
12,12,12,12,B07TK1Y6H3,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)",Cello,0,0,0,448,4.0,"3,914",21,"Wednesday, February 16",0,"3,914",https://m.media-amazon.com/images/I/51uDEwagW6L._SX425_.jpg,Water bottle_A1,,SKU: B07TK1Y6H3
13,13,13,13,B07R1SHLCP,"Milton Flip Lid 1000 Thermosteel 24 Hours Hot and Cold Water Bottle with Bag, 1 Litre, Silver",Milton,0,0,0,964,4.3,"5,226",20,"Thursday, February 17",1,"5,226",https://m.media-amazon.com/images/I/71m0Y6DnnIL._AC_UL320_.jpg,Water bottle_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07R1SHLCP
14,14,14,14,B01BYBTZJA,"Cello H2O Unbreakable Plastic Bottle, 1 Litre, Assorted, Pack of 1",Cello,0,0,0,165,4.3,"13,643",16,"Wednesday, February 16",0,"13,643",https://m.media-amazon.com/images/I/51KMmj9n0dL._AC_UL320_.jpg,Water bottle_A1,,SKU: B01BYBTZJA
15,15,15,15,B09GBDZDJR,"Boldfit Sports Water Bottle - Leak-Proof BPA-Free Material Aqua Sipper Water Bottle for Home, Office, Gym Trekking, Camping",Boldfit,0,1,0,749,4.5,262,42,"Wednesday, February 16",1,262,,Water bottle_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09GBDZDJR
