,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
0,B07VQXXF95,"Borosil Stainless Steel Hydra Nova - Vacuum Insulated Flask Water Bottle, 500 ML, Blue",Borosil,0,0,0,759,4.3,"1,993",8,"Monday, February 14",1,"1,993",https://m.media-amazon.com/images/I/415lvAc8puL._SX425_.jpg
1,B0929P7NT1,"Amazon Brand - Solimo Stainless Steel Water Bottle, Set of 3, 1 L Each (Blitz)",Amazon,0,0,0,609,4,160,39,"Thursday, February 10",1,160,https://m.media-amazon.com/images/I/81mrMggUQnS._SY450_.jpg
2,B07VGX97ZG,"Borosil - Stainless Steel Hydra Trek - Vacuum Insulated Flask Water Bottle, 850 ML, Green",Borosil,1,0,0,899,4.3,"16,068",18,"Tuesday, February 15",1,"16,068",https://m.media-amazon.com/images/I/51s-WtdgCjL._AC_UL320_.jpg
3,B07DXHCJYQ,Borosil - vacuum insulated Hydra Coffeemate stainless Steel travel mug - spill proof - hot and cold_BT300BLK110_300ml,Borosil,1,0,0,589,4.1,"6,114",22,"Tuesday, February 15",1,"6,114",https://m.media-amazon.com/images/I/511i4FQGMaL._AC_UL320_.jpg
4,B07PB95QJG,"Amazon Brand - Solimo Plastic Water Bottle, 800ml, 6 Pieces, White",Amazon,1,0,0,516,4.3,781,53,"Sunday, February 20",1,781,https://m.media-amazon.com/images/I/71aEA4YJPJL._AC_UL320_.jpg
5,B07VMQCW9R,"Borosil - Stainless Steel Hydra Travelease - Vacuum Insulated Flask Water Bottle, 420 ML, Brown",Borosil,0,0,0,629,4,"1,136",17,"Monday, February 14",1,"1,136",https://m.media-amazon.com/images/I/510I8FJ2UFL._AC_UL320_.jpg
6,B00JDACK3S,"Milton Duo Deluxe 1000 Thermosteel 24 Hours Hot and Cold Water Bottle, 1 Litre, Silver",Milton,0,1,0,"1,145",4.4,"50,443",13,"Tuesday, February 15",1,"50,443",https://m.media-amazon.com/images/I/61c-GtJ+0eL._AC_UL320_.jpg
7,B079R9W1B6,"Milton Aqua 1000 Stainless Steel Water Bottle, 1 pc, 950 ml, Silver",Milton,0,0,0,330,4,"21,267",25,"Thursday, February 10",0,"21,267",https://m.media-amazon.com/images/I/61X1b09mK0L._AC_UL320_.jpg
8,B0995VW65M,"Aquaqlean Frosty Plastic Food Grade Fridge Square Water Bottle Set(6 Pieces, 1L,Assorted)",Aquaqlean,0,1,0,519,3.8,"3,721",52,"Saturday, February 12",1,"3,721",https://m.media-amazon.com/images/I/51WIeKtfaKL._AC_UL320_.jpg
9,B07BFBNFSF,"Cello Venice Plastic Bottle Set, 1 Litre, Set of 5, Assorted",Cello,0,0,0,350,4.4,"26,642",35,"Thursday, February 10",0,"26,642",https://m.media-amazon.com/images/I/61Krpl7FGyL._AC_UL320_.jpg
10,B08FXN3NV2,"Amazon Brand - Solimo Stainless Steel Insulated 24 Hours Hot or Cold Bottle Flask with Flip Lid and Cover, 1000ml, Silver",Amazon,1,0,0,819,4.2,"3,092",39,"Thursday, February 10",1,"3,092",https://m.media-amazon.com/images/I/61PIPuk5SYL._AC_UL320_.jpg
11,B09LHX49HP,"Stewit Water bottle set for Fridge, Office, Sports, School, Gym, Yoga | 1000 ML - Water Bottle | Unbreakable & Leak-Proof (1 Piece) Multi Color",Stewit,0,0,0,99,3.7,231,0,"Tuesday, February 15",0,231,https://m.media-amazon.com/images/I/51+03Dl42dL._AC_UL320_.jpg
12,B08FYVDRNK,"Speedex Stainless Steel Fridge Water Bottle/Refrigerator Bottle/Thunder with Sipper Cap(Pack of 1, Black Colour, 1000 ml)",Speedex,0,0,0,380,4,"1,359",31,"Sunday, February 13",0,"1,359",https://m.media-amazon.com/images/I/51KfJV-cglL._AC_UL320_.jpg
13,B07CRN4M43,"Cello Ozone Plastic Water Bottle, 1 Litre, Set of 3, Assorted",Cello,0,0,0,299,4.4,"8,352",33,"Thursday, February 10",0,"8,352",https://m.media-amazon.com/images/I/81p2VIbJAOL._AC_UL320_.jpg
14,B07TK1Y6H3,"Cello Puro Steel-X Benz Stainless Steel Water Bottle with Inner Steel and Outer Plastic , 900 ml (Pink)",Cello,0,0,0,454,4,"3,844",20,"Thursday, February 10",0,"3,844",https://m.media-amazon.com/images/I/51uDEwagW6L._AC_UL320_.jpg
15,B01BYBTZJA,"Cello H2O Unbreakable Plastic Bottle, 1 Litre, Assorted, Pack of 1",Cello,0,0,0,172,4.3,"13,526",13,"Saturday, February 12",0,"13,526",https://m.media-amazon.com/images/I/51KMmj9n0dL._AC_UL320_.jpg
16,B0824ZFCDN,"Milton Copper Charge 1000 Water Bottle, Set of 1, 960 ml, Copper,Brown",Milton,0,0,0,799,3.9,"8,443",22,"Friday, February 11",1,"8,443",https://m.media-amazon.com/images/I/51rzuM2L2cL._AC_UL320_.jpg
17,B07P7ZWQMZ,"Amazon Brand - Solimo Plastic Fridge Bottle Set (6 pieces, 1L, Checkered pattern, Multicolour)",Amazon,1,0,0,429,4.4,"16,560",39,"Thursday, February 10",0,"16,560",https://m.media-amazon.com/images/I/91LvKER5jhL._AC_UL320_.jpg
18,B079RJNJVR,"Milton Alive 750 Stainless Steel Water Bottle, 750 ml, Black",Milton,0,0,0,275,4.1,"4,693",22,"Friday, February 11",0,"4,693",https://m.media-amazon.com/images/I/71XPs4whHSL._AC_UL320_.jpg
19,B08Y2HRDK7,"SOLARA Tritan Unbreakable Water Bottle with Motivational Time Marker, Leakproof Durable BPA-Free Non-Toxic Water Bottle, Detoxing eBook included, Hunter Green, 1 Liters",SOLARA,1,1,0,849,4.6,"2,579",43,"Monday, February 21",0,"2,579",https://m.media-amazon.com/images/I/817HG+TJKhL._SY355_.jpg
20,B00N3L3XB6,"Cello Swift Stainless Steel Double Walled Flask, Hot and Cold, 1000ml, 1pc, Silver",Cello,0,0,0,949,4.3,"9,101",28,"Thursday, February 10",1,"9,101",https://m.media-amazon.com/images/I/61V+q5z6sIL._AC_UL320_.jpg
21,B07P5XM6GL,"Amazon Brand - Solimo Plastic Water Bottles, Set of 6 (Rectangular Pattern, 1 L each)",Amazon,1,0,0,449,4.4,135,33,"Sunday, February 13",0,135,https://m.media-amazon.com/images/I/712jMIy2ddL._SY879_.jpg
22,B00MIYM0VS,"Milton Thermosteel Flip Lid Flask, 1000 milliliters, Silver",Milton,0,1,0,908,4.3,"73,359",9,"Sunday, February 13",1,"73,359",https://m.media-amazon.com/images/I/71m0Y6DnnIL._AC_UL320_.jpg
23,B07NJJ7LDK,"Milton Super 1000 Single Wall Stainless Steel Bottle, 1000 ml, Silver,Set of 1",Milton,0,0,0,344,3.9,"6,428",22,"Sunday, February 13",0,"6,428",https://m.media-amazon.com/images/I/61m9tTS9aLL._AC_UL320_.jpg
24,B07P94WPV1,"Amazon Brand - Solimo Plastic Fridge Water Bottle Set (4 pieces, Multicolour, Citrus Pattern)",Amazon,1,0,0,329,4.4,"16,605",35,"Monday, February 14",0,"16,605",https://m.media-amazon.com/images/I/81FhsN94hoL._AC_UL320_.jpg
25,B09K5LBLFF,"Aquaqlean Frosty Plastic Food Grade Fridge Square Bottle Set(4 Pieces,1L,Labelled Floral Design)",Aquaqlean,1,1,0,519,3.8,"3,721",28,"Saturday, February 12",1,"3,721",https://m.media-amazon.com/images/I/61SM6a4Ho+L._AC_UL320_.jpg
26,B07DFK3NLJ,"Borosil - Stainless Steel Hydra Natural - Vacuum Insulated Flask Water Bottle, 750ML",Borosil,1,0,0,899,3.9,"1,114",6,"Tuesday, February 15",1,"1,114",https://m.media-amazon.com/images/I/51E02yhDKdL._AC_UL320_.jpg
