,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07MNL598L,"Boldfit Yoga mat for Women and Men with Cover Bag TPE Material 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip",Boldfit,1,0,0,"1,899",4.3,"1,157",24,"Tuesday, February 8",1,"1,157"
1,B097L8H5KK,"SOLARA Premium Yoga Mats for Men Large, Eco Friendly Non Slip Yoga Mat for Men 6 feet, Non Slip Surface and Optimal Cushioning,72""x 26"" | eBook and 50 videos included |",SOLARA,1,0,0,"1,849",4.5,585,26,"Thursday, February 10",0,585
2,B014PIGK92,Strauss Yoga Mat,Strauss,1,1,0,499,3.9,"10,553",62,"Tuesday, February 8",1,"10,553"
3,B07L315ZWV,"Boldfit Yoga Mat for Men and Women NBR Material with Carrying Strap, 1/2 Inch (10mm) Extra Thick Exercise Mats for Workout Yoga Fitness Pilates & High-Density Anti-Tear Non-Slip",Boldfit,1,0,0,940,3.8,"1,659",48,"Tuesday, February 8",1,"1,659"
4,B08LZXKQR5,"OJS ® EVA Yoga Mat with Carrying Bag for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Made in India)",OJS,0,1,0,499,3.9,"6,421",38,"Saturday, February 12",1,"6,421"
5,B09MS1GXKF,"FIT FOUR ® Yoga MAT for Men and Women with 4-MM Anti-Slip, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,0,299,3.7,93,82,"Monday, February 14",1,93
6,B01LP0VI3G,AmazonBasics 13mm Extra Thick Yoga and Exercise Mat with Carrying Strap,AmazonBasics,0,0,0,"1,049",4.2,"12,867",34,"Tuesday, February 8",1,"12,867"
7,B014PIGK92,Strauss Yoga Mat,Strauss,0,1,0,499,3.9,"10,553",62,"Tuesday, February 8",1,"10,553"
8,B09MFCTXWH,"FIT FOUR ® Yoga MAT for Men and Women with 6-MM Anti-Slip, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,1,369,4.0,43,77,"Monday, February 14",1,43
9,B08C4NFW7L,Roseate Yoga Mat 4MM Large with Free Skipping Rope & Carrying Bag High Density Anti-Skid for Men & Women Fitness Flooring Workout Sweat Proof for Gym/Home/Outdoor Workout,Roseate,0,0,0,499,3.8,"4,161",75,"Monday, February 14",1,"4,161"
