,Rank,Probability distn
0,1,"{'B07MNL598L': 0.45, 'B097L8H5KK': 0.3, 'B08KQGY56C': 0.05, 'B07R55ZJFL': 0.05, 'B09B6CP35Y': 0.05, 'B096BDBLBF': 0.05, 'B09BCB9ZCQ': 0.05}"
1,2,"{'B07MNL598L': 0.45, 'B097L8H5KK': 0.25, 'B09B6CP35Y': 0.1, 'B08KQGY56C': 0.05, 'B09491R2JP': 0.05, 'B09BCB9ZCQ': 0.05, 'B09RPVFWHW': 0.05}"
2,3,"{'B097L8H5KK': 0.25, 'B09491R2JP': 0.2, 'B09RPVFWHW': 0.15, 'B08KQGY56C': 0.1, 'B07L315ZWV': 0.1, 'B07BZWS7CR': 0.05, 'B07MNL598L': 0.05, 'B096BDBLBF': 0.05, 'B08CSSNJ19': 0.05}"
3,4,"{'B09RPVFWHW': 0.25, 'B07L315ZWV': 0.15, 'B08KQGY56C': 0.15, 'B07TTWC3RJ': 0.1, 'B09491R2JP': 0.1, 'B09B6CP35Y': 0.05, 'B096BDBLBF': 0.05, 'B095HVQ863': 0.05, 'B097L8H5KK': 0.05, 'B09MS3VY3P': 0.05}"
4,5,{'B08LZXKQR5': 1.0}
5,6,{'B09MS1GXKF': 1.0}
6,7,"{'B08D6PCPP2': 0.8, 'B014PIGK92': 0.2}"
7,8,"{'B014PIGK92': 0.8, 'B09MFCTXWH': 0.2}"
8,9,"{'B01LP0VI3G': 0.45, 'B09MFCTXWH': 0.15, 'B08C4NFW7L': 0.1, 'B01LP0V4JY': 0.1, 'B09Q16KQCJ': 0.1, 'B09M6VM2Y4': 0.1}"
9,10,"{'B08C4NFW7L': 0.3, 'B01LP0VI3G': 0.25, 'B09MFCTXWH': 0.2, 'B01LP0V4JY': 0.15, 'B07L315ZWV': 0.05, 'B09Q16KQCJ': 0.05}"
10,11,"{'B08C4NFW7L': 0.3, 'B09MFCTXWH': 0.3, 'B01LP0V4JY': 0.25, 'B091M5FN3V': 0.15}"
11,12,"{'B01LP0V4JY': 0.25, 'B091M5FN3V': 0.2, 'B08C4NFW7L': 0.15, 'B08KQGY56C': 0.1, 'B07L315ZWV': 0.1, 'B01LP0VI3G': 0.1, 'B09MFCTXWH': 0.05, 'B09Q16KQCJ': 0.05}"
12,13,"{'B07L315ZWV': 0.25, 'B091M5FN3V': 0.25, 'B01LP0V4JY': 0.1, 'B08KQGY56C': 0.1, 'B08C4NFW7L': 0.1, 'B09MFCTXWH': 0.1, 'B01LP0VI3G': 0.05, 'B07T3L6K2D': 0.05}"
13,14,"{'B091M5FN3V': 0.4, 'B07L315ZWV': 0.15, 'B09491R2JP': 0.15, 'B08KQGY56C': 0.15, 'B01LP0V4JY': 0.05, 'B08XJJFFCB': 0.05, 'B08C4NFW7L': 0.05}"
14,15,"{'B09491R2JP': 0.5, 'B08KQGY56C': 0.15, 'B01LP0V4JY': 0.1, 'B09Q64JQKN': 0.1, 'B09H47KSGN': 0.05, 'B08XJJFFCB': 0.05, 'B07L315ZWV': 0.05}"
15,16,"{'B08KQGY56C': 0.25, 'B07L315ZWV': 0.2, 'B09B6CP35Y': 0.15, 'B08XJJFFCB': 0.15, 'B08D3M5DJ7': 0.05, 'B09Q16KQCJ': 0.05, 'B09M6VM2Y4': 0.05, 'B09491R2JP': 0.05, 'B01LP0VI3G': 0.05}"
16,17,"{'B08XJJFFCB': 0.25, 'B08H5K1F5S': 0.2, 'B07L315ZWV': 0.15, 'B09491R2JP': 0.15, 'B08KQGY56C': 0.15, 'B09H47KSGN': 0.05, 'B08D8DD3ZK': 0.05}"
17,18,"{'B08XJJFFCB': 0.25, 'B09B6CP35Y': 0.2, 'B08KQDWSPD': 0.2, 'B08H5K1F5S': 0.1, 'B08D8DD3ZK': 0.1, 'B08D3M5DJ7': 0.05, 'B09M6VM2Y4': 0.05, 'B0993LYV1H': 0.05}"
18,19,"{'B08XJJFFCB': 0.2, 'B08H5K1F5S': 0.2, 'B09G2XM555': 0.1, 'B09M6VM2Y4': 0.1, 'B08D3M5DJ7': 0.1, 'B09B6CP35Y': 0.05, 'B09L7V8N1C': 0.05, 'B08KQDWSPD': 0.05, 'B08H5L3W11': 0.05, 'B08NC266ZH': 0.05, 'B08KQGY56C': 0.05}"
19,20,"{'B08KQDWSPD': 0.3, 'B09H7KNG8T': 0.2, 'B08H5L3W11': 0.1, 'B08D3M5DJ7': 0.05, 'B09G2XM555': 0.05, 'B07L315ZWV': 0.05, 'B09Q17ZNK5': 0.05, 'B08D8DD3ZK': 0.05, 'B09L7V8N1C': 0.05, 'B08H5K1F5S': 0.05, 'B099DZBYPQ': 0.05}"
20,21,"{'B01M27UI8Q': 0.35, 'B07L315ZWV': 0.3, 'B08CSSNJ19': 0.1, 'B09491R2JP': 0.05, 'B0993GP2GK': 0.05, 'B08H8VQV3K': 0.05, 'B08H8V266H': 0.05, 'B09RPVFWHW': 0.05}"
