,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,0,0,0,B07MNL598L,"Boldfit Yoga mat for Women and Men with Cover Bag TPE Material 6mm Extra Thick Exercise mat for Workout Yoga Fitness Pilates and Meditation, Anti Tear Anti Slip",Boldfit,1,0,0,"1,899",4.3,"1,183",24,"Friday, February 18",1,"1,183",https://m.media-amazon.com/images/I/61eS3QyId+L._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07MNL598L
1,1,1,1,B097L8H5KK,"SOLARA Premium Yoga Mats for Men Large, Eco Friendly Non Slip Yoga Mat for Men 6 feet, Non Slip Surface and Optimal Cushioning,72""x 26"" | eBook and 50 videos included |",SOLARA,1,0,0,"1,999",4.4,633,33,"Thursday, February 17",0,633,https://m.media-amazon.com/images/I/711Ny02SUYL._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
",SKU: B097L8H5KK
2,2,2,2,B08CSSNJ19,"VIFITKIT Non Slip Yoga Mat with Shoulder Strap and Carrying Bag, High Density Yoga mats for Home, Gym & Outdoor Workout (Made in India)",VIFITKIT,1,0,0,509,3.9,"6,092",66,"Sunday, February 20",1,"6,092",https://m.media-amazon.com/images/I/719Vx2ONBNL._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08CSSNJ19
3,3,3,3,B09MS3VY3P,"MuscleXP Yoga Mat for Women and Men with Cover Bag, Superior EVA Material, 6mm Extra Thick Exercise mat For Home Exercise, Anti Tear Anti Slip For Home & Gym Use (Purple)",MuscleXP,1,0,0,"1,199",5.0,19,14,"Friday, February 18",1,19,https://m.media-amazon.com/images/I/61aIu6Hfz+L._AC_UL320_.jpg,Yoga Mat_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09MS3VY3P
4,4,4,4,B08LZXKQR5,"OJS ® EVA Yoga Mat with Carrying Bag for Gym Workout and Yoga Exercise with 6mm Thickness, Anti-Slip Yoga Mat for Men & Women Fitness (Made in India)",OJS,0,1,0,474,3.9,"6,739",41,"Monday, February 21",0,"6,739",https://m.media-amazon.com/images/I/61U5fvYnciL._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B08LZXKQR5
5,5,5,5,B09MS1GXKF,"FIT FOUR ® Yoga MAT for Men and Women with 4-MM Anti-Slip, Light Weight, Extra Large Made by EVA Quality for Men & Women Gym Workout and Yoga Exercise with Shoulder Strap (Qnty-1 Pcs)",FIT,0,0,0,299,3.7,132,81,"Tuesday, February 22",1,132,https://m.media-amazon.com/images/I/61ItnCqZ6gL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09MS1GXKF
6,6,6,6,B08D6PCPP2,VIFITKIT Yoga Mat with Free Yoga mat Bag Anti Skid Yoga mat for Gym Workout and Flooring Exercise Long Size Yoga Mat for Men Women,VIFITKIT,0,0,0,399,3.9,"13,052",73,"Sunday, February 20",0,"13,052",https://m.media-amazon.com/images/I/51VCGKPseJS._AC_UL320_.jpg,Yoga Mat_A1,,SKU: B08D6PCPP2
7,7,7,7,B014PIGK92,Strauss Yoga Mat,Strauss,0,1,0,499,3.9,"10,661",62,"Friday, February 18",1,"10,661",https://m.media-amazon.com/images/I/71NmOeS1lfL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B014PIGK92
8,8,8,8,B09Q16KQCJ,Ozoy 13mm Extra Thick Yoga and Exercise Mat Anti Skid with Carrying Strap for Gym Workout and Flooring Exercise With bag,Ozoy,0,0,0,749,4.5,88,63,"Monday, February 21",1,88,https://m.media-amazon.com/images/I/71iwksJZpgL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09Q16KQCJ
9,9,9,9,B01LP0V4JY,AmazonBasics 13mm Extra Thick Yoga and Exercise Mat with Carrying Strap,AmazonBasics,0,0,0,751,4.2,"23,323",53,"Friday, February 18",1,"23,323",https://m.media-amazon.com/images/I/71yiGkTuuIL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B01LP0V4JY
10,10,10,10,B08C4NFW7L,Roseate Yoga Mat 4MM Large with Free Skipping Rope & Carrying Bag High Density Anti-Skid for Men & Women Fitness Flooring Workout Sweat Proof for Gym/Home/Outdoor Workout,Roseate,0,0,0,499,3.8,"4,232",75,"Tuesday, February 22",1,"4,232",https://m.media-amazon.com/images/I/71sQrVz3lHL._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08C4NFW7L
11,11,11,11,B07L315ZWV,"Boldfit Yoga Mat for Men and Women NBR Material with Carrying Strap, 1/2 Inch (10mm) Extra Thick Exercise Mats for Workout Yoga Fitness Pilates & High-Density Anti-Tear Non-Slip",Boldfit,0,0,0,987,3.9,"1,717",45,"Friday, February 18",1,"1,717",https://m.media-amazon.com/images/I/6104G764M6L._AC_UL320_.jpg,Yoga Mat_A1,"<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07L315ZWV
