,SKU,Category,Price,Rating,NoofRatings,linkofproduct
0,"Mi 11X Pro 5G (Lunar White, 8GB RAM, 128GB Storage) | Snapdragon 888 | 108MP Camera | Upto 2000 Additional Exchange",Smartphones,"₹ 39,999.00",3.9 out of 5 stars,341 ratings,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01802812ELFOGVBC3JFR&url=%2FMi11XPro-Lunar-White-128GB-Storage%2Fdp%2FB085J1KCGP%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmobile%2Bphone%26qid%3D1625229857%26sr%3D8-1-spons%26psc%3D1&qualifier=1625229857&id=7415245033791866&widgetName=sp_atf
1,"OPPO A74 5G (Fluid Black,6GB RAM,128GB Storage) Android Smartphone,5000 mAh battery,18W Fast Charge,90Hz LCD Display",Smartphones,"₹ 17,990.00",4.2 out of 5 stars,"2,217 ratings",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0170172372GMSED1UV8H&url=%2FStorage-Android-Smartphone-battery-Display%2Fdp%2FB08VB2CMR3%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmobile%2Bphone%26qid%3D1625229857%26sr%3D8-2-spons%26psc%3D1&qualifier=1625229857&id=7415245033791866&widgetName=sp_atf
2,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)| 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Smartphones,"₹ 8,999.00",4.2 out of 5 stars,"54,178 ratings",https://www.amazon.in/Redmi-Sky-Blue-64GB-Storage/dp/B08697N43N/ref=sr_1_3?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-3
3,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Smartphones,"₹ 6,999.00",4.2 out of 5 stars,"58,014 ratings",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B08696XB4B/ref=sr_1_4?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-4
4,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",Smartphones,"₹ 6,999.00",4.2 out of 5 stars,4 ratings,https://www.amazon.in/realme-Storage-Additional-Exchange-Offers/dp/B096RWS54N/ref=sr_1_5?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-5
5,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",Smartphones,"₹ 8,999.00",4.2 out of 5 stars,"54,178 ratings",https://www.amazon.in/Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=sr_1_6?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-6
6,Nokia 105 Single SIM (Black),Basic Mobiles,"₹ 1,239.00",4.1 out of 5 stars,"33,348 ratings",https://www.amazon.in/Nokia-105-2019-Single-Black/dp/B07YYNX5X6/ref=sr_1_7?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-7
7,Nokia 105 Single SIM (Blue),Basic Mobiles,"₹ 1,205.00",4.1 out of 5 stars,"33,348 ratings",https://www.amazon.in/Nokia-105-2019-Single-Blue/dp/B07YYNLCD2/ref=sr_1_8?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-8
8,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,Smartphones,"₹ 6,999.00",4.2 out of 5 stars,"58,014 ratings",https://www.amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_9?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-9
9,Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,Smartphones,"₹ 6,999.00",4.2 out of 5 stars,"58,014 ratings",https://www.amazon.in/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_10?dchild=1&keywords=mobile+phone&qid=1625229857&sr=8-10
