,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",1,0,0,133,4.5,"3,077",17,"Sunday, January 30",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08263493LVQGXPVK64QI&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB014SZORQA%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175172%26sr%3D8-1-spons%26psc%3D1&qualifier=1643175172&id=1082206273304028&widgetName=sp_atf
1,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",1,0,1,320,4.5,"7,382",0,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09231161W7FLCGKST7Q0&url=%2FDuracell-Alkaline-Battery-Duralock-Technology%2Fdp%2FB01DJJVFPC%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175172%26sr%3D8-2-spons%26psc%3D1&qualifier=1643175172&id=1082206273304028&widgetName=sp_atf
2,AmazonBasics AAA Performance Alkaline Batteries (20-Pack) - Appearance May Vary,0,0,0,379,4.4,"83,084",23,"Sunday, January 30",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Batteries-20-Pack/dp/B00NTCHCU2/ref=sr_1_3?keywords=AAA+batteries&qid=1643175172&sr=8-3
3,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",0,0,0,133,4.5,"3,077",17,"Sunday, January 30",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B014SZORQA/ref=sr_1_4?keywords=AAA+batteries&qid=1643175172&sr=8-4
4,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,0,0,0,199,4.2,"15,088",33,"Sunday, January 30",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries/dp/B00O869QUC/ref=sr_1_5?keywords=AAA+batteries&qid=1643175172&sr=8-5
5,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",0,0,1,320,4.5,"7,382",0,"Friday, January 28",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B01DJJVFPC/ref=ice_ac_b_dpb?keywords=AAA+batteries&qid=1643175172&sr=8-6
6,Energizer Max Alkaline AAA Batteries - Pack of 6,0,0,0,175,4.3,"3,742",0,"Friday, January 28",1,https://www.amazon.in/Energizer-Max-Alkaline-AAA-Batteries/dp/B07Y24GN3H/ref=sr_1_7?keywords=AAA+batteries&qid=1643175172&sr=8-7
7,"PANASONIC, Gold Plus AAA Battery is for WHO Think Smart- Pack of 20 no's",0,0,0,270,4.2,430,23,"Tuesday, February 1",1,https://www.amazon.in/PANASONIC-AAA-Battery-Think-Smart/dp/B07HDBJPJ7/ref=sr_1_8?keywords=AAA+batteries&qid=1643175172&sr=8-8
8,AmazonBasics AAA Performance Alkaline Non-rechargeable Batteries (36 Count) - Appearance May Vary,0,0,0,599,4.4,"10,081",14,"Friday, January 28",1,https://www.amazon.in/AmazonBasics-Performance-Alkaline-Non-rechargeable-Batteries/dp/B00LH3DMUO/ref=sr_1_9?keywords=AAA+batteries&qid=1643175172&sr=8-9
9,"Duracell Rechargeable AAA 750mAh Batteries, 2 Pcs",0,0,0,217,4.3,"62,712",1,"Friday, January 28",1,https://www.amazon.in/Duracell-5000166-Rechargeable-Batteries-Green/dp/B003B0048O/ref=sr_1_10?keywords=AAA+batteries&qid=1643175172&sr=8-10
10,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,1,0,0,199,4.2,"15,088",33,"Sunday, January 30",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01530642N6L8YZ0YFX7N&url=%2FAmazonBasics-Performance-Alkaline-Non-Rechargeable-Batteries%2Fdp%2FB00O869QUC%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175172%26sr%3D8-11-spons%26psc%3D1&qualifier=1643175172&id=1082206273304028&widgetName=sp_mtf
11,AmazonBasics AAA Performance Alkaline Batteries (20-Pack) - Appearance May Vary,1,0,0,379,4.4,"83,084",23,"Sunday, January 30",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A015346416GCH3IGJ3JMC&url=%2FAmazonBasics-Performance-Alkaline-Batteries-20-Pack%2Fdp%2FB00NTCHCU2%2Fref%3Dsr_1_12_sspa%3Fkeywords%3DAAA%2Bbatteries%26qid%3D1643175172%26sr%3D8-12-spons%26psc%3D1&qualifier=1643175172&id=1082206273304028&widgetName=sp_mtf
12,"Duracell Rechargeable AAA 750mAh Batteries, 4 Pcs",0,0,0,449,4.3,"62,712",10,"Friday, January 28",1,https://www.amazon.in/Duracell-AAA-750mAh-Rechargeable-Batteries/dp/B003B00484/ref=sr_1_13?keywords=AAA+batteries&qid=1643175172&sr=8-13
13,"Duracell Ultra Alkaline AAA Battery, 12 Pcs",0,0,0,510,4.5,"7,382",0,"Friday, January 28",1,https://www.amazon.in/Duracell-Alkaline-Battery-Duralock-Technology/dp/B01DJJVGBA/ref=sr_1_14?keywords=AAA+batteries&qid=1643175172&sr=8-14
14,Eveready AAA Heavy Duty Batteries - 10 Pieces (Red),0,0,0,177,4.3,491,15,"Friday, February 11",0,https://www.amazon.in/Eveready-Alkaline-Batteries-1012-Battery/dp/B00ZRBWPA0/ref=sr_1_15?keywords=AAA+batteries&qid=1643175172&sr=8-15
15,"Duracell Alkaline AAA Battery Chhota Power, 12 Pcs",0,0,0,270,4.4,194,5,"Sunday, January 30",1,https://www.amazon.in/Duracell-Alkaline-Battery-Chhota-Power/dp/B096K6HTTF/ref=sr_1_16?keywords=AAA+batteries&qid=1643175172&sr=8-16
16,"Duracell Rechargeable AAA 900mAh Batteries, 4 Pcs",0,0,0,799,4.3,"62,712",20,"Friday, January 28",1,https://www.amazon.in/Duracell-Ultra-5003449-Rechargeable-Batteries/dp/B0031YLTSY/ref=sr_1_17?keywords=AAA+batteries&qid=1643175172&sr=8-17
