,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B00O869QUC,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,1,0,0,189,4.2,"15,371",36,,0,"15,371"
1,B01DJJVGBA,"Duracell Ultra Alkaline AAA Battery, 12 Pcs",Duracell,1,0,0,484,4.5,"7,541",0,"Wednesday, February 23",0,"7,541"
2,B014SZORQA,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",Duracell,0,0,1,157,4.5,"3,311",1,"Wednesday, February 16",0,"3,311"
3,B00O869QUC,AmazonBasics AAA Performance Alkaline Non-Rechargeable Batteries (8-Pack) - Appearance May Vary,AmazonBasics,0,0,0,189,4.2,"15,371",36,,0,"15,371"
4,B01DJJVFPC,"Duracell Ultra Alkaline AAA Battery, 8 Pcs",Duracell,0,0,0,303,4.5,"7,541",5,"Wednesday, February 23",0,"7,541"
5,B07Y24GN3H,Energizer Max Alkaline AAA Batteries - Pack of 6,Energizer,0,0,0,175,4.3,"3,795",0,"Monday, February 14",1,"3,795"
6,B00LH3DMUO,AmazonBasics AAA Performance Alkaline Non-rechargeable Batteries (36 Count) - Appearance May Vary,AmazonBasics,0,0,0,599,4.4,"10,180",14,"Monday, February 14",1,"10,180"
7,B07HDBJPJ7,"PANASONIC, Gold Plus AAA Battery is for WHO Think Smart- Pack of 20 no's","PANASONIC,",0,0,0,309,4.2,443,12,"Friday, February 18",1,443
8,B003B0048O,"Duracell Rechargeable AAA 750mAh Batteries, 2 Pcs",Duracell,0,0,0,220,4.3,"63,847",0,"Wednesday, February 16",1,"63,847"
9,B09MDGG2HG,Smartcell 1.5V AAA Non-Rechargeable Alkaline Mini Series Battery Pack of 10,Smartcell,0,0,0,163,4.4,8,9,"Wednesday, February 16",1,8
10,B014SZORQA,"Duracell Ultra Alkaline AAA Battery, 4 Pcs",Duracell,1,0,1,157,4.5,"3,311",1,"Wednesday, February 16",0,"3,311"
11,B01LEQTYZK,Envie Infinite AAA 800 2PL Rechargeable Battery,Envie,1,0,0,250,4.0,"18,865",0,"Friday, February 18",0,"18,865"
12,B003B00484,"Duracell Rechargeable AAA 750mAh Batteries, 4 Pcs",Duracell,0,0,0,449,4.3,"63,847",10,"Monday, February 14",1,"63,847"
13,B01DJJVGBA,"Duracell Ultra Alkaline AAA Battery, 12 Pcs",Duracell,0,0,0,484,4.5,"7,541",0,"Wednesday, February 23",0,"7,541"
14,B096K52RM5,"Duracell Alkaline AAA Battery Chhota Power, 8 Pcs",Duracell,0,0,0,170,4.5,224,11,,0,224
15,B00ZRBWPA0,Eveready AAA Heavy Duty Batteries - 10 Pieces (Red),Eveready,0,0,0,184,4.3,501,12,"Wednesday, February 23",0,501
16,B07VL4ZHDF,"Energizer Max Long Lasting High Performance Batteries AAA, Pack of 12",Energizer,0,0,0,340,4.4,"1,111",0,"Monday, February 14",1,"1,111"
17,B017SKZM7U,"Eveready AAA Alkaline Batteries (Red, Pack of 10)",Eveready,0,0,0,118,3.8,7,21,"Saturday, February 19",0,7
