,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 5",1,1,0,370,4.4,"64,605",26,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0400727171MVHVVZS03G&url=%2FLittles-Soft-Cleansing-Baby-Wipes%2Fdp%2FB07H4QVST1%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBaby%2Bwipes%26qid%3D1643207888%26sr%3D8-1-spons%26psc%3D1&qualifier=1643207888&id=2235653971787943&widgetName=sp_atf
1,"Johnson's Baby Skincare Wipes with Lid, 72s Twin Pack (Buy 2 Get 1 Free) (432 Wet Wipes), White",1,0,0,735,4.5,"5,196",43,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A04440842G5WHN1J6Y8LO&url=%2FJohnsons-Baby-Skincare-Wipes-White%2Fdp%2FB097779Z6B%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBaby%2Bwipes%26qid%3D1643207888%26sr%3D8-2-spons%26psc%3D1&qualifier=1643207888&id=2235653971787943&widgetName=sp_atf
2,"Pampers Baby Gentle Wet Wipes with Aloe Vera, 72 wipes (pack of 5)",1,0,0,567,4.3,"4,225",43,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07521912UC2TL1QC8BFQ&url=%2FPampers-Baby-Gentle-Wipes-wipes%2Fdp%2FB09H75QMV9%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DBaby%2Bwipes%26qid%3D1643207888%26sr%3D8-3-spons%26psc%3D1&qualifier=1643207888&id=2235653971787943&widgetName=sp_atf
3,Amazon Brand - Mama Bear 98% Water Wipes - 72 wipes/pack (Pack of 3),1,0,0,303,3.8,106,0,"Friday, January 28",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08191362NEWAB25VU2Y6&url=%2FAmazon-Brand-Water-Wipes-wipes%2Fdp%2FB07RMRDZMW%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DBaby%2Bwipes%26qid%3D1643207888%26sr%3D8-4-spons%26psc%3D1&qualifier=1643207888&id=2235653971787943&widgetName=sp_atf
4,Himalaya Gentle Baby Wipes - 72 Pieces (Pack of 2),0,0,1,227,4.4,"19,503",35,"Monday, January 31",1,https://www.amazon.in/Himalaya-gentle-Wipes-72Napkins-packs/dp/B017VOMJ6A/ref=ice_ac_b_dpb?keywords=Baby+wipes&qid=1643207888&sr=8-5
5,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 3",0,1,0,232,4.4,"64,605",57,"Friday, January 28",1,https://www.amazon.in/Littles-Soft-Cleansing-Baby-Wipes/dp/B004X7545M/ref=sr_1_6?keywords=Baby+wipes&qid=1643207888&sr=8-6
6,"Mee Mee Caring Baby Wet Wipes with lid, 72 Pcs (Aloe Vera, Pack of 3)",0,0,0,210,4.4,"13,348",41,"Friday, January 28",1,https://www.amazon.in/Mee-Caring-Baby-Wipes-Free/dp/B07X34F9MF/ref=sr_1_7?keywords=Baby+wipes&qid=1643207888&sr=8-7
7,Mee Mee Baby Gentle Wet Wipes with Aloe Vera extracts |72 pcs| Pack of 5,0,0,0,380,4.5,"14,908",41,"Sunday, January 30",1,https://www.amazon.in/Mee-Caring-Baby-Wipes-Aloe/dp/B0742BRWS2/ref=sr_1_8?keywords=Baby+wipes&qid=1643207888&sr=8-8
8,Mee Mee Baby Gentle Wet Wipes with Lemon extracts |72 pcs| Pack of 3,0,0,0,189,4.3,"5,766",36,"Friday, January 28",1,https://www.amazon.in/Mee-Caring-Wipes-Lemon-Fragrance/dp/B00DUATX1Y/ref=sr_1_9?keywords=Baby+wipes&qid=1643207888&sr=8-9
9,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 6",0,1,0,439,4.4,"64,605",59,"Friday, January 28",1,https://www.amazon.in/Littles-Soft-Cleansing-Baby-Wipes/dp/B07H4RL1XW/ref=sr_1_10?keywords=Baby+wipes&qid=1643207888&sr=8-10
