,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B091Q8VD69,"Johnson's Baby Skincare Wipes with Lid, Pack of 2, 72s x 2 (144 Wipes), White, Large (Model: Baby Wipes)",Johnson's,1,0,0,361,4.5,"19,100",16,"Tuesday, February 8",1,"19,100"
1,B097779Z6B,"Johnson's Baby Skincare Wipes with Lid, 72s Twin Pack (Buy 2 Get 1 Free) (432 Wet Wipes), White",Johnson's,1,0,0,748,4.5,"5,248",42,"Friday, February 11",1,"5,248"
2,B004X7545M,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 3",Little's,1,1,0,239,4.4,"65,590",56,"Tuesday, February 8",1,"65,590"
3,B09H75QMV9,"Pampers Baby Gentle Wet Wipes with Aloe Vera, 72 wipes (pack of 5)",Pampers,1,0,0,567,4.3,"4,265",43,,1,"4,265"
4,B017VOMJ6A,Himalaya Gentle Baby Wipes - 72 Pieces (Pack of 2),Himalaya,0,0,0,236,4.4,"19,836",33,"Tuesday, February 8",1,"19,836"
5,B07X34F9MF,"Mee Mee Caring Baby Wet Wipes with lid, 72 Pcs (Aloe Vera, Pack of 3)",Mee,0,0,1,259,4.4,"13,495",28,"Tuesday, February 8",1,"13,495"
6,B004X7545M,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 3",Little's,0,1,0,239,4.4,"65,590",56,"Tuesday, February 8",1,"65,590"
7,B00DUATX1Y,Mee Mee Baby Gentle Wet Wipes with Lemon extracts |72 pcs| Pack of 3,Mee,0,0,0,287,4.3,"5,877",3,"Wednesday, February 16",0,"5,877"
8,B00DRE0LQY,"Mee Mee Baby Gentle Wet Wipes with Aloe Vera extracts, 72 counts, Pack of 3",Mee,0,0,0,203,4.4,"20,517",32,"Friday, February 11",1,"20,517"
9,B07H4RL1XW,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 6",Little's,0,1,0,449,4.4,"65,590",58,"Tuesday, February 8",1,"65,590"
