,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B091Q8VD69,"Johnson's Baby Skincare Wipes with Lid, Pack of 2, 72s x 2 (144 Wipes), White, Large (Model: Baby Wipes)",Johnson's,1,0,0,335,4.5,"19,235",22,"Wednesday, February 16",1,"19,235"
1,B097779Z6B,"Johnson's Baby Skincare Wipes with Lid, 72s Twin Pack (Buy 2 Get 1 Free) (432 Wet Wipes), White",Johnson's,1,0,0,709,4.5,"5,314",45,"Thursday, February 17",1,"5,314"
2,B004X7545M,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 3",Little's,1,1,0,239,4.4,"66,908",56,"Wednesday, February 16",1,"66,908"
3,B09H75QMV9,"Pampers Baby Gentle Wet Wipes with Aloe Vera, 72 wipes (pack of 5)",Pampers,1,0,0,567,4.3,"4,328",43,,1,"4,328"
4,B07X34F9MF,"Mee Mee Caring Baby Wet Wipes with lid, 72 Pcs (Aloe Vera, Pack of 3)",Mee,0,0,1,329,4.4,"13,702",8,"Wednesday, February 16",1,"13,702"
5,B017VOMJ6A,Himalaya Gentle Baby Wipes - 72 Pieces (Pack of 2),Himalaya,0,0,0,236,4.4,"20,296",33,"Wednesday, February 16",1,"20,296"
6,B07H4RL1XW,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 6",Little's,0,1,0,449,4.4,"66,908",58,"Wednesday, February 16",1,"66,908"
7,B004X7545M,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 3",Little's,0,1,0,239,4.4,"66,908",56,"Wednesday, February 16",1,"66,908"
8,B00DRE0LQY,"Mee Mee Baby Gentle Wet Wipes with Aloe Vera extracts, 72 counts, Pack of 3",Mee,0,0,0,202,4.4,"20,782",32,"Monday, February 21",0,"20,782"
9,B088TZJVGH,"Little's Soft Cleansing Baby Wipes Lid, 80 Wipes (Pack of 6)",Little's,0,1,0,499,4.4,"66,908",58,"Wednesday, February 16",1,"66,908"
10,B088TZC4B7,"Little's Soft Cleansing Baby Wipes Lid, 80 Wipes (Pack of 2)",Little's,0,1,0,201,4.4,"66,908",49,"Wednesday, February 16",1,"66,908"
11,B0817QL63X,"LuvLap Moisturising Baby Wipes with Aloe Vera, (72 Wipes/Pack, Pack of 3)",LuvLap,0,0,0,205,4.3,"33,823",0,"Wednesday, February 16",1,"33,823"
12,B00DUATX1Y,Mee Mee Baby Gentle Wet Wipes with Lemon extracts |72 pcs| Pack of 3,Mee,0,0,0,202,4.3,"5,998",32,,1,"5,998"
13,B08395732F,"LuvLap Paraben Free Baby Wipes with Aloe Vera, with Fliptop Lid (72 Wipes/Pack)",LuvLap,0,0,0,82,4.3,"33,823",29,"Wednesday, February 16",1,"33,823"
14,B06X3QS2F5,Mee Mee Baby Gentle Wet Wipes with Lemon extracts |72 pcs| Pack of 1,Mee,0,0,0,73,4.2,67,26,"Wednesday, February 16",1,67
15,B088TZC4B6,"Little's Soft Cleansing Baby Wipes Lid, 80 Wipes (Pack of 3)",Little's,0,1,0,269,4.4,"66,908",55,"Wednesday, February 16",1,"66,908"
16,B0817S14MZ,"LuvLap Moisturising Wipes with Aloe Vera Lid (72 Wipes/Pack, Pack of 3)",LuvLap,0,0,0,238,4.3,"33,823",31,"Friday, February 18",1,"33,823"
17,B07QN6MGF7,"Supples Baby Wet Wipes with Aloe Vera and Vitamin E, 72 Wipes/Pack, (Pack of 6)",Supples,0,0,0,426,4.4,"47,594",43,,0,"47,594"
18,B097779Z6B,"Johnson's Baby Skincare Wipes with Lid, 72s Twin Pack (Buy 2 Get 1 Free) (432 Wet Wipes), White",Johnson's,0,0,0,709,4.5,"5,314",45,"Thursday, February 17",1,"5,314"
19,B07H4QVST1,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 5",Little's,0,1,0,379,4.4,"66,908",24,,1,"66,908"
20,B0992JG7ST,"Mylo Care Gentle Baby Wipes, Soft Cleansing Baby Wipes with Coconut Oil, 98% Pure Water & Aloe Vera, 0% Alcohol, Parabens and Soap Free, Ideal For Your Baby's Everyday Skin Care Routine, with lid (80 Pieces, Pack of 6)",Mylo,1,0,0,498,4.3,238,54,"Sunday, February 20",0,238
21,B09H758X4C,"MamyPoko Extra clean wipes with Aloe vera - 72 wipes, pack of 3 and 120 wipes, pack of 2",MamyPoko,1,0,0,724,4.2,161,35,,1,161
22,B0817QL63X,"LuvLap Moisturising Baby Wipes with Aloe Vera, (72 Wipes/Pack, Pack of 3)",LuvLap,1,0,0,205,4.3,"33,823",0,"Wednesday, February 16",1,"33,823"
23,B08D6RKMK6,"goodnessme Made with Organic Pure Water Baby Wet Wipes, Pediatrician Certified, Pack of 3 (216 Wipes) | Hypoallergenic, Derma Tested, Vegan",goodnessme,1,0,0,385,4.6,"1,192",31,"Wednesday, February 16",1,"1,192"
24,B0742D2QTB,Mee Mee Baby Gentle Wet Wipes with Lemon extracts |72 pcs| Pack of 5,Mee,0,0,0,371,4.4,"1,959",25,"Friday, February 18",0,"1,959"
25,B088V1X3H6,"Little's Soft Cleansing Baby Wipes Lid, 80 Wipes (Pack of 4)",Little's,0,1,0,349,4.4,"66,908",52,"Thursday, February 17",1,"66,908"
26,B08J7HNJGJ,BeeBaby Fresh Aloe Vera Baby Wet Wipes with Plastic Lid - 2 Pack of 80 Pieces,BeeBaby,0,0,0,190,4.3,155,24,"Monday, February 21",0,155
27,B091Q8VD69,"Johnson's Baby Skincare Wipes with Lid, Pack of 2, 72s x 2 (144 Wipes), White, Large (Model: Baby Wipes)",Johnson's,0,0,0,335,4.5,"19,235",22,"Wednesday, February 16",1,"19,235"
28,B08LWQJ2TX,"Pampers Baby Gentle Wet Wipes with Aloe Vera, 144 Wipes",Pampers,0,0,0,365,4.3,"3,470",8,"Saturday, February 19",1,"3,470"
29,B09734TZCG,Mamaearth India's First Organic Bamboo Based Baby Wipes – Pack of 3 (72x3),Mamaearth,0,0,0,375,4.3,453,50,"Wednesday, February 16",1,453
30,B09GP8BLSM,NOVEL Baby Wet Wipes / Pack With Lid (Pack of 6 - 80 Sheet),NOVEL,0,0,0,299,4.6,20,74,"Saturday, February 19",1,20
31,B07B2LGT97,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 2",Little's,0,1,0,169,4.4,"66,884",53,"Wednesday, February 16",1,"66,884"
32,B07H4MXJZK,"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 4",Little's,0,1,0,309,4.4,"66,884",57,"Wednesday, February 16",1,"66,884"
33,B07VL2Z8R5,"Roo & Boo Baby Wet Wipes - Paraben Free , 99% Water Wipes (30 pcs/pack) (Pack of 4)",Roo,0,0,0,155,4.2,"5,644",30,"Wednesday, February 16",1,"5,644"
34,B0827R6LDX,"LuvLap Paraben Free 99% Pure Water Nourishing Baby Wipes, with Fliptop Lid (72 Wipes/Pack, Pack of 3)",LuvLap,0,0,0,259,4.3,"33,823",25,"Sunday, February 20",1,"33,823"
35,B08LFSHQCQ,"Pampers Baby Gentle Wet Wipes with Aloe Vera, 72 Wipes",Pampers,0,0,0,162,4.3,"4,328",19,"Saturday, February 19",0,"4,328"
36,B078TD11PD,"BodyGuard Baby Wet Wipes - (3 Packs, 72 Wipes per Pack)",BodyGuard,0,0,0,225,4.2,"3,523",40,"Saturday, February 19",1,"3,523"
37,B09GP9N5RX,NOVEL Baby Wet Wipes / Pack With Lid (Pack of 3 - 80 sheet),NOVEL,0,0,0,224,4.5,7,62,"Thursday, February 24",0,7
38,B081VLS54B,"Morisons* babydreams THE CHOICE OF SMART MUMS Dreams Baby Wipes (White, 72 Wipes Per Pack) -Pack of 3",Morisons*,0,0,0,199,4.2,672,33,"Friday, February 18",1,672
39,B091NWLVVM,"STIORA (Pack of 2, 160 Pcs) Baby Care Wipes with Aloe Vera Extract (80 Wipes/ Pack), Bath Wipe, Body Cleansing Skincare Wet Wipes, Moisturizing & Nourishing Baby Wipes",STIORA,0,0,0,254,4.6,48,36,"Friday, February 18",1,48
40,B0742BRWS2,Mee Mee Baby Gentle Wet Wipes with Aloe Vera extracts |72 pcs| Pack of 5,Mee,0,0,0,317,4.5,"15,315",36,,1,"15,315"
