,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B012VV43BM,Challenger Black Backpack,HARISSONS,1,0,0,654,3.0,7,15,,1,7
1,B07P9KB47Y,"Bags Highway 34L Polyester Casual Backpack for Men and Women, Office Backpack (Black Dark Grey)",HARISSONS,1,0,0,799,3.2,9,39,,1,9
2,B015NFJBEW,Zor Backpack,HARISSONS,1,0,0,"1,308",4.0,5,15,,1,5
3,B09B26NFCG,Raw 35 Ltrs Large Backpack With 3 Compartments and Raincover- Black (RAW19CBBLK),Safari,1,0,0,"1,329",3.3,7,61,,1,7
4,B07CJCGM1M,Casual Backpack,American Tourister,0,0,0,"1,099",4.1,"34,494",52,,1,"34,494"
5,B081P213WR,"by HMI 21 ltrs 16 Inch Classic Laptop Backpack with YKK Zippers, N.Blue",QIPS,0,0,0,499,4.1,946,50,,1,946
6,B084JGJ8PF,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),Wesley,0,0,0,598,4.3,"4,831",50,"Sunday, February 13",1,"4,831"
7,B09QJ7ZF2Y,"Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",TRUE HUMAN,0,0,0,685,5.0,5,67,,1,5
8,B075MK4TXP,30 Ltrs Black Laptop Backpack (LBPASPIRE0104),Gear,0,0,0,"1,295",4.4,"2,406",55,,1,"2,406"
9,B085MHDJ93,35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),Half Moon,0,1,0,639,3.9,"7,682",64,,1,"7,682"
10,B07G4JQX2F,Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519),Gear,0,0,0,919,4.4,"4,067",54,,1,"4,067"
11,B08YZ5XY31,Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,Lunar's,0,0,0,899,3.9,"4,163",55,,1,"4,163"
12,B09LMDYFXB,Northzone Anti-Theft Water Resistant Computer USB Charging Port Lightweight Laptop Backpack Bag Fitting 15.6-inch Laptops Tablets,NORTH ZONE,0,0,0,449,4.0,18,72,,0,18
13,B07YDGQQN5,"55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment",FUR JADEN,0,1,0,799,4.2,"3,833",68,,1,"3,833"
14,B09RFD1X6S,15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (PG-0025),Pagwin,0,0,0,499,0,0,67,,0,"₹499
₹1,499 Save ₹1,000 (67%)"
15,B09QM9N1B3,30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls,Half Moon,0,0,0,499,0,0,72,,1,"₹499
₹1,799 Save ₹1,300 (72%)"
16,B09CNHQ73V,Waterproof Laptop Backpack,OUTBOX,0,0,0,349,4.4,12,73,,0,12
17,B075Y6SRMG,Lenovo Casual Laptop Backpack B210 39.62 cm (15.6) -inch Water Repellent Grey,Lenovo,0,0,0,786,4.2,"27,986",51,"Sunday, February 13",1,"27,986"
18,B078S7GB96,30 Ltrs Laptop Backpack,POLICE,0,0,0,"1,499",4.3,"3,218",64,,1,"3,218"
19,B07XJPLL27,Unisex teamGOAL 23 Backpack Core Black X,Puma,0,0,0,779,4.2,422,40,,1,422
20,B07CF55YSK,39.27 Ltrs Orange Casual/Travel Backpack (Explorer 20 HY ORN),Safari,1,0,0,"1,450",4.0,262,56,,1,262
21,B07SRGQ2R4,"Miami 13 litres Rose Casual Backpack (14 inch, Water Resistant)",Genie,1,0,0,733,4.5,"1,372",59,,1,"1,372"
22,B07ZJ6XH88,Aether Backpack Black (11941),Wildcraft,1,0,0,"3,490",4.5,2,22,,1,2
23,B09B27HJS2,Raw 35 Ltrs Large Backpack With 3 Compartments and Raincover- Blue (RAW19CBBLU),Safari,1,0,0,"1,183",4.4,7,65,,1,7
24,B09B26TVPM,Hexa 21 Ltrs Water Resistant Backpack,Safari,0,0,0,559,4.1,61,72,,1,61
25,B081GSQ9D9,"Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women, stylish & durable, made with Leatherette, 1 year warranty - Black",POLESTAR,0,0,0,659,4.1,"4,830",67,,1,"4,830"
26,B07SRFGK6H,"Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",Skybags,0,0,0,888,4.0,215,56,,1,215
27,B089QB6D7B,Slope Anti Theft Backpack with USB Charging Port 15 Inch Laptop Backpack (Black),Arctic Fox,0,0,0,"1,499",4.6,735,25,,1,735
28,B079DDT65R,44 Ltrs Casual Backpack (11629-Wolf_Black),Wildcraft,0,0,0,"1,395",4.3,"3,954",27,,1,"3,954"
29,B089QBD333,Slope Anti Theft Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),Arctic Fox,0,0,0,"1,499",4.6,331,25,,1,331
30,B07CGLDV2C,Casual Backpack,American Tourister,0,0,0,"1,234",4.1,"8,817",53,,1,"8,817"
31,B07BZ5VC4H,45 Ltrs Black Large/Travel/Office Laptop Backpack (Seek 45L 21 OB BLK),Safari,0,0,0,"2,599",4.5,"2,573",49,,1,"2,573"
32,B09B26MB5M,"Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",Safari,0,0,0,559,4.1,192,72,,1,192
33,B07G6RQ1L2,45 Ltrs Men & Women Backpack (Black),Aristocrat,0,0,0,"1,499",4.1,275,56,,1,275
34,B09B28TKLG,"Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",Safari,0,0,0,829,4.0,133,71,,1,133
35,B084TPHLQM,Women Backpack,Lino Perros,0,0,0,"1,289",4.2,25,57,,1,25
36,B097KDRZ67,"Turbo 45 Ltrs Expandable Travel Laptop Backpack with RainCover (Grey-Black), One Size (TLPTURBO00401)",Gear,0,0,0,"1,795",4.6,102,68,,1,102
37,B0983BM2F7,Medium 30 L Laptop Backpack Anti Theft Faux Leather (Brown),GoldStar,0,0,0,510,3.7,31,74,,1,31
38,B09CGZ2W28,55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover (Polyester Navy),Half Moon,0,0,0,849,4.2,201,55,,1,201
39,B09B2581S9,"Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",Safari,0,0,0,829,3.9,218,71,,1,218
40,B08RB5QDJT,Anti Theft Hard-Shell Laptop Backpack with USB Charging Port,FUR JADEN,0,0,0,"1,699",4.1,63,43,,1,63
41,B01G5I8YLC,"45 Ltrs Grey and Orange Rucksack (8903338073864), Large",Wildcraft,0,0,0,"1,594",4.3,"6,442",29,,1,"6,442"
42,B09HXYJB7B,"Laptop Backpack for 15.6"" Made water-repellent and tear resistant materials for men and women .",Lenovo,0,0,0,790,4.3,98,60,,1,98
43,B09BMG8R6Y,"Medium 20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag (Black)",Veneer,0,0,0,599,4.3,186,63,,1,186
44,B098XQ19MB,Vegan Leather Girl's Travel Casual Collage Backpack With Shoulder Strap,INOVERA (LABEL),0,0,0,"1,221",4.5,70,19,,1,70
45,B09RSG214J,College bag for girls backpacks for women school bag for girls bag for girls diving deep bagpack,Craftify,0,0,0,759,0,0,62,,1,"₹759
₹1,999 Save ₹1,240 (62%)"
46,B09RQRWZ1B,2021 New Flower Embroidered Artistic National Style Oxford Medium Capacity Women's Bag Generation Backpack (FM-013),FashMart,0,0,0,399,0,0,60,,1,"₹399
₹999 Save ₹600 (60%)"
47,B09NGNYLKF,"Emperor Anti-Theft backpack with combination lock Laptop bag , office bag , college bag ( Zyden )",TRUE HUMAN,0,0,0,625,3.9,70,70,,1,70
48,B07PRBW9W5,Twing 30 Ltrs Grey Casual Backpack (FD0 (0) 08 003),American Tourister,0,0,0,"1,025",4.2,180,59,,1,180
49,B019FBEJCO,Campus 8 Backpack Green- Grey (BKPCAMPS80304),Gear,0,0,0,664,4.1,613,49,,1,613
50,B09H7PK5ML,Anti-Theft and USB charging port backpack with combination lock Laptop bag,TRUE HUMAN,0,0,0,675,4.0,143,68,,1,143
51,B07KR1NRWR,"20 Ltrs Black/Black/White Casual Backpack (BA6030-013), M",Nike,0,0,0,"1,409",4.2,594,29,,1,594
52,B07LBMV4NR,Brown Leatherette Anti Theft Casual Laptop Backpack with 15.6 Inch Laptop Pocket,FUR JADEN,0,0,0,"1,799",4.3,905,40,,1,905
53,B093DH8B8C,Unisex Light Weight Backpack For Men/Women,KLEIO,0,0,0,727,3.9,93,48,,1,93
54,B08Z217HCH,Rager 04 Black 46 Cms Casual Backpack,Skybags,0,0,0,571,5.0,4,56,,1,4
55,B093Z6ZRT2,"15.6"" Polyester Casual Laptop Bags/Backpack for Men with Adjustable Strap Expendable with 2 Compartments",Touristiano,0,0,0,290,0,0,36,,0,"₹290
₹450 Save ₹160 (36%)"
