,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,0,B07CJCGM1M,Casual Backpack,American Tourister,0,0,0,"1,099",4.1,"34,839",52,,1,"34,839",https://m.media-amazon.com/images/I/71VJeH76FCL._AC_UL320_.jpg,Backpack,Casual Backpack,SKU: B07CJCGM1M
1,1,B077RXHGTP,Tommy Travel Gear 24.29 Ltrs Navy Laptop Backpack (TH/BIKOL08CRO),Tommy Hilfiger,0,0,0,"1,319",4.3,262,40,,1,262,https://m.media-amazon.com/images/I/61q5-HLfJAL._UX679_.jpg,Backpack,Tommy Travel Gear 24.29 Ltrs Navy Laptop Backpack (TH/BIKOL08CRO),SKU: B077RXHGTP
2,2,B075MK4TXP,30 Ltrs Black Laptop Backpack (LBPASPIRE0104),Gear,0,0,0,"1,246",4.4,"2,455",57,,1,"2,455",https://m.media-amazon.com/images/I/81EKq7XudPL._AC_UL320_.jpg,Backpack,30 Ltrs Black Laptop Backpack (LBPASPIRE0104),SKU: B075MK4TXP
3,3,B07G4JQX2F,Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519),Gear,0,0,0,799,4.4,"4,120",60,,1,"4,120",https://m.media-amazon.com/images/I/91pwFRgKanL._AC_UL320_.jpg,Backpack,Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519),SKU: B07G4JQX2F
4,4,B07YY6PTMN,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),MI,0,0,0,899,4.4,"3,079",55,"Saturday, February 19",1,"3,079",https://m.media-amazon.com/images/I/51r5YqOWlyL._AC_UL320_.jpg,Backpack,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),SKU: B07YY6PTMN
5,5,B09CNHQ73V,Waterproof Laptop Backpack,OUTBOX,0,0,0,349,4.5,13,73,,0,13,https://m.media-amazon.com/images/I/41-ZuAdIKoL._AC_UL320_.jpg,Backpack,Waterproof Laptop Backpack,SKU: B09CNHQ73V
6,6,B085MHDJ93,35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),Half Moon,0,1,0,639,3.9,"7,837",64,,1,"7,837",https://m.media-amazon.com/images/I/51Te8fDpjaL._AC_UL320_.jpg,Backpack,35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),SKU: B085MHDJ93
7,7,B08YZ5XY31,Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,Lunar's,0,0,0,899,3.9,"4,292",55,,1,"4,292",https://m.media-amazon.com/images/I/71lXgPnZjvL._AC_UL320_.jpg,Backpack,Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,SKU: B08YZ5XY31
8,8,B09B28TKLG,"Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",Safari,0,0,0,829,4.0,141,71,,1,141,https://m.media-amazon.com/images/I/61TWJaaUMtL._UX522_.jpg,Backpack,"Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",SKU: B09B28TKLG
9,9,B085S444JV,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",Wesley,0,0,0,578,4.3,"4,908",52,"Wednesday, February 16",1,"4,908",https://m.media-amazon.com/images/I/41rIpA+VoPL._SY300_SX300_.jpg,Backpack,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",SKU: B085S444JV
