,Rank,Probability distn
0,1,"{'B01G7QDWB4': 0.55, 'B013TGEPZW': 0.2, 'B012VV43BM': 0.15, 'B09P8MY2CK': 0.1}"
1,2,"{'B012VV43BM': 0.4, 'B09B29F66W': 0.1, 'B09P8MY2CK': 0.1, 'B07S84M8W4': 0.05, 'B085HDJTXT': 0.05, 'B07PQQ8M7B': 0.05, 'B07P9KB47Y': 0.05, 'B09RVZ72W8': 0.05, 'B015NFJBEW': 0.05, 'B09NBLGHSC': 0.05, 'B07KQ6SBD2': 0.05}"
2,3,"{'B01G1E0GCA': 0.3, 'B07PQQ8M7B': 0.15, 'B09R3V6M1Y': 0.15, 'B015NFJBEW': 0.1, 'B08NXL9F1P': 0.05, 'B07S84M8W4': 0.05, 'B097PWYLVP': 0.05, 'B012VV43BM': 0.05, 'B09B26VHXV': 0.05, 'B09S9ZNVMX': 0.05}"
3,4,"{'B09B26NFCG': 0.25, 'B019FBEJCO': 0.15, 'B012VV43BM': 0.1, 'B015NFJBEW': 0.1, 'B08ZJL2J9W': 0.1, 'B091TBY87T': 0.05, 'B071D4S6ZQ': 0.05, 'B01G1E0GCA': 0.05, 'B09P8MY2CK': 0.05, 'B07P9KB47Y': 0.05, 'B09R3V6M1Y': 0.05}"
4,5,{'B07CJCGM1M': 1.0}
5,6,"{'B07G4JQX2F': 0.55, 'B077RXHGTP': 0.2, 'B075MK4TXP': 0.15, 'B081P213WR': 0.1}"
6,7,"{'B075MK4TXP': 0.35, 'B09CNHQ73V': 0.2, 'B07G4JQX2F': 0.15, 'B084JGJ8PF': 0.1, 'B077RXHGTP': 0.1, 'B08NVHGXHK': 0.05, 'B09QJ7ZF2Y': 0.05}"
7,8,"{'B09CNHQ73V': 0.3, 'B075MK4TXP': 0.3, 'B07G4JQX2F': 0.15, 'B084JGJ8PF': 0.1, 'B09QJ7ZF2Y': 0.05, 'B081P213WR': 0.05, 'B085MHDJ93': 0.05}"
8,9,"{'B075MK4TXP': 0.2, 'B085MHDJ93': 0.2, 'B09CNHQ73V': 0.15, 'B08YZ5XY31': 0.15, 'B081P213WR': 0.1, 'B07YY6PTMN': 0.1, 'B07G4JQX2F': 0.05, 'B09QJ7ZF2Y': 0.05}"
9,10,"{'B085MHDJ93': 0.3, 'B08YZ5XY31': 0.2, 'B09CNHQ73V': 0.15, 'B07YY6PTMN': 0.1, 'B081P213WR': 0.05, 'B09QJ7ZF2Y': 0.05, 'B07G4JQX2F': 0.05, 'B09B28TKLG': 0.05, 'B08Z1HHHTD': 0.05}"
10,11,"{'B085MHDJ93': 0.4, 'B084JGJ8PF': 0.15, 'B08YZ5XY31': 0.1, 'B09B26TVPM': 0.05, 'B07G4JQX2F': 0.05, 'B07YY6PTMN': 0.05, 'B09QJ7ZF2Y': 0.05, 'B09B28TKLG': 0.05, 'B08Z1HHHTD': 0.05, 'B076TBPK86': 0.05}"
11,12,"{'B08YZ5XY31': 0.3, 'B084JGJ8PF': 0.2, 'B09LMDYFXB': 0.15, 'B085MHDJ93': 0.05, 'B09QJ7ZF2Y': 0.05, 'B081P213WR': 0.05, 'B07YDGQQN5': 0.05, 'B093Z6ZRT2': 0.05, 'B08Z1HHHTD': 0.05, 'B07BZ5VC4H': 0.05}"
12,13,"{'B09QJ7ZF2Y': 0.15, 'B09LMDYFXB': 0.1, 'B09B28TKLG': 0.1, 'B079DDT65R': 0.1, 'B09B26TVPM': 0.05, 'B081P213WR': 0.05, 'B08YZ5XY31': 0.05, 'B07F61HRJF': 0.05, 'B077RXHGTP': 0.05, 'B084JGJ8PF': 0.05, 'B09B26MB5M': 0.05, 'B08Z1HHHTD': 0.05, 'B08RB5QDJT': 0.05, 'B085S444JV': 0.05, 'B07BZ5VC4H': 0.05}"
13,14,"{'B07YDGQQN5': 0.25, 'B07YY6PTMN': 0.1, 'B085S444JV': 0.1, 'B09QJ7ZF2Y': 0.1, 'B089QB6D7B': 0.05, 'B09LMDYFXB': 0.05, 'B081P213WR': 0.05, 'B081GSQ9D9': 0.05, 'B09CNHQ73V': 0.05, 'B093Z6ZRT2': 0.05, 'B078GLXMDY': 0.05, 'B076TBPK86': 0.05, 'B08RB5QDJT': 0.05}"
14,15,"{'B08YZ5XY31': 0.15, 'B09B26MB5M': 0.15, 'B09QJ7ZF2Y': 0.15, 'B09QM9N1B3': 0.1, 'B09LMDYFXB': 0.1, 'B09RFD1X6S': 0.05, 'B09CNHQ73V': 0.05, 'B097KDRZ67': 0.05, 'B09B26TVPM': 0.05, 'B09B28TKLG': 0.05, 'B08Z1HHHTD': 0.05, 'B093Z6ZRT2': 0.05}"
15,16,"{'B09B26MB5M': 0.25, 'B09LMDYFXB': 0.1, 'B07YDGQQN5': 0.1, 'B09B26TVPM': 0.1, 'B09GPMRGZV': 0.1, 'B081P213WR': 0.1, 'B09RKNNVFR': 0.05, 'B09QM9N1B3': 0.05, 'B09RFD1X6S': 0.05, 'B08Z1HHHTD': 0.05, 'B078S7GB96': 0.05}"
16,17,"{'B078S7GB96': 0.15, 'B079DDT65R': 0.15, 'B07XJPLL27': 0.1, 'B07YDGQQN5': 0.1, 'B088XB5XY8': 0.1, 'B089QB6D7B': 0.05, 'B09CNHQ73V': 0.05, 'B09B28TKLG': 0.05, 'B075Y6SRMG': 0.05, 'B081P213WR': 0.05, 'B085S444JV': 0.05, 'B09B26MB5M': 0.05, 'B09LMDYFXB': 0.05}"
17,18,"{'B078S7GB96': 0.2, 'B09B26MB5M': 0.1, 'B07XJPLL27': 0.1, 'B09LMDYFXB': 0.1, 'B07YDGQQN5': 0.05, 'B075Y6SRMG': 0.05, 'B07F3VDBV5': 0.05, 'B085S444JV': 0.05, 'B0983BM2F7': 0.05, 'B079DDT65R': 0.05, 'B081P213WR': 0.05, 'B09QM9N1B3': 0.05, 'B088XB5XY8': 0.05, 'B09B26TVPM': 0.05}"
18,19,"{'B09B26TVPM': 0.25, 'B078S7GB96': 0.15, 'B089QB6D7B': 0.1, 'B079DDT65R': 0.1, 'B08336HQ18': 0.05, 'B081GSQ9D9': 0.05, 'B089QBD333': 0.05, 'B07G6RQ1L2': 0.05, 'B085S444JV': 0.05, 'B07F3VDBV5': 0.05, 'B093Z6ZRT2': 0.05, 'B09LMDYFXB': 0.05}"
19,20,"{'B09B26TVPM': 0.2, 'B081GSQ9D9': 0.1, 'B07XJPLL27': 0.1, 'B07BZ5VC4H': 0.1, 'B07G6RQ1L2': 0.1, 'B09B26MB5M': 0.05, 'B09QM9N1B3': 0.05, 'B09GPMRGZV': 0.05, 'B089QBD333': 0.05, 'B081P213WR': 0.05, 'B07G4F6XFH': 0.05, 'B089QB6D7B': 0.05, 'B088XB5XY8': 0.05}"
20,21,"{'B07SRGQ2R4': 0.3, 'B09Q28RZ6B': 0.1, 'B07PQQ8M7B': 0.1, 'B07XVMR33Q': 0.05, 'B07VL2XF1T': 0.05, 'B07CF55YSK': 0.05, 'B08WQ668WJ': 0.05, 'B07ZJ6XH88': 0.05, 'B09R3V6M1Y': 0.05, 'B085DB2F81': 0.05, 'B07RYLYVWK': 0.05, 'B07P9KB47Y': 0.05, 'B09B29F66W': 0.05}"
