,Unnamed: 0,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
0,0,0,B01G7QDWB4,AmazonBasics Athena 100 Convertible Rolling Camera Backpack,AmazonBasics,1,0,0,"9,499",4.6,759,35,"Wednesday, February 16",1,759,https://m.media-amazon.com/images/I/711JjG9GQ5L._AC_UL320_.jpg,Backpack_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
AmazonBasics Athena 100 Convertible Rolling Camera Backpack
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B01G7QDWB4,,,,,
1,1,1,B012VV43BM,Challenger Black Backpack,HARISSONS,1,0,0,654,3.0,7,15,,1,7,https://m.media-amazon.com/images/I/81qjIj8DolL._AC_UL320_.jpg,Backpack_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Challenger Black Backpack
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B012VV43BM,,,,,
2,2,2,B01G1E0GCA,Eon Blue Polyester Backpack,HARISSONS,1,0,0,"1,317",5.0,2,15,,1,2,https://m.media-amazon.com/images/I/51pK8gCPpCL._SX300_SY300_.jpg,Backpack_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Eon Blue Polyester Backpack
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B01G1E0GCA,,,,,
3,3,3,B019FBEJCO,Campus 8 Backpack Green- Grey (BKPCAMPS80304),Gear,1,0,0,649,4.1,619,50,,1,619,https://m.media-amazon.com/images/I/91YVwfV7b1L._AC_UL320_.jpg,Backpack_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Campus 8 Backpack Green- Grey (BKPCAMPS80304)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B019FBEJCO,,,,,
4,4,4,B07CJCGM1M,Casual Backpack,American Tourister,0,0,0,"1,099",4.1,"34,839",52,,1,"34,839",https://m.media-amazon.com/images/I/81KEKEDFUcL._UY741_.jpg,Backpack_A1,"Casual Backpack
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07CJCGM1M,,,,,
5,5,5,B077RXHGTP,Tommy Travel Gear 24.29 Ltrs Navy Laptop Backpack (TH/BIKOL08CRO),Tommy Hilfiger,0,0,0,"1,319",4.3,262,40,,1,262,https://m.media-amazon.com/images/I/61q5-HLfJAL._UX679_.jpg,Backpack_A1,"Tommy Travel Gear 24.29 Ltrs Navy Laptop Backpack (TH/BIKOL08CRO)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B077RXHGTP,,,,,
6,6,6,B075MK4TXP,30 Ltrs Black Laptop Backpack (LBPASPIRE0104),Gear,0,0,0,"1,246",4.4,"2,455",57,,1,"2,455",https://m.media-amazon.com/images/I/81EKq7XudPL._AC_UL320_.jpg,Backpack_A1,"30 Ltrs Black Laptop Backpack (LBPASPIRE0104)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B075MK4TXP,,,,,
7,7,7,B07G4JQX2F,Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519),Gear,0,0,0,799,4.4,"4,120",60,,1,"4,120",https://m.media-amazon.com/images/I/91pwFRgKanL._AC_UL320_.jpg,Backpack_A1,"Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07G4JQX2F,,,,,
8,8,8,B07YY6PTMN,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),MI,0,0,0,899,4.4,"3,079",55,"Saturday, February 19",1,"3,079",https://m.media-amazon.com/images/I/51r5YqOWlyL._AC_UL320_.jpg,Backpack_A1,"Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07YY6PTMN,,,,,
9,9,9,B09CNHQ73V,Waterproof Laptop Backpack,OUTBOX,0,0,0,349,4.5,13,73,,0,13,https://m.media-amazon.com/images/I/41-ZuAdIKoL._AC_UL320_.jpg,Backpack_A1,"Waterproof Laptop Backpack
",SKU: B09CNHQ73V,,,,,
10,10,10,B085MHDJ93,35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),Half Moon,0,1,0,639,3.9,"7,837",64,,1,"7,837",https://m.media-amazon.com/images/I/81oUvlsYcnL._SY879_.jpg,Backpack_A1,"35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B085MHDJ93,,,,,
11,11,11,B08YZ5XY31,Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,Lunar's,0,0,0,899,3.9,"4,292",55,,1,"4,292",https://m.media-amazon.com/images/I/71lXgPnZjvL._AC_UL320_.jpg,Backpack_A1,"Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08YZ5XY31,,,,,
12,12,12,B09B28TKLG,"Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)",Safari,0,0,0,829,4.0,141,71,,1,141,https://m.media-amazon.com/images/I/61TWJaaUMtL._UX522_.jpg,Backpack_A1,"Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09B28TKLG,,,,,
13,13,13,B085S444JV,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",Wesley,0,0,0,578,4.3,"4,908",52,"Wednesday, February 16",1,"4,908",https://m.media-amazon.com/images/I/41rIpA+VoPL._SY300_SX300_.jpg,Backpack_A1,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B085S444JV,,,,,
14,14,14,B09LMDYFXB,Northzone Anti-Theft Water Resistant Computer USB Charging Port Lightweight Laptop Backpack Bag Fitting 15.6-inch Laptops Tablets,NORTH ZONE,0,0,0,449,3.8,24,72,,0,24,https://m.media-amazon.com/images/I/61jMghlHJWL._AC_UL320_.jpg,Backpack_A1,"Northzone Anti-Theft Water Resistant Computer USB Charging Port Lightweight Laptop Backpack Bag Fitting 15.6-inch Laptops Tablets
",SKU: B09LMDYFXB,,,,,
15,15,15,B09B26MB5M,"Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",Safari,0,0,0,559,4.1,206,72,,1,206,https://m.media-amazon.com/images/I/61bXaYXvHVL._UX522_.jpg,Backpack_A1,"Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09B26MB5M,,,,,
16,16,16,B079DDT65R,44 Ltrs Casual Backpack (11629-Wolf_Black),Wildcraft,0,0,0,"1,428",4.3,"3,984",25,,1,"3,984",https://m.media-amazon.com/images/I/41Fz+sra7xL._AC_UL320_.jpg,Backpack_A1,"44 Ltrs Casual Backpack (11629-Wolf_Black)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B079DDT65R,,,,,
17,17,17,B078S7GB96,30 Ltrs Laptop Backpack,POLICE,0,0,0,"1,499",4.3,"3,271",64,,1,"3,271",https://m.media-amazon.com/images/I/91495xMfkcL._AC_UL320_.jpg,Backpack_A1,"30 Ltrs Laptop Backpack
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B078S7GB96,,,,,
18,18,18,B089QB6D7B,Slope Anti Theft Backpack with USB Charging Port 15 Inch Laptop Backpack (Black),Arctic Fox,0,0,0,"1,499",4.6,758,25,,1,758,https://m.media-amazon.com/images/I/61y5mUKvMdL._AC_UL320_.jpg,Backpack_A1,"Slope Anti Theft Backpack with USB Charging Port 15 Inch Laptop Backpack (Black)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B089QB6D7B,,,,,
