,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
0,B01G7QDWB4,AmazonBasics Athena 100 Convertible Rolling Camera Backpack,AmazonBasics,1,0,0,"8,085",4.5,754,45,"Friday, February 11",1,754,https://m.media-amazon.com/images/I/711JjG9GQ5L._AC_UL320_.jpg
1,B012VV43BM,Challenger Black Backpack,HARISSONS,1,0,0,654,3.0,7,15,,1,7,https://m.media-amazon.com/images/I/81qjIj8DolL._AC_UL320_.jpg
2,B01G1E0GCA,Eon Blue Polyester Backpack,HARISSONS,1,0,0,"1,317",5.0,2,15,,1,2,https://m.media-amazon.com/images/I/71tZ6IUpMML._SX466_.jpg
3,B013TGEPZW,21 Ltrs Classic Fabric Backpack - Navy,AmazonBasics,1,0,0,899,4.3,"17,019",10,,1,"17,019",https://m.media-amazon.com/images/I/91RqGTa6P4L._SY679_.jpg
4,B09B26NFCG,Raw 35 Ltrs Large Backpack With 3 Compartments and Raincover- Black (RAW19CBBLK),Safari,0,0,0,"1,329",3.3,7,61,,1,7,https://m.media-amazon.com/images/I/71xaiG8d0KL._UX522_.jpg
5,B07CJCGM1M,Casual Backpack,American Tourister,0,0,0,"1,099",4.1,"34,410",52,,1,"34,410",https://m.media-amazon.com/images/I/81KEKEDFUcL._AC_UL320_.jpg
6,B07G4JQX2F,Classic Anti Theft Faux Leather 14 cms Navy Tan Laptop Backpack (LBPCLSLTH0519),Gear,0,0,0,889,4.4,"4,054",56,,1,"4,054",https://m.media-amazon.com/images/I/91pwFRgKanL._AC_UL320_.jpg
7,B075MK4TXP,30 Ltrs Black Laptop Backpack (LBPASPIRE0104),Gear,0,0,0,"1,295",4.4,"2,389",55,,1,"2,389",https://m.media-amazon.com/images/I/81BCsKS7WuL._AC_UL320_.jpg
8,B09CNHQ73V,Waterproof Laptop Backpack,OUTBOX,0,0,0,349,4.4,12,73,,0,12,https://m.media-amazon.com/images/I/41-ZuAdIKoL._AC_UL320_.jpg
9,B085MHDJ93,35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),Half Moon,0,1,0,639,3.9,"7,641",64,,1,"7,641",https://m.media-amazon.com/images/I/51Te8fDpjaL._AC_UL320_.jpg
10,B08YZ5XY31,Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,Lunar's,0,0,0,899,3.9,"4,131",55,,1,"4,131",https://m.media-amazon.com/images/I/71lXgPnZjvL._AC_UL320_.jpg
11,B084JGJ8PF,Wesley Milestone 2.0 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Blue and Black),Wesley,0,0,0,598,4.3,"4,812",50,"Thursday, February 10",1,"4,812",https://m.media-amazon.com/images/I/811AxL+qTpL._AC_UL320_.jpg
12,B09LMDYFXB,Northzone Anti-Theft Water Resistant Computer USB Charging Port Lightweight Laptop Backpack Bag Fitting 15.6-inch Laptops Tablets,NORTH ZONE,0,0,0,449,4.1,16,72,,0,16,https://m.media-amazon.com/images/I/41+TN9eQKeL.jpg
13,B07S84M8W4,Anti-theft backpack (Grey),Amazon Brand - Solimo,1,0,0,999,3.5,5,50,,1,5,https://m.media-amazon.com/images/I/A16cipBYDQL._AC_UL320_.jpg
14,B09QJ7ZF2Y,"Emperor Anti-Theft backpack With USB charging Port and anti -theft back pocket Laptop bag , office bag , college bag ( LEGEND )",TRUE HUMAN,0,0,0,685,5.0,5,67,,1,5,https://m.media-amazon.com/images/I/51DVNSbWIRL._AC_UL320_.jpg
