,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08X2TVM79,Living Roots Ethnic Rajasthani / Jaipuri / Sanganeri Block Print 100% Cotton Super King Size 100*108 Bedsheet with 2 Pillow Covers (39C),Living,1,0,0,849,3.4,15,66,"Tuesday, February 15",1,15
1,B08JKM4KZC,"600 Thread Count 100% Egyptian Cotton 1 Piece Flat Bedsheets with 2 Pillowcase King Size 102"" inch X 108"" inch Blush Color",600,1,0,0,"1,849",2.8,2,28,"Tuesday, February 15",1,2
2,B09QJC6K15,"Fabrica Furnishings Block Prints Bedsheet, 100% Cotton Bedsheet with 2 Pillow Covers, 186 TC (Multicolor 5)",Fabrica,1,0,0,795,5.0,2,60,"Wednesday, February 16",0,2
3,B09CH3W6NW,"Spaces Bonica 100% Cotton Single Bedsheet Air Purifying Anti-Bacterial (Floral, 152 cm x 224 cm) - Green",Spaces,1,0,0,999,5.0,2,0,"Friday, February 11",1,2
4,B08KJ6XL54,BSB HOME® 3D Printed 144 Tc Microfiber Bedsheet for Single Bed (90X60) with 1 King Size Pillow Covers (20X30) Inches (Yellow and Grey),BSB,0,0,0,189,3.3,"1,453",73,"Wednesday, February 16",0,"1,453"
5,B08RB5LK5Y,Fashion String 144 TC Microfibre Brown Double Bedsheet with 2 King Size Pillow Covers,Fashion,0,0,0,249,3.6,"3,251",75,"Sunday, February 13",0,"3,251"
6,B07W4V11P9,Divine Casa 100% Cotton Geometric Print Mix N Match Bedsheet for Double Bed (Multicolour),Divine,0,1,0,549,4.1,"17,660",63,"Tuesday, February 15",0,"17,660"
7,B094VFG4LX,"YATIN FAB Home Furnishing 144 TC Microfiber Box Printed Double Bedsheet with 2 Pillow Covers (Brown, 228 cm X 226 cm, Polycotton)",YATIN,0,0,0,227,3.3,"1,223",77,"Wednesday, February 16",1,"1,223"
8,B097Y956SL,"CHHILAKIYA 6D Microfiber King Size Printed Double Bedsheet Pack of 2 Along with 4 Pillow Covers, Multicolor",CHHILAKIYA,0,0,0,747,3.8,"1,570",50,"Wednesday, February 16",1,"1,570"
9,B08T7KP4KZ,"BSB HOME Glace Cotton 160 TC Big Floral Printed Double Bedsheets with 2 King Size Pillow Cover (90X90 Inches, 7.5 x 7.5 Feet, Pink and Light Green)",BSB,0,0,0,349,3.5,"1,932",73,"Wednesday, February 16",0,"1,932"
10,B09MNJTP1N,ADEGIA Prime Collection 190TC Cotton Blend 1 Double Bedsheet (90X90) with 2 Matching Free Pillow Cover Size (16X26) Inch Colour - Floral Blue Design,ADEGIA,0,0,0,299,3.1,106,89,"Wednesday, February 16",1,106
11,B08L5MSFDS,"Luxury Trends 100% Cotton 160 TC Flower Printed Double Bedsheet With 2 King Size Pillow Covers, (90X90 Inches, Grey Rust)",Luxury,0,0,0,399,3.7,81,60,"Wednesday, February 16",0,81
12,B08HCM97WR,BEVI - Home Super Solid Slate Grey 144 Tc Microfiber Double King Bedsheet with 2 Pillow Cover- (Slate Grey),BEVI,0,0,0,450,3.9,"2,676",65,"Wednesday, February 16",1,"2,676"
13,B091885R8S,"Home Elite 200 TC Glace Cotton Microfiber Designer Double Bedsheet with 2 Pillow Covers , Multicolor",Home,0,0,0,416,3.8,822,65,"Wednesday, February 16",0,822
