,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09MS8ZJCJ,"Kuvings Nutri Blender PRO 1000 Watts, Mixer/Blender/Smoothie Maker, 5 Years Warranty, Stainless Steel Assembly, 2 Blade Set (Wet Blending Blade & Dry Grinding Blade) (Champagne Gold)",Kuvings,1,0,0,"4,990",5.0,2,50,"Friday, February 11",1,2
1,B09CKQVC9P,"INALSA Hand Mixer with Stand|Stand Mixer 500W- Promix with 2.5L Rotating Bowl|5 Variable Speed with Turbo Function & Detachable Base|Includes Dough & Beater Hooks, 2 years Warranty",INALSA,1,0,0,"4,240",4.0,19,39,"Wednesday, February 9",1,19
2,B00YQLG7GK,"PHILIPS HL1655/00 Hand Blender, 250W (White)",PHILIPS,0,1,0,"1,398",4.2,"10,358",30,"Tuesday, February 8",1,"10,358"
3,B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),Orpat,0,0,0,750,4.2,"14,152",13,"Tuesday, February 8",1,"14,152"
4,B00W56GLOQ,"Wonderchef Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 2 Unbreakable Jars, 2 Years Warranty, 400 W-Black, Online Recipe Book by Chef Sanjeev Kapoor",Wonderchef,0,1,0,"2,589",4.1,"20,663",48,"Tuesday, February 8",1,"20,663"
5,B0846LDNSH,"Shree Mart 260 Watt Hand Mixer Hand Blender with 4 Pieces Stainless Blender, Bitter for Cake/Cream Mix, Food Blender, Beater for Kitchen || Beater for Cake (White)",Shree,0,0,1,499,4.0,"2,423",50,"Sunday, February 13",1,"2,423"
6,B09QCKYNDY,"TIMESOON Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer, Rechargeable Bottle with 4 Blades (MULTI)",TIMESOON,0,1,0,679,4.2,247,55,"Sunday, February 13",1,247
7,B07GDR7VZ3,"Philips HR3705/10 300-Watt Hand Mixer, Black",Philips,0,1,0,"1,885",4.5,"12,980",24,"Sunday, February 13",1,"12,980"
8,B07QHHCB27,KENT 16044 Hand Blender 400W,KENT,0,0,0,"1,349",4.0,"3,578",36,"Wednesday, February 9",1,"3,578"
9,B09DYZXZDH,"Nishica HE-133 Electric Hand Mixer, Blender, Beater for Cake and Cream Maker with 7 Speed Control, 2 Dough Hooks and 2 Beaters(White)",Nishica,0,0,0,359,3.2,9,64,"Sunday, February 13",0,9
10,B00W56GLOQ,"Wonderchef Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 2 Unbreakable Jars, 2 Years Warranty, 400 W-Black, Online Recipe Book by Chef Sanjeev Kapoor",Wonderchef,1,1,0,"2,589",4.1,"20,663",48,"Tuesday, February 8",1,"20,663"
11,B097KLVWLH,"Wonderchef Nutri-Blend BOLT-600W Mixer-Grinder, Stronger & Swifter with Sipper Lid, 22000RPM, 2 Unbreakable Jars, Sharper Steel Blades, 2 Yr. Warranty, E-Recipe Book by Chef Kapoor",Wonderchef,1,0,0,"3,449",4.3,125,47,"Sunday, February 13",1,125
12,B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Orpat,0,0,0,760,4.2,"4,668",22,"Tuesday, February 8",1,"4,668"
13,B09KH96P2V,ARYAVRATA Electric Battery Operated Coffee Bitter Stainless Steel Mini Classic Sleek Design Hand Blender Mixer (Multicolour),ARYAVRATA,0,0,0,209,3.5,128,79,"Sunday, February 13",1,128
14,B0747VDH9L,"Inalsa Robot Inox 1000, 1000 Watt Hand Blender with 600 ml Multipurpose Jar, Variable Speed, LED Light, 2 Year Warranty (Silver/Black)",Inalsa,0,0,0,"2,892",4.4,"9,174",28,"Friday, February 11",1,"9,174"
15,B08TT63N58,"AMAZON'S BRAND ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,4 Blades Rechargeable Bottle with (Multi color)",AMAZON'S,0,0,0,499,3.2,"2,477",75,"Sunday, February 13",1,"2,477"
