,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09MS8ZJCJ,"Kuvings Nutri Blender PRO 1000 Watts, Mixer/Blender/Smoothie Maker, 5 Years Warranty, Stainless Steel Assembly, 2 Blade Set (Wet Blending Blade & Dry Grinding Blade) (Champagne Gold)",Kuvings,1,0,0,"4,990",4.0,6,50,"Sunday, February 13",1,6
1,B07Y5HBH3D,"KENT 150W 16050, 5 Speed Control, Copper Motor, Multiple Beaters, Overheating Protection, Food Grade Plastic Body Hand Blender (White)",KENT,1,0,0,999,4.3,"6,601",29,"Saturday, February 12",1,"6,601"
2,B00YQLG7GK,"PHILIPS HL1655/00 Hand Blender, 250W (White)",PHILIPS,0,0,0,"1,499",4.2,"10,395",25,"Friday, February 11",1,"10,395"
3,B00W56GLOQ,"Wonderchef Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 2 Unbreakable Jars, 2 Years Warranty, 400 W-Black, Online Recipe Book by Chef Sanjeev Kapoor",Wonderchef,0,1,0,"2,619",4.1,"20,734",48,"Friday, February 11",1,"20,734"
4,B00A7PLVU6,Orpat HHB-100E WOB 250-Watt Hand Blender (White),Orpat,0,0,0,752,4.2,"14,180",13,"Friday, February 11",1,"14,180"
5,B0846LDNSH,"Shree Mart 260 Watt Hand Mixer Hand Blender with 4 Pieces Stainless Blender, Bitter for Cake/Cream Mix, Food Blender, Beater for Kitchen || Beater for Cake (White)",Shree,0,0,1,499,4.0,"2,439",50,"Tuesday, February 15",1,"2,439"
6,B09QCKYNDY,"TIMESOON Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer, Rechargeable Bottle with 4 Blades (MULTI)",TIMESOON,0,1,0,649,4.1,258,57,"Tuesday, February 15",1,258
7,B07QHHCB27,KENT 16044 Hand Blender 400W,KENT,0,0,0,"1,349",4.0,"3,595",36,"Friday, February 11",1,"3,595"
8,B07GDR7VZ3,"Philips HR3705/10 300-Watt Hand Mixer, Black",Philips,0,1,0,"1,940",4.5,"13,050",25,"Sunday, February 13",1,"13,050"
9,B09DYZXZDH,"Nishica HE-133 Electric Hand Mixer, Blender, Beater for Cake and Cream Maker with 7 Speed Control, 2 Dough Hooks and 2 Beaters(White)",Nishica,0,0,0,359,3.3,10,64,"Wednesday, February 16",0,10
10,B09JP5CRF6,"Lifelong LLHBZ03 Regalia Plus 300 W Hand Blender Machine for Kitchen with Whisker, Chopping Attachment and Multipurpose Jar|Stainless Steel Blade & Detachable Shaft|Mixer, Purees, Smoothies, Shakes, Sauces & Soups|1 Year Warranty (ISI Certified, White)",Lifelong,1,0,0,"1,469",4.0,16,58,"Wednesday, February 16",1,16
11,B09PFY6JH1,"RENDER Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,4 Blades Rechargeable Bottle with (MULTI-COLOR)",RENDER,1,1,0,499,4.9,84,67,"Tuesday, February 15",1,84
12,B07Y5HBH3D,"KENT 150W 16050, 5 Speed Control, Copper Motor, Multiple Beaters, Overheating Protection, Food Grade Plastic Body Hand Blender (White)",KENT,0,0,0,999,4.3,"6,601",29,"Saturday, February 12",1,"6,601"
13,B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Orpat,0,0,0,760,4.2,"4,673",22,"Friday, February 11",1,"4,673"
14,B0747VDH9L,"Inalsa Robot Inox 1000, 1000 Watt Hand Blender with 600 ml Multipurpose Jar, Variable Speed, LED Light, 2 Year Warranty (Silver/Black)",Inalsa,0,0,0,"2,990",4.4,"9,189",25,"Sunday, February 13",1,"9,189"
15,B08TT63N58,"AMAZON'S BRAND ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,4 Blades Rechargeable Bottle with (Multi color)",AMAZON'S,0,0,0,499,3.2,"2,493",75,"Tuesday, February 15",1,"2,493"
16,B07NQGVNW1,BOSS E111 Portable 125 Watt Hand Blender (Grey),BOSS,0,0,0,"1,149",4.2,"3,004",8,"Sunday, February 13",1,"3,004"
17,B09KH96P2V,ARYAVRATA Electric Battery Operated Coffee Bitter Stainless Steel Mini Classic Sleek Design Hand Blender Mixer (Multicolour),ARYAVRATA,0,0,0,209,3.6,134,79,"Tuesday, February 15",1,134
18,B07C1S9GLR,Prestige Hand Blender - PHB 11.0,Prestige,0,0,0,870,3.6,"2,067",37,"Wednesday, February 16",1,"2,067"
19,B09JP5CRF6,"Lifelong LLHBZ03 Regalia Plus 300 W Hand Blender Machine for Kitchen with Whisker, Chopping Attachment and Multipurpose Jar|Stainless Steel Blade & Detachable Shaft|Mixer, Purees, Smoothies, Shakes, Sauces & Soups|1 Year Warranty (ISI Certified, White)",Lifelong,0,0,0,"1,469",4.0,16,58,"Wednesday, February 16",1,16
20,B07QHHCB27,KENT 16044 Hand Blender 400W,KENT,1,0,0,"1,349",4.0,"3,595",36,"Friday, February 11",1,"3,595"
21,B097XJQZ8H,"Cookwell Bullet Mixer Grinder, 600W, Push + Knob Modes (5 Jars, 3 Blades, Silver)",Cookwell,1,0,0,"2,490",4.1,"8,424",59,"Tuesday, February 15",1,"8,424"
22,B097XRVVFL,"Cookwell Bullet Mixer Grinder, 600W, Push + Knob Modes (3 Jars, 2 Blades, Black)",Cookwell,1,0,0,"2,190",4.1,"8,424",56,"Tuesday, February 15",1,"8,424"
23,B09FXPTC9H,"Lifelong LLMGEK03 Mixer Grinder 500 W (2 Jar, Black) with Electric Kettle 1.5 Litre 1500W for Boiling Water, Soup (Silver) Super Combo | Combo for Kitchen, Easy to Use | 1 Year Warranty",Lifelong,1,0,0,"1,798",3.9,409,55,"Monday, February 14",1,409
24,B08S6RKT4L,"Balzano High Speed Nutri Blender/Mixer/Smoothie Maker - 500 Watt - Silver, 2 Jar",Balzano,0,0,0,"2,599",4.3,"1,000",39,"Friday, February 11",1,"1,000"
25,B07NRTCDS5,"Brayden Fito Atom Portable Smoothie Blender with 2000 mAh Rechargeable Battery and 3.7V Motor with 400ml Tritan Jar, Blue",Brayden,0,0,0,949,3.7,955,37,"Friday, February 11",1,955
26,B09NSMSQZY,"ROYAL STEP 4 Blades Rechargeable Portable Electric USB Juice Maker, Blender for Smoothie & Juices, Juicer Bottle Blender, Grinder Mixer, Fruit Juicer for All Fruits & Vegetables (Multicolor)",ROYAL,0,0,0,479,3.7,25,76,"Wednesday, February 16",1,25
27,B081K1LBSY,"Kuber Industries CTKTC031308 Hand Blender, 1 Piece, Silver",Kuber,0,0,0,99,4.1,"6,696",0,"Friday, February 11",0,"6,696"
28,B09K4GFW5X,"JENICO WORLD Mini Coffee Milk Egg Beater Electric Foam Hand Blender Mixer Classic Sleek Design Froth Whisker Latte Maker for Milk,Coffee, Beater,Juice,Cafe Latte,Cappuccino (Mini Blender)",JENICO,0,0,0,180,3.2,176,64,"Tuesday, February 15",1,176
29,B09PNGMN1K,"AXN Power-Free Manual Hand Blender Cream Beater, Milkshake, Lassi, Butter Milk Mixer(1 piece) (Multi Colours)",AXN,0,0,0,85,5.0,1,0,"Wednesday, February 16",0,1
30,B09DYNFBJ2,250W WATT BOSH STAR HAND BLENDER CUM HAND MIXER FOR HOME KITCHEN (GREY WHITE),250W,0,0,0,899,3.9,7,53,"Tuesday, February 15",1,250W
31,B097SW7LKC,"POKARI Advance Blender Grinder Mixer,Juicer Bottle Blender , Portable Electric USB Juice Maker 6 Blades Rechargeable Bottle for Home and Travel(Multi color)",POKARI,0,0,0,699,4.2,52,30,"Tuesday, February 15",1,52
32,B07R68FJ18,"AGARO Nutri Blender with Motor, 2 Speed Modes and Tritan Jar, 1000W, 2 Jar (Black)",AGARO,1,0,0,"4,499",4.1,472,36,"Tuesday, February 15",1,472
33,B09167FB1P,AGARO 33286A Hand Blender & Chopper 800W,AGARO,1,0,0,"2,599",3.8,662,35,"Friday, February 11",1,662
34,B09RKB4ZJ8,"SAIELLIN 6 Blade Smoothie Maker & Portable Electric USB Juice Maker Juicer Bottle Blender Mixer, Rechargeable Bottle & Portable Juicer Shaker Fruit Blender Coffee Maker Protein Shaker (MULTI COLOR)",SAIELLIN,0,0,0,499,5.0,2,50,"Tuesday, February 15",1,2
35,B08WLT7YNB,"MHR 260 watt electric hand mixer 7 speed hand blender beater machine for cake/cream mix, food blender bitter for kitchen (white)",MHR,0,0,0,499,4.1,559,50,"Tuesday, February 15",1,559
36,B082988T3N,"Kuber Industries Stainless Steel Hand Blender Mixer Froth Whisker Latte Maker For Milk Coffee Egg Beater Juice,20 Cm (Silver) - CTKTC31308",Kuber,0,0,0,93,4.0,801,6,,0,801
37,B097KPVWQC,"Wonderchef Nutri-Blend BOLT-600W Mixer-Grinder, Stronger & Swifter with Sipper Lid, 22000RPM, 2 Unbreakable Jars, Sharper Steel Blades, 2 Yr. Warranty, E-Recipe Book by Chef Kapoor",Wonderchef,0,0,0,"3,599",4.1,98,45,"Wednesday, February 16",1,98
38,B09NNS43G6,"ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer, Rechargeable Bottle with 4 Blades Juicer",ROYAL,0,0,0,479,3.8,16,76,"Tuesday, February 15",1,16
39,B09FJQRTR9,"DHARTI Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer,6 Blades Rechargeable Bottle with (Multi color)",DHARTI,0,0,0,499,4.0,118,44,"Tuesday, February 15",1,118
40,B093DD48TK,"KBR® Portable Electric Juicer Bottle Blender Mixer, 4 Blades Rechargeable Bottle with USB cable (Multi color)",KBR®,0,0,0,499,3.4,779,50,"Tuesday, February 15",1,779
41,B08KSZJHZR,"iBELL IBLWHITES03NEW Whites Electric Hand Mixer, Blender, Beater and Cream Maker with 7 Speed Control, 2 Dough Hooks and 2 Beaters(White)",iBELL,0,0,0,698,4.1,"1,302",29,"Sunday, February 13",1,"1,302"
42,B084CGYJN6,"Balzano High Speed Nutri Blender/Mixer/Smoothie Maker - 1200 Watts - 9 Pcs Set, Black",Balzano,1,0,0,"4,999",4.2,"1,406",28,"Sunday, February 13",1,"1,406"
43,B09JP6VQR9,"Lifelong LLHBZ05 Infinia Plus 400W Hand Blender Machine with Whisker, Chopping Attachment & Multipurpose Jar|Stainless Steel Blade & Detachable Shaft|Soups, Smoothies, Sauces (1 Year Warranty, Silver)",Lifelong,1,0,0,"2,099",0,0,58,"Tuesday, February 15",1,"₹2,099
₹5,000 Save ₹2,901 (58%)"
44,B097XPJTL3,"Cookwell Bullet Mixer Grinder, 600W, Push + Knob Modes (3 Jars, 2 Blades, Silver)",Cookwell,1,0,0,"2,190",4.1,"8,424",56,"Tuesday, February 15",1,"8,424"
45,B0977C69CB,"AGARO Grand Professional Blender/Grinder/ Mixer, 2000W, 2 Litres BPA Free Jar, 100% Copper Motor, Variable Speed, Pulse Function, 8 Leaf Stainless Steel Blade (Black)",AGARO,1,0,0,"5,999",4.5,70,54,"Tuesday, February 15",1,70
46,B0979BT98Q,"Inalsa Hand Blender Robot 1000 Pro S- 1000W with Variable Speed Control Stainless Steel Stem, (Black/Silver)",Inalsa,0,0,0,"1,999",4.4,460,41,"Sunday, February 13",1,460
47,B009UORCGW,"PHILIPS HR1350/C Hand Blender, 250W (White)",PHILIPS,0,0,0,"1,275",3.9,"2,488",2,"Friday, February 11",1,"2,488"
48,B09CNXKYJM,"Lifelong LLHM02 300 W Regalia Plus Hand Mixer with Stand for Mixing Cake Batter and Atta | 2 Dough Steel Hooks, 2 Whiskers/Beaters (1 Year Warranty, Black)",Lifelong,0,0,0,"1,079",4.0,102,73,"Tuesday, February 15",1,102
49,B00IOLKPX4,"Hongxin Plastic Wireless Portable Milk Frother Electric Foam Maker Hand Blender Mixer Froth Whisker Latte Maker for Coffee, Juice, Cafe Latte, Espresso, Cappuccino, Lassi",Hongxin,0,0,0,149,3.1,"7,848",50,"Wednesday, February 16",0,"7,848"
50,B097XJHMSH,"Cookwell Bullet Mixer Grinder, 600W, Push + Knob Modes (5 Jars, 3 Blades, Black)",Cookwell,0,0,0,"2,490",4.1,"8,424",59,"Tuesday, February 15",1,"8,424"
51,B09NTTQ3MY,"ROYAL STEP Portable Electric USB Juice Maker Juicer Bottle Blender Grinder Mixer, Rechargeable Bottle with 4 Blades (MULTI) (Multii)",ROYAL,0,0,0,499,4.9,35,75,"Tuesday, February 15",1,35
52,B09KGNCS7D,"Walkjump 2000mAh Rechargeable Portable Electric Mini USB Bottle Blender for Making Juice, Shakes, Smoothie ,Travelling purpose Juicer For Fruits And Vegetables ,Mixers Grinders (MULTICOLOUR)",Walkjump,0,0,0,629,3.9,33,65,"Sunday, February 13",1,33
53,B0912Q8R4C,"Stainless Steel Mini Hand Blender for Coffee/Egg Beater | Milk Frother Electric Foam Classic Sleek Design Hand Blender Mixer,Egg Beater,Coffee,Juice,Blender",Stainless,0,0,0,149,3.0,9,63,"Tuesday, February 15",0,9
54,B087ZLP5NM,"Lifelong LLMG200 Power Pro LX 500-Watt Mixer Grinder with 3 Jars (Liquidizing, Wet Grinding and Chutney Jar), Stainless Steel blades, 1 Year Warranty (Black)",Lifelong,1,0,0,"1,699",3.9,485,36,"Wednesday, February 16",1,485
55,B085CQ18ZR,"AmazonBasics Mixer, Grinder and Blender with 2 Jars (1000W), Black",AmazonBasics,1,0,0,"2,288",3.5,43,49,"Friday, February 11",1,43
