,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B0969MYHVW,Chai Point Ceramic Mug with Lid | Sipper Mug with 300 ML Capacity | Travel Mug for Coffee & Tea | Red Mug | Coffee Mug | Tea Mug,Chai,1,0,0,549,4.0,64,21,"Friday, February 11",1,64
1,B08WJNFJM6,"POTZO Black Coffee Mugs, 250 ML, Handmade Microwave Safe Ceramic Mugs (Set of 4, Pure Black)",POTZO,1,0,0,499,4.4,587,64,"Sunday, February 13",1,587
2,B08VJ47LDK,"DANKOTUWA Porcelain Coffee Mugs - Pack of 2, Platinum, 275ml",DANKOTUWA,1,0,0,849,4.5,48,0,"Friday, February 11",1,48
3,B0948TH4XX,Curious Cat Company Ceramic Coffee Mug - White,Curious,1,0,0,399,5.0,1,11,"Monday, February 14",0,1
4,B0973DYG9M,"Sampla Draco Series Ceramic Coffee Mugs - 6 Pieces, Crystal Multi Color, 250 ML (Random Colour)",Sampla,0,0,0,550,4.3,400,53,"Saturday, February 12",0,400
5,B09CDN9V91,"Anwaliya Army Series Ceramic Coffee Mugs, 260 ml, Set of 6, Multi Square",Anwaliya,0,0,0,525,4.2,270,56,"Saturday, February 12",1,270
6,B08HWLCR7Y,"Anwaliya Edesia Tapered Ceramic Coffee Mugs, 250 ml, Set of 6, Multi Colour Gloss",Anwaliya,0,0,0,499,4.3,978,58,"Saturday, February 12",1,978
7,B09KCJZYSQ,COSKIRA Coffee Mug 500ML Insulated Coffee Cups Double Walled Travel Mug Vacuum Insulation Stainless Steel Car Coffee Mug with Leakproof Lid Reusable Thermal Cup for Hot Cold Drinks Coffee Tea Beer,COSKIRA,0,0,0,645,4.6,17,41,"Sunday, February 13",1,17
8,B0821HFP5D,"Clay Craft Ceramic Coffee Mugs - Set of 4, Multicolour, 220ml",Clay,0,0,0,524,4.2,"2,278",15,"Saturday, February 12",1,"2,278"
9,B08WJLVC6M,"POTZO Black Coffee Mugs, 250 ML, Handmade Microwave Safe Ceramic Mugs (Set of 4, Black Multicolour)",POTZO,0,0,0,499,4.4,587,64,"Sunday, February 13",1,587
10,B09MQRVVPQ,"Anwaliya Aitne Series Ceramic Coffee Mugs, 300 ml, Set of 6, Multi Colour Square (Color May Vary)",Anwaliya,0,0,0,499,4.5,39,58,"Saturday, February 12",1,39
11,B08P6SDZ5B,"JCPL Donald Ceramic Milk & Coffee Mug, 330ml, 1 piece, ZS-DB-07",JCPL,0,0,0,224,4.4,452,14,"Friday, February 11",0,452
12,B09MJKQVSJ,"Sanskriti Ceramic Serving Black Matte Finish Coffee Mug Tea Cup - 1 Piece, 300 ML",Sanskriti,0,0,0,198,4.5,70,29,"Sunday, February 13",1,70
13,B09P8TTV6C,"KELVEE Awesome Ceramic Coffee Mug with Handle Set of 6 Multicolor, Microwave Safe Tea Cups for Home, Office and Everyday use for Cold & Hot Beverages (150ML)",KELVEE,0,0,0,589,4.1,4,51,"Sunday, February 13",1,4
14,B08X1H93HS,"V Kraft ""My Coffee is Strong so am i "" Unique and Stylish Love Quote Printed Transparent Coffee Mug Tea Cup | Unique and Stylish | Gift for Anyone On Any Occasion | Pack of 1, 330ml",V,0,0,0,292,5.0,3,58,"Saturday, February 12",1,3
15,B09HHMVNRW,"Conphisco Coffee Mug with Lid and Spoon, Ceramic Diamond Shape Coffee Mug, Espresso Mug, Cappuccino Mug (Black, 420 ml)",Conphisco,0,0,0,599,4.5,93,25,"Sunday, February 13",1,93
16,B098LGRQ2T,"Sawardawalas Starbucks Mug | Starbucks Cup | Starbucks Coffee Mug | Starbucks Coffee Cup Ceramic Coffee Mug - Black, 325ml",Sawardawalas,0,0,0,249,4.1,46,58,"Saturday, February 12",1,46
17,B08X7LBCLH,"Octa Store Vintage Green Color Grooved Ceramic Coffee Mug Microwave Safe Coffee/Milk Mug with Handle Ideal Best Gift for Friends, Anniversary, Birthday (Set of 2, 300 ML)",Octa,0,0,0,498,4.3,365,17,"Friday, February 11",0,365
18,B08QD17ZMV,"V Kraft ""King and Queen Couple Matching Mug Set of 2 "" Black Ceramic Mug with Handle Gift for Anyone On Any Occasion | Coffee Mug & Tea Cup | Pack of 2, 330ml",V,0,0,1,342,4.4,191,66,"Saturday, February 12",1,191
19,B078NTJHB2,"Inditradition Camera Lens Coffee Mug | Steel Insulated Travel Mug, Thermos (400 ML, Black)",Inditradition,0,0,0,249,3.9,"1,055",38,"Sunday, February 13",0,"1,055"
20,B0912M3DCH,"POTZO Studio Coffee Mugs, 250 ML, Set of 2, Microwave Safe, Dishwasher Safe Stoneware Ceramic (Red Eagle, 2)",POTZO,1,0,0,369,4.3,52,74,"Sunday, February 13",1,52
