,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09C3VGV8G,"Surf Excel Easy Wash Detergent Powder, 5 Kg",Powder,1,1,0,525,4.4,"32,831",16,,0,"32,831"
1,B09JG6SP3Z,"Surf Excel Easy Wash Detergent Powder, Superfine Powder That Dissolves Easily And Removes Tough Stains, 9 Kg, white (SUGT11A)",Powder,1,0,0,915,3.8,4,8,,0,4
2,B081QSKDRW,Amazon Brand - Presto! Detergent Powder - 8kg,Amazon,1,0,0,569,3.7,927,21,"Friday, February 11",1,927
3,B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Powder,1,0,0,704,4.4,"18,550",3,"Tuesday, February 8",1,"18,550"
4,B07G3MWKC3,Mr. White Detergent Powder - 5 Kg with Free 2Kg,Powder,0,0,1,425,4.3,"19,907",0,"Thursday, February 10",1,"19,907"
5,B07N6NP5K2,"Rin Advanced Detergent Powder 7 Kg Pack, Washing Powder for Bright & Dazzling White Clothes - Machine & Bucket Wash",Powder,0,0,0,525,4.3,"22,251",4,"Tuesday, February 8",1,"22,251"
6,B07ZQDFG9R,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 7kg + 3kg FREE,Powder,0,0,0,878,4.4,"9,305",3,"Tuesday, February 8",1,"9,305"
7,B08DRKZDHT,More Light Extra Power Detergent powder 4kg,Powder,0,0,0,292,4.2,"9,107",19,"Tuesday, February 8",1,"9,107"
8,B00TS89BSW,"Surf Excel Easy Wash Detergent Powder 1.5 kg, Washing Powder that Dissolves Easily & Removes Tough Stains on Clothes - Bucket & Machine Wash",Powder,0,1,0,184,4.4,"32,831",0,"Tuesday, February 8",1,"32,831"
9,B07VXF224L,"Nikunj Advance Detergent Powder, 4 kg",Powder,0,0,0,155,3.5,214,0,"Tuesday, February 8",1,214
10,B011BXDMBI,"Genteel Liquid Detergent Bottle for Bucket & Machine Wash, No Soda Formula, with Added Fabric Conditioner - Pack of 2 (1kg each)",Gel,0,0,0,291,4.3,"22,636",9,"Tuesday, February 8",1,"22,636"
11,B079QBSYSX,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 6kg + 2kg FREE,Powder,0,0,0,704,4.4,"18,550",3,"Tuesday, February 8",1,"18,550"
12,B089DS53S7,"Ariel Matic Liquid Detergent Front Load Refill Pouch, 2 Litre",Liquid,0,0,0,382,4.4,"9,033",2,"Tuesday, February 8",1,"9,033"
13,B01C6QL2RA,"Safed Detergent Powder - with Power Bullets, 4 Kg, blue",Powder,0,0,0,229,4.1,"1,270",0,"Tuesday, February 8",1,"1,270"
14,B00U1489JY,"Safewash Liquid Detergent By Wipro, 1Kg, Pack Of 2",Liquid,0,0,0,345,4.3,"8,537",1,"Friday, February 11",1,"8,537"
15,B08HXT7HPK,Tide Ultra Anti-Germ Detergent Washing Powder 2kg+1kg FREE,Powder,0,0,0,332,4.4,"5,909",5,"Tuesday, February 8",1,"5,909"
16,B06ZZJ7NVH,Ariel Matic Top Load Detergent Washing Powder - 4 kg with Free Detergent Powder - 2 kg - Pantry,Powder,0,0,0,990,4.4,"15,238",6,"Tuesday, February 8",1,"15,238"
17,B089DSWYXQ,"Ariel Matic Liquid Detergent Top Load Refill Pouch, 2 Litre",Liquid,0,0,0,352,4.4,"12,271",5,"Tuesday, February 8",1,"12,271"
18,B079QKYMTY,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 6kg + 2kg FREE,Powder,0,0,0,704,4.4,"10,510",0,"Tuesday, February 8",1,"10,510"
19,B079QKXP84,Tide Plus Detergent Washing Powder with double Power Lemon and Mint Pack - 1 kg,Powder,0,0,0,104,4.4,"3,363",0,"Tuesday, February 15",0,"3,363"
20,B07ZQDFG9R,Tide Plus Double Power Detergent Washing Powder Jasmine & Rose 7kg + 3kg FREE,Powder,1,0,0,878,4.4,"9,305",3,"Tuesday, February 8",1,"9,305"
21,B079QKYMTY,Tide Plus Double Power Detergent Washing Powder Lemon & Mint 6kg + 2kg FREE,Powder,1,0,0,704,4.4,"10,510",0,"Tuesday, February 8",1,"10,510"
22,B08HXT7HPK,Tide Ultra Anti-Germ Detergent Washing Powder 2kg+1kg FREE,Powder,1,0,0,332,4.4,"5,909",5,"Tuesday, February 8",1,"5,909"
23,B07RNRQMJQ,Tide Ultra Anti-Germ Detergent Washing Powder 2kg+1kg Free,Powder,1,0,0,0,4.3,"2,211",0,,0,"2,211"
24,B016BB26KI,"Godrej Ezee Liquid Detergent - Winterwear, No Soda Formula, 2kgs (1 bottle & 1 refill)",Liquid,0,0,0,288,4.5,"20,983",18,"Tuesday, February 8",1,"20,983"
25,B08Z47FLC8,Ariel Matic Liquid Detergent Front Load 2 Litres And 500 Milliliter Pack,Liquid,0,0,0,440,4.4,"3,966",0,"Friday, February 11",1,"3,966"
26,B08FBZYXNR,"Godrej Ezee 2-in-1 Liquid Detergent + Fabric Conditioner (Fabric Softener) - 1kg, For Regular Clothes",Liquid,0,0,0,180,4.3,"3,498",22,"Tuesday, February 8",1,"3,498"
27,B0153BQ0QI,Mr. White Detergent Powder - 4Kg,Powder,0,0,0,270,4.2,"7,232",0,"Friday, February 11",1,"7,232"
28,B07RH199GJ,Ariel Complete Detergent Washing Powder- 4Kg Value Pack,Powder,0,0,0,640,4.4,"5,906",48,"Tuesday, February 8",1,"5,906"
29,B07F889J16,"Surf Excel Matic Front Load Liquid Detergent 2 L Refill, Designed For Tough Stain Removal on Laundry in Washing Machines - Super Saver Offer Pack",Liquid,0,0,0,395,4.5,"30,471",5,"Tuesday, February 8",1,"30,471"
30,B07PXND4T6,"Surf Excel Matic Top Load Detergent Washing Powder 3+1 kg Free Offer, Specially designed for Tough Stain Removal on Laundry in Washing Machines",Powder,0,0,0,650,4.4,"13,437",4,"Tuesday, February 8",1,"13,437"
31,B079QDSXJ7,Tide Plus Double Power Detergent Washing Powder - 2 kg (Lemon and Mint),Powder,0,0,0,212,4.4,"4,610",0,"Tuesday, February 8",1,"4,610"
