,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B015OW3P1O,"AmazonBasics DisplayPort (not USB port) to HDMI Cable - 10 Feet, Black",AmazonBasics,1,0,0,"1,700",4.1,"27,749",11,"Tuesday, February 8",1,"27,749"
1,B01M09PT7O,"CableCreation Displayport to HDMI Adapter, 4K 3D Gold Plated DP to HDMI Converter Male to Female 1.4V Black",CableCreation,1,0,1,514,4.2,"3,468",36,"Sunday, February 13",1,"3,468"
2,B018X4DMU4,"Posh Display Port DP Male to HDMI Female Adapter Cable for DELL, HP, AMD",Posh,0,1,0,252,3.7,"1,782",16,"Tuesday, February 8",1,"1,782"
3,B098DHP73H,"Sounce DisplayPort to HDMI Adapter, Gold-Plated Display Port to HDMI Converter, DP to HDMI Cord (Male to Female) Compatible with Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV - Black",Sounce,0,0,0,399,4.0,"1,596",79,"Tuesday, February 8",1,"1,596"
4,B079QX7NMG,HP Display Port to HDMI (1 m),HP,0,0,0,849,4.6,12,8,"Tuesday, February 15",1,12
5,B01M09PT7O,"CableCreation Displayport to HDMI Adapter, 4K 3D Gold Plated DP to HDMI Converter Male to Female 1.4V Black",CableCreation,0,0,1,514,4.2,"3,468",36,"Sunday, February 13",1,"3,468"
6,B0816Y2KJV,"InfiDeals DisplayPort to HDMI Cable, Gold Plated DP to HDMI Cable for Display Port Enabled Desktops and Laptops to Connect to HDMI Displays (1.5 m)",InfiDeals,0,0,0,529,4.8,5,59,"Saturday, February 12",1,5
7,B09BVFX93H,"Terabyte Display Port Male to HDMI Male Cable; DP Display Port to HDMI Converter Cable Cord Compatible for Laptop, PC (Black)04",Terabyte,0,0,0,449,3.4,9,55,"Saturday, February 12",1,9
8,B015OW3QVS,AmazonBasics DisplayPort (not USB port) to HDMI Cable - 15 Feet,AmazonBasics,0,0,0,"1,399",4.1,"27,749",33,"Tuesday, February 8",1,"27,749"
9,B0134V29UA,AmazonBasics Mini DisplayPort to HDMI Cable - 3 Feet,AmazonBasics,0,0,0,609,4.3,"31,021",6,"Tuesday, February 8",1,"31,021"
10,B08HYS1DR8,"cableCreation USB C to HDMI Cable 4K 6ft for Home Office, Braided USB Type C to HDMI Cable [Thunderbolt 3 Compatible], for MacBook/ Pro/ Air, iPad Pro 2020, Surface Book 2, Galaxy S20/S10, Aluminum",cableCreation,1,0,0,"1,238",3.8,"7,779",59,"Sunday, February 13",1,"7,779"
11,B086D42F83,"CableCreation 8K HDMI Cable, High Speed 48Gbps 8K 60Hz Ultra HD, HDCP 2.2,4:4:4 HDR, eARC, Compatible for PS5, PS4, Xbox One/Xbox Series X, QLED TV,Roku TV, VIZIO TV(3.2ft)",CableCreation,1,0,0,"1,199",4.4,"1,352",56,"Sunday, February 13",1,"1,352"
12,B01M1KJ7UP,"CableCreation Displayport to HDMI Adapter, 1080P Gold Plated DP to HDMI Adapter Male to Female 1.3V Black",CableCreation,0,0,0,599,4.2,"3,468",33,"Sunday, February 13",1,"3,468"
13,B00B2HOURO,"UGREEN 4K Displayport to HDMI Cable Uni-Directional UHD DP to HDMI Connector Video Display Cord for HDTV Monitor Projector Computer 1.5M, Black (DP101)",UGREEN,0,0,0,"1,229",4.5,"2,361",28,"Tuesday, February 15",1,"2,361"
14,B01FM51WYK,"CableCreation DisplayPort to HDMI Cable 3 Feet, Gold Plated DP to HDMI Cable 4K & 3D Audio/Video Converter Black",CableCreation,0,0,0,999,4.5,528,77,"Sunday, February 13",1,528
15,B08R5VBPRP,TERABYTE Display Port to HDMI Cable; DP Display Port to HDMI Converter Cable Gold-Plated Cord Compatible for Laptop,TERABYTE,0,0,0,525,4.0,9,47,"Saturday, February 12",0,9
16,B01DGWHIYO,Cables Kart Mini DisplayPort to HDMI Female Adapter for Apple MacBook MacBook Pro iMac MacBook Air Mac Mini Laptop,Cables,0,0,0,299,3.7,230,70,"Saturday, February 12",1,230
17,B0134V3KIA,AmazonBasics Mini Display Port to HDMI Cable - 6 Feet,AmazonBasics,0,0,0,695,4.3,"31,021",13,"Tuesday, February 8",1,"31,021"
