,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,Nodens Rubber Coated Professional Exercise Hex Dumbbells (Pack of 2),1,0,0,"1,899",4.6,63,37,"Tuesday, February 1",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02540842GRE7OTJAHEPU&url=%2FNodens-Rubber-Coated-Professional-Dumbells%2Fdp%2FB07FYRK5F1%2Fref%3Dsr_1_1_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-1-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_atf
1,"Joyfit Vinyl Coated Dumbbells - Highly Durable Hexagon Dumbbells, Color-Coded Hand Weights for Fitness and Strength Training at Home/Gym Exercise - Ideal for Beginners and Advanced Users [Pair]",1,0,0,999,4.4,44,50,"Wednesday, February 2",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0989079I0SRDL81SM45&url=%2FJoyfit-Vinyl-Coated-Dumbbells-Color-Coded%2Fdp%2FB08GKFVRFK%2Fref%3Dsr_1_2_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-2-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_atf
2,"Flexnest - Pair Of 2 Adjustable Dumbbells (2.5Kg To 24Kg) For Men And Women, Easy Weight Adjustment, Home Workout, Gym Exercise",1,0,0,"16,998",4.1,14,59,"Friday, February 4",0,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06567423405SYGC52Q0N&url=%2FFlexnest-Adjustable-Dumbbells-Adjustment-Exercise%2Fdp%2FB09J8Y5RY6%2Fref%3Dsr_1_3_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-3-spons%26psc%3D1%26smid%3DA24W4KX8RUC8GW&qualifier=1643265205&id=4441125105797304&widgetName=sp_atf
3,"Hex Dumbbells PVC Encase Coating Free Weight Dumbbell Set for Strength Training, Home Gym Fitness and Full Body Workout",1,0,0,525,3.7,180,0,"Monday, February 7",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0001634VXVMKECNRHCE&url=%2FDumbbells-Coating-Dumbbell-Strength-Training%2Fdp%2FB09GYHFQXC%2Fref%3Dsr_1_4_sspa%3Fcrid%3D18VJ9Z5PXXC5%26keywords%3DDumbbells%2Band%2Bweights%26qid%3D1643265205%26sprefix%3Ddumbbells%2Band%2Bweights%252Caps%252C7006%26sr%3D8-4-spons%26psc%3D1&qualifier=1643265205&id=4441125105797304&widgetName=sp_atf
4,Kore PVC 20 KG Spare Weight Plates Combo,0,0,0,749,3.6,"8,558",70,"Monday, February 7",1,https://www.amazon.in/Kore-20-Kg-Weight-Plate/dp/B089DY5NNL/ref=sr_1_5?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-5
5,Aurion PVC Dumbbells Weights Exercise Barbell for Men & Women,0,0,0,289,3.9,"4,505",0,"Sunday, February 6",0,https://www.amazon.in/Dumbbells-Weights-Fitness-Exercise-Dumbbell/dp/B096VVK67V/ref=sr_1_6?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-6
6,"Aurion Hand Dumbbells Weights Fitness Home Gym Exercise Barbell 1Kg, 2Kg, 3Kg, 4Kg, 5Kg Set (Pack of 2) Light Heavy Ladies Mens Dumbbells with Hand Gripper",0,0,0,250,3.9,851,23,"Sunday, February 6",0,https://www.amazon.in/Dumbbells-Weights-Fitness-Exercise-Barbell/dp/B075F7KXBY/ref=sr_1_7?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-7
7,"Zustle Unisex Pack of 2 Dumbbells Weights for Men and Women, Can be Used in Home and Gym (Unisex – Indoor & Outdoor)",0,0,0,349,3.0,1,56,"Tuesday, February 1",0,https://www.amazon.in/Zustle-Unisex-Dumbbells-Weights-Women/dp/B09NRWHR43/ref=sr_1_8?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-8
8,"Hex Dumbbells PVC Encase Coating Free Weight Dumbbell Set for Strength Training, Home Gym Fitness and Full Body Workout",0,0,0,525,3.7,180,0,"Monday, February 7",1,https://www.amazon.in/Dumbbells-Coating-Dumbbell-Strength-Training/dp/B09GYHFQXC/ref=sr_1_9?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-9
9,"AmazonBasics Rubber Encased Hex Dumbbell Weight - 13.3 x 5.7 x 4.8 Inches, 13.6 kg",0,0,0,"1,447",4.6,"2,028",66,"Saturday, January 29",1,https://www.amazon.in/AmazonBasics-Quality-Cast-Iron-Construction-Dumbbell/dp/B074DYLY5V/ref=sr_1_10?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-10
10,"AmazonBasics Rubber Encased Hex Dumbbell Weight - 10.7 x 4 x 3.5 Inches, 4.5 kg",0,0,0,769,4.5,"2,659",49,"Saturday, January 29",1,https://www.amazon.in/AmazonBasics-Quality-Cast-Iron-Construction-Dumbbell/dp/B074DZ65J3/ref=sr_1_11?crid=18VJ9Z5PXXC5&keywords=Dumbbells+and+weights&qid=1643265205&sprefix=dumbbells+and+weights%2Caps%2C7006&sr=8-11
