,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08GKFVRFK,"Joyfit Vinyl Coated Dumbbells - Highly Durable Hexagon Dumbbells, Color-Coded Hand Weights for Fitness and Strength Training at Home/Gym Exercise - Ideal for Beginners and Advanced Users [Pair]",Joyfit,1,0,0,999,4.4,44,50,"Tuesday, February 15",1,44
1,B099WPFDTX,"Flexnest® Adjustable Dumbbells (2.5Kg To 24Kg), Designed-In-Germany, For Men And Women, Easy Weight Adjustment, Home Workout, Gym Exercise (Single)",Flexnest®,1,0,0,"8,999",3.7,34,57,"Monday, February 14",0,34
2,B09J8Y5RY6,"Flexnest® Pair Of 2 Adjustable Dumbbells Set (2.5Kg To 24Kg) For Men And Women, German Design, Easy Weight Adjustment, Home Workout, Gym Exercise Set",Flexnest®,1,0,0,"16,998",4.2,15,59,"Monday, February 14",0,15
3,B07FNXDYR4,AmazonBasics Vinyl Dumbbells,AmazonBasics,1,0,0,849,4.5,"11,670",50,"Tuesday, February 8",1,"11,670"
4,B089DY5NNL,Kore PVC 20 KG Spare Weight Plates Combo,Kore,0,0,0,799,3.6,"8,614",68,"Monday, February 14",1,"8,614"
5,B096VVK67V,Aurion PVC Dumbbells Weights Exercise Barbell for Men & Women,Aurion,0,0,0,289,3.9,"4,549",0,"Tuesday, February 15",0,"4,549"
6,B09FZ6Y8Z5,"Aurion 12kg Dumbbell Workout Weight Set Including Stand - PVC Coated Exercise & Fitness Dumbbell for Home Gym Equipment Workouts Strength Training for Women, Men.(1 kg+2kg+3kg)",Aurion,0,0,0,930,4.1,49,7,"Friday, February 11",1,49
7,B07PM1ZMHK,"Unisex Hexagon Vinyl Dumbbell - Pair Set Hand Weights for Strength Training - Weight Loss, Workout Bench, Gym Dumbbells, and Home Workouts - Set of 2, 1 kg Pink",Unisex,0,0,0,488,4.3,160,51,"Tuesday, February 15",1,160
8,B09MW2SMMZ,GYM BANDITS Home Gym Combo 3Ft Straight Rod One Pair Dumbbell Rods PVC Dumbbell Plates Home Gym Kit Weight Plates Fitness Exercise Set Gym Accessories,GYM,0,0,0,999,4.0,2,50,"Tuesday, February 15",0,2
9,B089DF1PXS,Kore PVC 10-30 Kg Home Gym Set with One 3 Ft Curl and One Pair Dumbbell Rods with Gym Accessories,Kore,0,0,0,"1,429",3.5,"25,937",65,"Monday, February 14",1,"25,937"
