,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08GKFVRFK,"Joyfit Vinyl Coated Dumbbells - Highly Durable Hexagon Dumbbells, Color-Coded Hand Weights for Fitness and Strength Training at Home/Gym Exercise - Ideal for Beginners and Advanced Users [Pair]",Joyfit,1,0,0,999,4.4,44,50,"Thursday, February 17",1,44
1,B09J8Y5RY6,"Official Flexnest® Pair Of 2 Adjustable Dumbbells Set (2.5Kg To 24Kg) For Men And Women, German Design, Easy Weight Adjustment, Home Workout, Gym Exercise Set",Official,1,0,0,"16,998",4.2,17,59,"Thursday, February 17",0,17
2,B07FNXDYR4,AmazonBasics Vinyl Dumbbells,AmazonBasics,1,0,0,819,4.5,"11,740",52,"Sunday, February 13",1,"11,740"
3,B08TLTYKTQ,"Lifelong PVC Dumbbells Pack of 2 10Kg(2*5Kg) for Home Gym Equipment Fitness Barbell|Gym Exercise|Home Workout, Gym Dumbbells|Dumbbells Weights for Men & Women (6 Months Warranty)",Lifelong,1,0,0,619,3.9,345,48,"Sunday, February 13",1,345
4,B07WNGQ8Q1,"Aurion Dumbbells (Boxed in Pair) (Choose of 1KG, 2KG, 3KG, 4KG, 5KG,6 KG) for Home Gym Exercise, Fitness and Weights for Women and Men Dumbbells Set",Aurion,0,0,0,472,3.8,"8,327",50,"Sunday, February 20",0,"8,327"
5,B089DY5NNL,Kore PVC 20 KG Spare Weight Plates Combo,Kore,0,0,0,799,3.6,"8,657",68,"Thursday, February 17",1,"8,657"
6,B07PM1ZMHK,"Unisex Hexagon Vinyl Dumbbell - Pair Set Hand Weights for Strength Training - Weight Loss, Workout Bench, Gym Dumbbells, and Home Workouts - Set of 2, 1 kg Pink",Unisex,0,0,0,477,4.3,161,52,"Thursday, February 17",1,161
7,B09FZ6Y8Z5,"Aurion 12kg Dumbbell Workout Weight Set Including Stand - PVC Coated Exercise & Fitness Dumbbell for Home Gym Equipment Workouts Strength Training for Women, Men.(1 kg+2kg+3kg)",Aurion,0,0,0,999,4.2,52,0,"Sunday, February 13",1,52
8,B07X3VK7CD,Aurion Weight Plate disc Vinyl Standard Weights Plates Set for Weight Lifting Dumbbell Bars Strength Training Home Gym Fitness Workout(4 KG to 30 kg),Aurion,0,0,0,199,3.9,"1,421",0,"Sunday, February 20",0,"1,421"
9,B09MW2SMMZ,GYM BANDITS Home Gym Combo 3Ft Straight Rod One Pair Dumbbell Rods PVC Dumbbell Plates Home Gym Kit Weight Plates Fitness Exercise Set Gym Accessories,GYM,0,0,0,999,3.4,4,50,"Friday, February 18",0,4
10,B089DF1PXS,Kore PVC 10-30 Kg Home Gym Set with One 3 Ft Curl and One Pair Dumbbell Rods with Gym Accessories,Kore,0,0,0,"1,429",3.5,"26,043",65,"Thursday, February 17",1,"26,043"
11,B09PQSKBZN,"Rapidotzz PVC Dumbbell Weights | Exercise, Fitness | Home Gym | Pair of 2 | 1 - 5 Kg | Youthful Colours | Men & Women",Rapidotzz,0,0,0,199,0,0,90,"Wednesday, February 16",0,"₹199
₹1,999 Save ₹1,800 (90%)"
12,B09NRWHR43,"Zustle Unisex Pack of 2 Dumbbells Weights for Men and Women, Can be Used in Home and Gym (Unisex – Indoor & Outdoor)",Zustle,0,0,0,349,4.7,23,56,"Wednesday, February 16",0,23
13,B096VVBJCY,Aurion PVC Dumbbells Weights Exercise Barbell for Men & Women,Aurion,0,0,0,335,3.9,"4,572",0,"Sunday, February 13",0,"4,572"
14,B07K475JTD,"Facto Power Home Gym with Curl Rod, Dumbbell Rods and 1 Accessory for Fitness, Weight Lifting, Body Shaping and Body Toning",Facto,0,0,0,697,2.1,9,59,"Thursday, February 17",1,9
15,B08DS5SC8H,Kore Home gym & Fitness Kit,Kore,0,0,0,799,3.5,"10,582",70,"Thursday, February 17",1,"10,582"
16,B08JKBK2KR,Liffo® 15-inch Dumbbell Rod with Plastic Nuts Weight Lifting Bar Black (Pack of 2 Pcs),Liffo®,0,0,0,325,4.1,706,57,"Thursday, February 17",1,706
17,B09K1LZSK4,"CORSO PVC Dumbbell Plates Home Gym Combo (8Kg to 20 Kg), PVC Dumbbell Set, PVC Dumbbell Plates, Adjustable Dumbbells, Weight Plates, Home Gym Equipments for Men, Exercise Set",CORSO,0,0,0,549,0,0,57,"Thursday, February 17",1,"₹549
₹1,279 Save ₹730 (57%)"
18,B08JPXZW91,"Gym Insane PVC Dumbbell Set for Weight Lifting Training Fitness Equipment, for Men and Women Gym Accessories Home Workout Gym Dumbbells. 4kg(2 kg x2, blue)",Gym,0,0,0,245,3.4,11,65,"Thursday, February 17",0,11
19,B07GWJQ3ZH,Kakss Cast Iron Vinyl Coated Dumbbells,Kakss,0,0,0,339,4.4,"1,636",43,"Wednesday, February 16",0,"1,636"
20,B09HHDNHP4,FitBox Sports 3 In 1 Convertible Dumbbells kit,FitBox,1,0,0,"1,299",3.5,27,70,"Wednesday, February 16",1,27
21,B07DM5YFGQ,Kakss Best Home Gym Training (10 Kg to 200 Kg) Home Gym Set with Exclusive Neoprene Coated Weight Plates with 3 ft Curl (25MM) + 5 ft Plain Rod (25MM) (Proudly Made in India),Kakss,1,0,0,"8,998",4.2,183,50,"Thursday, February 17",0,183
22,B01I7ZGSB4,"Aurion DB20 Plastic Dumbell Set Combo, 20Kg (Black)",Aurion,1,0,0,"1,074",3.9,96,23,"Thursday, February 17",1,96
23,B098JV1SNN,FitBox Sports Octa PVC Dumbbells,FitBox,1,0,0,199,3.3,36,20,"Wednesday, February 16",0,36
