,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,"Logitech G335 Wired Lightweight Gaming Headset with Flip to Mute Microphone, 3.5mm Audio Jack, Memory Foam Earpads, Compatible with PC, Playstation, Xbox, Nintendo Switch (Black)",1,0,0,"6,095",4.2,152,10,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00890511IRMUR0I6DA32&url=%2FLogitech-G335-Lightweight-Microphone-Playstation%2Fdp%2FB0987Y1MBZ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265225%26sr%3D8-1-spons%26psc%3D1&qualifier=1643265225&id=6703357887614550&widgetName=sp_atf
1,"Logitech G435 Lightspeed and Bluetooth Wireless Gaming Headset - Lightweight Over-Ear Headphones, Built-in mics, 18h Battery, Compatible with Dolby Atmos, PC, PS4, PS5, Mobile - Blue",1,0,0,"6,995",4.4,21,7,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0763134FLYZIM1ZH9ZX&url=%2FLogitech-G435-Lightspeed-Bluetooth-Wireless%2Fdp%2FB09GG24DBM%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265225%26sr%3D8-2-spons%26psc%3D1&qualifier=1643265225&id=6703357887614550&widgetName=sp_atf
2,Ant Esports H530 Multi-Platform Pro RGB LED Wired Gaming Headset for PC/ PS4 / Xbox One/Nintendo Switch/Android/iOS - Black - Blue,0,0,0,"1,399",3.7,"5,379",53,"Monday, January 31",1,https://www.amazon.in/Ant-Esports-Gaming-Headset-H530/dp/B08D6G521Y/ref=sr_1_3?keywords=Gaming+headset&qid=1643265225&sr=8-3
3,"Cosmic Byte H11 Gaming Wired Over-ear Headset with Microphone (Black/Orange, Pack Of 1)",0,0,1,821,4.1,"5,386",0,"Wednesday, February 2",1,https://www.amazon.in/Cosmic-Byte-H11-Microphone-Orange/dp/B07Y8LF4LK/ref=ice_ac_b_dpb?keywords=Gaming+headset&qid=1643265225&sr=8-4
4,"Cosmic Byte GS430 Gaming wired over ear Headphone, 7 Color RGB LED and Microphone for PC, PS5, Xbox, Mobiles, Tablets, Laptops (with mic,Black)",0,0,0,845,4.1,"8,990",0,"Saturday, January 29",1,https://www.amazon.in/Cosmic-Byte-GS430-Microphone-Black/dp/B0859KTNZ8/ref=sr_1_5?keywords=Gaming+headset&qid=1643265225&sr=8-5
5,boAt Immortal IM-200 7.1 Wired Channel USB Gaming Headphone with RGB Breathing LEDs & 50mm Drivers (Active Black),0,0,0,"1,699",4.2,"1,114",66,"Saturday, January 29",1,https://www.amazon.in/boAt-Immortal-Channel-Headphone-Breathing/dp/B08WHTPNVZ/ref=sr_1_6?keywords=Gaming+headset&qid=1643265225&sr=8-6
6,Ant Esports H520W World of Warships Edition Wired Gaming Headset for PC / PS4 / Xbox One/Nintendo Switch/Computer and Mobile - Black,0,0,0,971,3.7,"5,379",61,"Monday, January 31",1,https://www.amazon.in/Ant-Esports-Nintendo-Computer-Black/dp/B081Q85RTF/ref=sr_1_7?keywords=Gaming+headset&qid=1643265225&sr=8-7
7,Cosmic Byte H11 Gaming Headset with Microphone (Black/Blue),0,0,0,849,4.1,"5,386",0,"Saturday, January 29",1,https://www.amazon.in/Cosmic-Byte-H11-Microphone-Blue/dp/B085DQ3ZLG/ref=sr_1_8?keywords=Gaming+headset&qid=1643265225&sr=8-8
8,"HyperX Cloud Stinger Core - Gaming Headset for PlayStation 4 and PlayStation 5, Over-Ear Wired Headset with Mic, Passive Noise Cancelling, In-Line Audio Control, Black (HX-HSCSC-BK)",0,0,0,"2,979",4.2,"12,300",38,"Monday, January 31",1,https://www.amazon.in/HyperX-HX-HSCSC-BK-Stinger-Gaming-Headset/dp/B07BB3PYD8/ref=sr_1_9?keywords=Gaming+headset&qid=1643265225&sr=8-9
9,"JBL Quantum 100, Wired Over Ear Gaming Headset with Detachable Mic for PC, Mobile, Laptop, PS4, Xbox, Nintendo Switch, VR (Blue)",0,0,0,"2,308",4.0,"1,894",42,"Monday, January 31",1,https://www.amazon.in/JBL-Quantum-Over-Ear-Headset-Detachable/dp/B083X24VG9/ref=sr_1_10?keywords=Gaming+headset&qid=1643265225&sr=8-10
10,"Redgear Cosmo 7.1 USB Wired Gaming Headphones with RGB LED Effect, Mic and in-line Controller for PC (Black)",1,0,0,"1,790",4.4,"10,023",40,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01873351G6K5TRNCBAE5&url=%2FRedgear-Cosmo-7-1-Headphones-Controller%2Fdp%2FB079S811J3%2Fref%3Dsr_1_11_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265225%26sr%3D8-11-spons%26psc%3D1&qualifier=1643265225&id=6703357887614550&widgetName=sp_mtf
11,Ant Esports H530 Multi-Platform Pro RGB LED Wired Gaming Headset for PC/ PS4 / Xbox One/Nintendo Switch/Android/iOS – Black - Red,0,0,0,"1,399",3.7,"5,379",53,"Monday, January 31",1,https://www.amazon.in/Ant-Esports-Gaming-Headset-H530/dp/B08D5ZK45K/ref=sr_1_12?keywords=Gaming+headset&qid=1643265225&sr=8-12
12,"EKSA E900 Wired Stereo Gaming Headset-Over Ear Headphones with Noise Canceling Mic, Detachable Headset Compatible with PS4, PS5, Xbox One, PC, Mac, Laptop (Red)",0,0,0,"1,999",4.2,"5,342",51,"Friday, February 4",1,https://www.amazon.in/EKSA-Headset-Over-Headphones-Detachable-Compatible/dp/B089K72JNW/ref=sr_1_13?keywords=Gaming+headset&qid=1643265225&smid=A15HWISSD0WLIS&sr=8-13
13,Cosmic Byte H11 Gaming wired over ear Headset with Microphone (Black/Purple),0,0,0,845,4.1,"5,386",0,"Saturday, January 29",1,https://www.amazon.in/Cosmic-Byte-H11-Microphone-Purple/dp/B07Y8L2BTY/ref=sr_1_14?keywords=Gaming+headset&qid=1643265225&sr=8-14
14,"Redgear Cosmo 7.1 USB Wired Gaming Headphones with RGB LED Effect, Mic and in-line Controller for PC (Black)",0,0,0,"1,790",4.4,"10,023",40,"Monday, January 31",1,https://www.amazon.in/Redgear-Cosmo-7-1-Headphones-Controller/dp/B079S811J3/ref=sr_1_15?keywords=Gaming+headset&qid=1643265225&sr=8-15
15,"Ant Esports H560 RGB LED Gaming Headset for PC /PS5/ PS4 / Xbox One/Nintendo Switch, Mac, Over-Ear Headphones with Mic",0,0,0,"1,099",3.8,187,45,"Tuesday, February 1",1,https://www.amazon.in/Ant-Esports-H560-RGB-Headphones/dp/B09FXBHYM6/ref=sr_1_16?keywords=Gaming+headset&qid=1643265225&sr=8-16
16,"Cosmic Byte Equinox Europa 7.1 USB Dual Driver Gaming Wired Over-ear Headset with mic, Software, Spectra RGB LED and ENC Microphone (Black, Pack Of 1)",0,0,0,"2,672",4.1,"1,261",0,"Monday, January 31",1,https://www.amazon.in/Cosmic-Byte-Equinox-Europa-Microphone/dp/B07Y8JYRD1/ref=sr_1_17?keywords=Gaming+headset&qid=1643265225&sr=8-17
17,Redgear Cosmo 7.1 Wired On Ear Headphones with Mic (White),0,0,0,"1,799",4.4,"10,023",40,"Saturday, January 29",1,https://www.amazon.in/Redgear-Cosmo-7-1-Headphones-Controller/dp/B088R9S84B/ref=sr_1_18?keywords=Gaming+headset&qid=1643265225&sr=8-18
18,"CLAW ONIKUMA K1B Stereo Gaming Headset with Mic, Controls and LED Light for PC, PS4, Xbox and Mobiles (Black/Red)",0,0,0,899,3.9,198,40,"Wednesday, February 2",1,https://www.amazon.in/ONIKUMA-K1B-Headset-Controls-Mobiles/dp/B07VQHCKBL/ref=sr_1_19?keywords=Gaming+headset&qid=1643265225&sr=8-19
19,Redgear Trident Wired Over Ear Headphones with Mic (Black),1,0,0,"1,499",4.1,135,44,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A03044503M0DDDC8F796U&url=%2FRedgear-Trident-Wired-Headphones-Black%2Fdp%2FB097TRCZXM%2Fref%3Dsr_1_20_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265225%26sr%3D8-20-spons%26psc%3D1&qualifier=1643265225&id=6703357887614550&widgetName=sp_btf
20,boAt Immortal IM-200 7.1 Wired Channel USB Gaming Headphone with RGB Breathing LEDs & 50mm Drivers (Active Black),1,0,0,"1,699",4.2,"1,114",66,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08494781BZJ3Z52N9CVY&url=%2FboAt-Immortal-Channel-Headphone-Breathing%2Fdp%2FB08WHTPNVZ%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265225%26sr%3D8-21-spons%26psc%3D1&qualifier=1643265225&id=6703357887614550&widgetName=sp_btf
21,"boAt Immortal IM1000D Dual Channel Gaming Headphones with 7.1 Channel Surround Audio, Dolby Atmos, 50mm Drivers & RGB Breathing LEDs(White Sabre)",1,0,0,"2,699",4.2,"1,257",55,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08495663Q672AUY2SR3E&url=%2FboAt-Immortal-IM1000D-Headphones-Breathing%2Fdp%2FB095XHFFDY%2Fref%3Dsr_1_22_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265225%26sr%3D8-22-spons%26psc%3D1&qualifier=1643265225&id=6703357887614550&widgetName=sp_btf
22,"boAt Immortal IM1000D Dual Channel Gaming Headphones with 7.1 Channel Surround Audio, Dolby Atmos, 50mm Drivers & RGB Breathing LEDs(Black Sabre)",1,0,0,"2,699",4.2,"1,257",55,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06542092PS96IN19GI1F&url=%2FboAt-Immortal-IM1000D-Headphones-Breathing%2Fdp%2FB095XGCJYK%2Fref%3Dsr_1_17_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265837%26sr%3D8-17-spons%26psc%3D1&qualifier=1643265837&id=3802818828785284&widgetName=sp_atf_next
23,"Logitech G435 Lightspeed and Bluetooth Wireless Gaming Headset - Lightweight Over-Ear Headphones, Built-in mics, 18h Battery, Compatible with Dolby Atmos, PC, PS4, PS5, Mobile - White",1,0,0,"6,995",4.4,21,7,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A00264701OEWS8MGZ2FM6&url=%2FLogitech-G435-Lightspeed-Bluetooth-Wireless%2Fdp%2FB09GFZCC7V%2Fref%3Dsr_1_18_sspa%3Fkeywords%3DGaming%2Bheadset%26qid%3D1643265837%26smid%3DA14CZOWI0VEHLG%26sr%3D8-18-spons%26psc%3D1&qualifier=1643265837&id=3802818828785284&widgetName=sp_atf_next
24,"Zebronics Zeb-Rush Premium Gaming Headphone with 40mm Neodymium Drivers, RGB LED, Dual 3.5mm Jack, Single pin Converter, 2m Braided Cable, Padded Headband, Flexible mic and Soft Ear Cushions (Blue)",0,0,0,999,3.5,"1,282",60,"Saturday, January 29",1,https://www.amazon.in/ZEBRONICS-Zeb-Rush-Headphone-Neodymium-Blue/dp/B08TCCP2M6/ref=sr_1_19?keywords=Gaming+headset&qid=1643265837&sr=8-19
25,Ant Esports H1100 Pro RGB Wired Over-Ear Gaming Headset for PC / PS4 / PS5 / Xbox One / Switch1 – Frost White,0,0,0,"1,499",3.8,187,63,"Saturday, January 29",1,https://www.amazon.in/Ant-Esports-H1100-Pro-Over-Ear/dp/B09NDJ34RS/ref=sr_1_20?keywords=Gaming+headset&qid=1643265837&sr=8-20
