,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,"AmazonBasics Flexible Premium HDMI Cable (4K@60Hz, 18Gbps), 3-Foot",1,0,0,349,4.4,"304,633",50,"Monday, January 31",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A069923921DAQTRNY90HV&url=%2FAmazonBasics-Flexible-HDMI-Cable-3-Foot%2Fdp%2FB07KSMBL2H%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DHDMI%2BCable%26qid%3D1643274579%26sr%3D8-1-spons%26psc%3D1&qualifier=1643274579&id=7307046446924130&widgetName=sp_atf
1,"Tizum High Speed HDMI Cable “Ultra”- HDMI 2.0 -Gold Plated-High Speed Data 18Gbps, 3D, 4K, HD 2160p (1.5-Meter)",1,0,0,228,4.0,"1,089",70,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A065342934MCO5G5L09MI&url=%2FTIZUM-Ultra-Plated-High-18Gbps-1-5M-Grey%2Fdp%2FB01M61V3LV%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DHDMI%2BCable%26qid%3D1643274579%26sr%3D8-2-spons%26psc%3D1&qualifier=1643274579&id=7307046446924130&widgetName=sp_atf
2,"NISHTECH (1.5 Meter) 4K Ultra HD HDMI Male to Male Cable (Black) -Compatible with Laptop, PC, Projector & TV",0,0,1,149,4.1,367,79,"Tuesday, February 1",1,https://www.amazon.in/Nishtech-High-Speed-Cable-Black-1-5M/dp/B087CXB6JX/ref=ice_ac_b_dpb?keywords=HDMI+Cable&qid=1643274579&sr=8-3
3,"AmazonBasics Flexible Premium HDMI Cable (4K@60Hz, 18Gbps), 3-Foot",0,0,0,349,4.4,"304,633",50,"Monday, January 31",1,https://www.amazon.in/AmazonBasics-Flexible-HDMI-Cable-3-Foot/dp/B07KSMBL2H/ref=sr_1_4?keywords=HDMI+Cable&qid=1643274579&sr=8-4
4,"AmazonBasics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",0,0,0,430,4.4,"304,633",69,"Saturday, January 29",1,https://www.amazon.in/AmazonBasics-High-Speed-Cable-2-Pack-Black/dp/B014I8SX4Y/ref=sr_1_5?keywords=HDMI+Cable&qid=1643274579&sr=8-5
5,"Tizum High Speed HDMI Cable with Ethernet | Supports 3D, 4K | for All HDMI Devices, Laptop, Computer, Gaming Console, TV, Set Top Box (1.5 Meter/ 5 Feet)",0,0,0,157,4.0,"12,340",78,"Saturday, January 29",1,https://www.amazon.in/TIZUM-Slim-1-5m-HDMI-Cable/dp/B01M4GGIVU/ref=sr_1_6?keywords=HDMI+Cable&qid=1643274579&sr=8-6
6,"BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz, Audio Return - Latest Version (6.6 Feet / 2 Meters)",0,0,0,532,4.4,"36,921",24,"Monday, January 31",1,https://www.amazon.in/BlueRigger-High-Speed-Cable-Ethernet/dp/B00316263Y/ref=sr_1_7?keywords=HDMI+Cable&qid=1643274579&sr=8-7
7,"ZEBRONICS Zeb-HAA3020 (3 Meter/9 feet) HDMI Cable Supports 3D, ARC & CEC Extension, Compatible with HDMI-Enabled TV, Blu-ray, Playstation (Gold Plated Connectors)",0,0,0,291,4.4,536,68,"Saturday, January 29",1,https://www.amazon.in/ZEBRONICS-Zeb-HAA3020-Meter-HDMI-Enabled-Playstation/dp/B08WRSMVKW/ref=sr_1_8?keywords=HDMI+Cable&qid=1643274579&sr=8-8
8,"Tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",0,1,0,228,4.0,"12,340",54,"Saturday, January 29",1,https://www.amazon.in/Adapter-Projector-Computer-Laptop-Projectors/dp/B085194JFL/ref=sr_1_9?keywords=HDMI+Cable&qid=1643274579&sr=8-9
9,"BlueRigger in-Wall High Speed 18Gbps HDMI Cable - CL3 Rated with Ethernet - Supports 3D, 4K 60Hz and Audio Return - Latest Version (3 Feet / 0.9 Meter)…",0,0,0,411,4.4,"36,921",31,"Saturday, January 29",1,https://www.amazon.in/BlueRigger-High-Speed-Cable-Ethernet/dp/B00GG59HU2/ref=sr_1_10?keywords=HDMI+Cable&qid=1643274579&sr=8-10
