,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (4K@60Hz, 18Gbps), 3-Foot",AmazonBasics,1,0,0,245,4.4,"310,115",65,"Saturday, February 19",1,"310,115"
1,B01H7M6YKI,"AmazonBasics 6-Feet High-Speed HDMI 2.0 Cable, Pack of 3",AmazonBasics,1,0,0,692,4.6,"9,042",37,"Tuesday, February 15",1,"9,042"
2,B087CXB6JX,"NISHTECH (1.5 Meter) 4K Ultra HD HDMI Male to Male Cable (Black) -Compatible with Laptop, PC, Projector & TV",NISHTECH,0,0,1,149,4.0,434,79,"Saturday, February 19",1,434
3,B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (4K@60Hz, 18Gbps), 3-Foot",AmazonBasics,0,0,0,245,4.4,"310,115",65,"Saturday, February 19",1,"310,115"
4,B014I8SX4Y,"AmazonBasics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",AmazonBasics,0,0,0,379,4.4,"310,115",73,"Tuesday, February 15",1,"310,115"
5,B08WRSMVKW,"ZEBRONICS Zeb-HAA3020 (3 Meter/9 feet) HDMI Cable Supports 3D, ARC & CEC Extension, Compatible with HDMI-Enabled TV, Blu-ray, Playstation (Gold Plated Connectors)",ZEBRONICS,0,0,0,319,4.4,613,65,"Tuesday, February 15",1,613
6,B01M4GGIVU,"Tizum High Speed HDMI Cable with Ethernet | Supports 3D, 4K | for All HDMI Devices, Laptop, Computer, Gaming Console, TV, Set Top Box (1.5 Meter/ 5 Feet)",Tizum,0,0,0,199,4.0,"12,786",72,"Tuesday, February 15",1,"12,786"
7,B00316263Y,"BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz, Audio Return - Latest Version (6.6 Feet / 2 Meters)",BlueRigger,0,0,0,529,4.4,"37,289",24,"Tuesday, February 15",1,"37,289"
8,B085194JFL,"Tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",Tizum,0,1,0,279,4.0,"12,786",44,"Wednesday, February 16",1,"12,786"
9,B00GG59HU2,"BlueRigger High Speed HDMI Cable with Ethernet - Supports 3D, 4K 60Hz and Audio Return - Latest Version (3 Feet / 0.9 Meter)",BlueRigger,0,0,0,439,4.4,"37,289",45,"Sunday, February 20",1,"37,289"
10,B01D5H93FW,"AmazonBasics 3-Feet High-Speed HDMI 2.0 Cable, Pack of 3",AmazonBasics,1,0,0,679,4.2,"4,640",43,"Wednesday, February 16",1,"4,640"
11,B01HQ2H2XM,"CableCreation Ultra Thin HDMI Male to Male, 3.3ft HDMI 4K High-Speed Ultra Slim Low Profile Cable, Support 3D, 4K@60Hz, Audio Return (Last Standard) Compatible with PS4, X-Box etc, Braided, 1M",CableCreation,1,0,0,649,4.5,"1,062",35,"Sunday, February 20",1,"1,062"
12,B01NCKAR6H,"Belkin High Speed HDMI Cable Supports Ethernet, 3D, 4K, 1080p, Audio Return (1 Meter, Black)",Belkin,0,0,0,369,4.4,"4,342",38,"Tuesday, February 15",1,"4,342"
13,B01MECSWM2,"Tizum Aura Gold Plated 1.5M HD 1080P HDMI Cable High Speed Data 10.2Gbps, 3D, 4K, 5 Ft",Tizum,0,0,0,228,4.2,"2,542",67,"Wednesday, February 16",1,"2,542"
