,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,Dettol Liquid Handwash Dispenser Bottle Pump - Original Germ Protection Hand Wash (Pack of 3 - 200ml each) | Antibacterial Formula | 10x Better Germ Protection,1,0,0,213,4.4,"2,158",10,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0773028210MT8UJNPLJV&url=%2FDettol-Original-Liquid-Hand-Wash%2Fdp%2FB07ZZ5PB5N%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DHand%2Bsoap%26qid%3D1643265253%26sr%3D8-1-spons%26psc%3D1&qualifier=1643265253&id=8814401752424191&widgetName=sp_atf
1,Dettol Liquid Hand wash Refill Original -1500 ml,1,0,1,188,4.5,"57,165",10,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A090922226X8JCA686TQH&url=%2FDettol-Liquid-Refill-Original-1500%2Fdp%2FB01LNA2MQK%2Fref%3Dice_ac_b_dpb_sspa%3Fkeywords%3DHand%2Bsoap%26qid%3D1643265253%26rdc%3D1%26sr%3D8-2-spons%26psc%3D1&qualifier=1643265253&id=8814401752424191&widgetName=sp_atf
2,Dettol Liquid Handwash Dispenser Bottle Pump -  Skincare Moisturizing Hand Wash (Pack of 3 - 200 ml each) | Antibacterial Formula | 10x Better Germ Protection,1,0,0,213,4.3,"1,598",10,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0350014QW4ZV1K03VRX&url=%2FDettol-Handwash-Dispenser-Skincare-Moisturizing%2Fdp%2FB08YSKWH8H%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DHand%2Bsoap%26qid%3D1643265253%26sr%3D8-3-spons%26psc%3D1&qualifier=1643265253&id=8814401752424191&widgetName=sp_atf
3,"Palmolive Hydrating Foaming Hand Wash, Lime and Mint - 250ml Pump With Hydrating Foaming Hand Wash, Lime And Mint - 500ml (Refill Pack)",1,0,0,320,4.5,"2,203",₹128/100 m,"Saturday, January 29",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0607880W9GRFPW968D7&url=%2FPalmolive-Foaming-Hand-Wash-Refill%2Fdp%2FB07BHHCLT8%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DHand%2Bsoap%26qid%3D1643265253%26sr%3D8-4-spons%26psc%3D1&qualifier=1643265253&id=8814401752424191&widgetName=sp_atf
4,"Dettol Liquid Handwash Refill - Skincare Moisturizing Hand Wash, 1500 ml (Price offer) | Antibacterial Formula | 10x Better Germ Protection",0,0,0,178,4.5,"25,885",15,"Saturday, January 29",1,https://www.amazon.in/Dettol-pH-Balanced-Skincare-Liquid-Handwash/dp/B07M9XYH9K/ref=sr_1_5?keywords=Hand+soap&qid=1643265253&rdc=1&sr=8-5
5,Dettol Liquid Hand wash Refill Original -1500 ml,0,0,1,188,4.5,"57,165",10,"Saturday, January 29",1,https://www.amazon.in/Dettol-Liquid-Refill-Original-1500/dp/B01LNA2MQK/ref=ice_ac_b_dpb?keywords=Hand+soap&qid=1643265253&rdc=1&sr=8-6
6,Godrej Protekt Germ Fighter Handwash Refill Pack | Aqua - Germ Protection | 1.5 L,0,0,0,169,4.4,"10,994",12,"Saturday, January 29",1,https://www.amazon.in/Godrej-Protekt-Masterblaster-Handwash-Refill/dp/B07J6WFP5J/ref=sr_1_7?keywords=Hand+soap&qid=1643265253&sr=8-7
7,"Lifebuoy Total 10 Germ Protection Liquid Hand Wash 1.5 L Refill Pack, Kills 99.9% Germs, Liquid Hand Soap Fights Bacteria and Viruses",0,0,0,179,4.5,"24,879",10,"Saturday, January 29",1,https://www.amazon.in/Lifebuoy-Total-10-Handwash-Refill/dp/B07FLWFLL5/ref=sr_1_8?keywords=Hand+soap&qid=1643265253&sr=8-8
8,Dettol Liquid Handwash Dispenser Bottle Pump - Original Germ Protection Hand Wash (Pack of 3 - 200ml each) | Antibacterial Formula | 10x Better Germ Protection,0,0,0,213,4.4,"2,158",10,"Saturday, January 29",1,https://www.amazon.in/Dettol-Original-Liquid-Hand-Wash/dp/B07ZZ5PB5N/ref=sr_1_9?keywords=Hand+soap&qid=1643265253&sr=8-9
9,"Palmolive Hydrating Foaming Hand Wash, Raspberry - 250 ml Pump with Palmolive Hydrating Foaming Hand Wash, Lime & Mint - 250ml Pump",0,0,0,280,4.4,"2,489",₹56/100 m,"Saturday, January 29",1,https://www.amazon.in/Palmolive-Foaming-Hand-Wash-Raspberry/dp/B07BHHLK1K/ref=sr_1_10?keywords=Hand+soap&qid=1643265253&sr=8-10
10,Dettol Liquid Handwash Dispenser Bottle Pump -  Skincare Moisturizing Hand Wash (Pack of 3 - 200 ml each) | Antibacterial Formula | 10x Better Germ Protection,0,0,0,213,4.3,"1,598",10,"Saturday, January 29",1,https://www.amazon.in/Dettol-Handwash-Dispenser-Skincare-Moisturizing/dp/B08YSKWH8H/ref=sr_1_11?keywords=Hand+soap&qid=1643265253&sr=8-11
11,Godrej Protekt Germ Fighter Handwash Refill | Lime & Eucalyptus - Germ Protection | 1.5 L,0,0,0,169,4.5,"8,338",15,"Sunday, January 30",1,https://www.amazon.in/Godrej-Protekt-Masterchefs-Protection-Handwash/dp/B07YSXKB2G/ref=sr_1_12?keywords=Hand+soap&qid=1643265253&smid=AT95IG9ONZD7S&sr=8-12
12,SANTOOR Classic Handwash- 400ml ( pack of 2 ),0,0,0,99,4.2,"3,244",₹49.50/coun,"Monday, January 31",1,https://www.amazon.in/Santoor-Hand-Wash-Classic-215ml/dp/B07H61LWKD/ref=sr_1_13?keywords=Hand+soap&qid=1643265253&sr=8-13
13,"Dettol Original Germ Protection Handwash Liquid Soap Pump, 200ml",0,0,0,0,4.5,"3,569",0,,0,https://www.amazon.in/Dettol-Original-Liquid-Hand-Wash/dp/B01LWX9JT1/ref=sr_1_14?keywords=Hand+soap&qid=1643265253&sr=8-14
14,"Santoor Classic Gentle Hand Wash, 1500ml with Natural goodness of Sandalwood & Tulsi",0,0,0,133,4.4,"7,374",33,"Tuesday, February 1",1,https://www.amazon.in/Santoor-Classic-Natural-goodness-Sandalwood/dp/B083WLDBWW/ref=sr_1_15?keywords=Hand+soap&qid=1643265253&sr=8-15
15,Skin Cottage Hand Soap Lemon Extract 500 ml,0,0,0,180,3.9,67,20,"Saturday, February 5",1,https://www.amazon.in/Skin-Cottage-Hand-Lemon-Extract/dp/B00NRRV2ZA/ref=sr_1_16?keywords=Hand+soap&qid=1643265253&sr=8-16
16,"Dove Moisturising Liquid Hand Wash 900 ml Refill, Gentle Cleanser for Soft Hands, Liquid Hand Soap Suitable for Sensitive Skin -Super Saver Offer Pack",0,0,0,186,4.5,"2,319",25,"Monday, January 31",1,https://www.amazon.in/Dove-Nourishing-Liquid-Hand-Wash/dp/B08KV5MZ56/ref=sr_1_17?keywords=Hand+soap&qid=1643265253&sr=8-17
17,"Savlon Moisture Shield Germ Protection Liquid Handwash Refill Pouch, 750ml",0,0,0,95,4.4,"4,104",4,"Saturday, January 29",1,https://www.amazon.in/Savlon-Moisture-Shield-Handwash-775/dp/B07BXMSS61/ref=sr_1_18?keywords=Hand+soap&qid=1643265253&sr=8-18
18,Skin Cottage Hand Soap Fruity Essence 500 ml,0,0,0,180,4.3,47,20,"Saturday, February 5",1,https://www.amazon.in/Skin-Cottage-Hand-Fruity-Essence/dp/B00NRS0H2I/ref=sr_1_19?keywords=Hand+soap&qid=1643265253&sr=8-19
19,Skin Cottage Hand Soap Lavender & Chamomile 500 ml,0,0,0,180,4.3,87,20,"Saturday, February 5",1,https://www.amazon.in/Skin-Cottage-Hand-Lavender-Chamomile/dp/B00NRSEIVO/ref=sr_1_20?keywords=Hand+soap&qid=1643265253&sr=8-20
20,Skin Cottage Hand Soap Lavender & Chamomile 500 ml,1,0,0,180,4.3,87,20,"Saturday, February 5",1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05066312EL6AEHOMZOFI&url=%2FSkin-Cottage-Hand-Lavender-Chamomile%2Fdp%2FB00NRSEIVO%2Fref%3Dsr_1_21_sspa%3Fkeywords%3DHand%2Bsoap%26qid%3D1643265253%26sr%3D8-21-spons%26psc%3D1&qualifier=1643265253&id=8814401752424191&widgetName=sp_mtf
