,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09QQKZMWK,Men's Polyester Solid Front Open Hoody Jacket For Winter,JAGURO,1,0,0,824,0,0,75,,0,"₹824
₹3,299 Save ₹2,475 (75%)"
1,B099X2MP7L,Men's A-Line Coat,Van Heusen Sport,1,0,0,"2,249",3.7,230,10,,1,230
2,B09QQNQZ2K,Men's Polyester Solid Sleeveless Bomber Jacket For Winter,JAGURO,1,0,0,949,0,0,75,,0,"₹949
₹3,799 Save ₹2,850 (75%)"
3,B09RMTTJSY,Men’s Full Sleeve Cotton Fleece Bomber Jackets with Sleeve Pocket,fanideaz,1,0,0,999,0,0,71,,1,"₹999
₹3,499 Save ₹2,500 (71%)"
4,B08BGBWC13,Men's Jacket,Cazibe,0,0,0,"1,169",4.0,254,66,,1,254
5,B07V3D5YB7,Women's Jacket,Amazon Brand - Symbol,0,0,0,623,4.1,"1,172",84,,1,"1,172"
6,B096QFCTFR,Full Sleeve Men Denim Jacket,MONTREZ,0,1,0,699,3.8,964,72,,0,964
7,B098SRVC74,Full Sleeve Solid Men's Sleeve Combination Bomper Jacket,VROJASS,0,0,0,644,3.7,941,64,,1,941
8,B07H5FX5Q1,Men's Jacket,Allen Solly,0,0,0,"1,343",3.9,"2,164",52,,1,"2,164"
9,B07HMT3TWF,Men's Quilted Bomber Jacket,Ben Martin,0,0,0,899,3.4,"4,343",74,,1,"4,343"
10,B073CQH81G,Men's Jacket,Qube By Fort Collins,0,0,0,699,4.0,"3,895",65,,1,"3,895"
11,B08PFYZRNL,Men's Regular Fit Washed Full Sleeve Denim Jacket,Urbano Fashion,0,0,0,999,3.7,730,58,,1,730
12,B084HDZTJW,Full Sleeve Blue Solid Women's Denim Jacket,FUNDAY FASHION,0,1,0,339,3.7,"3,072",77,,1,"3,072"
13,B09B75C7TD,Men's Solid Regular Jacket,CHKOKKO,0,0,0,499,4.0,448,70,,1,448
14,B07FQCS9ZG,Denim with Grey Hood Front Pocket Button Closure Jacket,Campus Sutra,0,0,0,779,3.5,497,70,,1,497
15,B07SK8DNRM,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,859,4.0,604,63,,1,604
16,B09PF6NL92,Men's Slim Fit Jacket,MONTREZ,0,0,0,699,3.6,26,72,,0,26
17,B07H5FRHLB,Men's Jacket,Allen Solly,0,0,0,"1,199",3.8,"4,856",52,,1,"4,856"
18,B09NHSGDVV,Full Sleeve Men Denim Jacket,MONTREZ,0,0,0,699,3.0,56,72,,0,56
19,B073CQ8LQB,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,929,4.0,"2,256",61,,1,"2,256"
20,B09GXMDBW7,"Men Fade Jacket ,Black",Puma,1,0,0,"2,399",0,0,60,,1,"₹2,399
₹5,999 Save ₹3,600 (60%)"
21,B08DG7R4DS,Men's Zip Through,Amazon Brand - Inkast Denim Co.,1,0,0,"1,289",3.9,362,68,,1,362
22,B08F7X3BX4,Men's / Boy's Running Printed Full Zipper Jacket Grey,Triumph,1,0,0,"1,999",5.0,2,20,,1,2
23,B07MJPTX1F,Men's Jacket,Puma,1,0,0,"2,599",4.2,62,35,,1,62
24,B073CP168W,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,769,3.9,714,65,,1,714
25,B09RM6QF71,Men’s Full Sleeve Cotton Fleece Bomber Jackets with Sleeve Pocket,fanideaz,0,0,0,999,0,0,71,,1,"₹999
₹3,499 Save ₹2,500 (71%)"
26,B07H5G59KR,Men's Jacket,Allen Solly,0,0,0,"1,199",3.8,"1,522",60,,1,"1,522"
27,B09PVG42VR,Mens jacket design denim shirt.,dockstreet,0,0,0,698,2.5,21,46,,1,21
28,B082VFJKXY,Men's Solid Wind Cheater Jacket,Scott International,0,0,0,519,3.4,"2,432",79,,1,"2,432"
29,B08L4K4VRP,Men's Solid Regular Jacket,SHAUN,0,0,0,399,3.3,137,73,,1,137
30,B08PNTRXQR,Men's Cotton Jacket,Veirdo,0,0,0,599,3.7,"1,042",70,,1,"1,042"
31,B073CRF4GM,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,919,4.0,"3,003",58,,1,"3,003"
32,B07SK2STCC,Men's Jacket,Qube By Fort Collins,0,0,0,749,4.0,"1,238",69,,1,"1,238"
33,B09K3VZ4Y4,"Tokyo Revengers Anime Embroidered Tokyo Manji Bomber Jacket, with Free Tokyo Revengers Anime Face Mask",ComicSense.xyz,0,0,0,"1,799",4.4,45,40,,0,45
34,B08P1G8F1V,AWG Men's Cotton Regular Fit Solid Varsity Jacket - Black,AWG ALL WEATHER GEAR,0,0,0,599,3.6,734,80,,1,734
35,B09MZ78SFQ,Stardust Mens Jacket,Duke,0,0,0,"1,300",4.5,9,50,,0,9
36,B09H4T7GBY,Men's Full Sleeve Regular Fit Nylon Casual Jacket,Ben Martin,0,0,0,799,3.6,172,80,,1,172
37,B09JC7KDJ3,Solid Women Regular Denim Jacket,DIMPY GARMENTS,0,0,0,385,3.7,136,74,,0,136
38,B08G8NP7C8,Boys' Regular Fit Jacket,Chromozome,0,0,0,379,3.7,596,48,,0,596
39,B07FBM24D5,Women's Parka Hoodie,Qube By Fort Collins,0,0,0,"1,079",4.1,"1,377",53,,1,"1,377"
40,B07HRVZTG6,Men's Solid Wind Cheater Jacket,Scott International,0,0,0,519,3.5,"2,699",79,,1,"2,699"
41,B07CW2YQW5,Mens Solid Biker Jacket,Leather Retail,0,0,0,"2,199",3.7,"1,182",45,,1,"1,182"
42,B07SJ5XHW2,Men's Jacket,Qube By Fort Collins,0,0,0,749,4.1,853,69,,1,853
43,B0846NJ6JR,"Black Full Sleeve Solid Jacket for Women Stylish Winter Wear Round Neck Jacket for Women & Girls, Zip Closer",DARZI,0,0,0,499,3.8,122,67,,1,122
44,B07HRTWJDQ,"Women's Lightweight Wind Cheater Jacket (AW18-IDRY-LJKT-BL, Black)",Scott International,0,0,0,549,3.5,530,78,,1,530
45,B09BBKG2C8,"Rain Coats for Men, Rain Suit for Outdoor Camping Travel, Raincoat for Women, rain Jackets for Men",ZIYA FASHION,0,0,0,360,3.0,7,80,,1,7
46,B08T6NXLVG,Women Solid Cotton Jacket Full Sleeve for Girls,DNEXT,0,0,0,370,3.8,"1,410",75,,1,"1,410"
47,B01LTCAZ8Y,Men's Jacket,Qube By Fort Collins,0,0,0,719,4.0,"1,068",64,,1,"1,068"
48,B07FBNLZTG,Men's Quilted Jacket,Qube By Fort Collins,0,0,0,799,3.5,80,67,,1,80
49,B07SXN1L66,Men's Jacket,Cazibe,0,0,0,949,3.8,59,69,,1,59
50,B09HC3GVJ3,Mens Solid Designer Faux Leather Jacket Black,Leather Retail,0,0,0,"1,699",3.6,"1,346",43,,1,"1,346"
51,B07SG445Z5,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,989,4.0,987,61,,1,987
52,B09MM785ZG,Men's Bomber Jacket,Duke,0,0,0,"1,300",3.9,14,50,,0,14
53,B07ZKT135T,Women's Self Design Solid Jacket,FUNDAY FASHION,0,0,0,299,3.9,"4,215",80,,0,"4,215"
54,B07MJX7DLH,Denim Full Sleeves Comfort Fit Regular Collar Blue Jacket for Women,MONTREZ,0,0,0,386,3.9,521,74,,0,521
55,B07X9TS7Q2,"Men's Casual Shine Leather Solid Jacket (Brown, L)",nida,0,0,0,520,3.0,7,74,,0,7
56,B01GTNZC0O,Men's Plain / Solid Regular Jacket,HIVER,1,0,0,"5,799",3.6,22,36,,1,22
57,B0925H4KQN,Men's Regular Jacket,U.S. POLO ASSN.,1,0,0,"3,350",4.0,33,47,,1,33
58,B08F7XG7HZ,Men's & Boy's Running / GYM / Workout Jacket Grey,Triumph,1,0,0,"1,999",0,0,20,,1,"₹1,999
₹2,500 Save ₹501 (20%)"
59,B08LYQ41SX,Men's Lightweight Jacket,Amazon Brand - Inkast Denim Co.,1,0,0,769,4.0,689,74,,1,689
60,B07H5G59KR,Men's Jacket,Allen Solly,1,0,0,"1,199",3.8,"1,522",60,,1,"1,522"
61,B099X7NN8C,Men's A-Line Coat,Van Heusen Sport,1,0,0,"1,540",3.7,230,38,,1,230
62,B07H5FX5Q1,Men's Jacket,Allen Solly,1,0,0,"1,343",3.9,"2,164",52,,1,"2,164"
63,B07H5FRHLB,Men's Jacket,Allen Solly,1,0,0,"1,199",3.8,"4,856",52,,1,"4,856"
64,B07TCJTTBT,Men's Cotton Trucker Jacket,Amazon Brand - Inkast Denim Co.,0,0,0,"1,009",3.7,823,75,,1,823
65,B08FTNFQTQ,Women's Jacket,Qube By Fort Collins,0,0,0,"1,169",3.9,334,55,,1,334
66,B07WKB6HBL,Women's Bomber Jacket,Qube By Fort Collins,0,0,0,"1,369",4.1,671,53,,1,671
67,B09NJFJN47,Sky Blue Full Sleeve Solid Denim Jacket,KOTTY,0,0,0,650,1.7,3,78,,1,3
68,B09NJFDT1C,Dark Blue Full Sleeve Solid Denim Jacket,KOTTY,0,0,0,650,5.0,1,78,,1,1
69,B07FMZZKT5,Men's Blended Bandhgala Festive Nehru Jacket/Waistcoat and Size Options (Up to2XL),hangup,0,0,0,"1,159",3.9,439,71,,1,439
70,B08LYMJM8Q,Men's Lightweight Jacket,Amazon Brand - Inkast Denim Co.,0,0,0,749,4.0,689,77,,1,689
71,B07P9136MB,Women's Solid Regular Jacket,FUNDAY FASHION,0,0,0,339,3.8,"2,626",77,,0,"2,626"
72,B07FBLKYPQ,Men's Jacket,Qube By Fort Collins,0,0,0,959,3.8,709,60,,1,709
73,B08XQFJV34,Full Sleeve Self Design Women Quilted Jacket,MONTREZ,0,0,0,299,3.7,233,80,,0,233
74,B07B98B74K,Ethnic Jacket for Women Waist Coat Stylish Cotton Handmade Navratri Traditional Rajasthani Embroidered Mirror Work Gujrati Kutchi Koti for Girls - Multicolor - Bust Size 34-36 Inches,Craft Trade,0,0,0,669,3.6,421,33,,1,421
75,B07FBXZ5YG,Men's Bomber Jacket,Qube By Fort Collins,0,0,0,679,3.8,966,70,,1,966
76,B09CV6YZMV,Women's Parka Coat,Qube By Fort Collins,0,0,0,"1,179",3.0,2,53,,1,2
77,B018Z91H8Q,Men's Solid Regular Jacket,Scott International,0,0,0,599,3.7,151,80,,1,151
78,B09G3M1B4K,Men Solid Puffer Jacket Jerkin,TrapNation,0,0,0,999,3.5,453,70,,1,453
79,B073CR9SN2,Men's Jacket,Qube By Fort Collins,0,0,0,709,4.0,"2,670",65,,1,"2,670"
80,B085244MQ5,Men's Designer Sublimated Jacket Blue,Triumph,1,0,0,"1,999",3.2,35,20,,1,35
81,B07VGB9XNN,Men's Jacket,Puma,1,0,0,"2,149",5.0,1,50,,1,1
82,B07X9T5BZK,Men's Sweats/Crews,Puma,1,0,0,"2,399",3.9,64,60,,1,64
83,B094RHZ53S,Men's Duster Coat,Reebok,1,0,0,"4,029",0,0,42,,1,"₹4,029
₹6,999 Save ₹2,970 (42%)"
84,B07SFHWKBF,Men's Quilted Jacket,Qube By Fort Collins,0,0,0,839,4.0,611,64,,1,611
85,B074NW2Q3L,Men's Solid Regular Jacket,Ico Blue Stor,0,0,0,899,4.0,"2,392",73,,1,"2,392"
86,B07TWSDB37,Men's Striped Regular Jacket,Maniac,0,0,0,348,3.8,72,81,,0,72
87,B09RTLDRSY,Men's Cotton Solid Regular Casual Half Sleeve Black Jacket,Men's,0,0,0,299,0,0,70,,0,M2VYA
88,B08HZD1KWG,Men's Sleeveless Zippered Puffer Jacket,Urbano Fashion,0,0,0,949,3.7,27,60,,1,27
89,B08SQ7X8P6,BuyNewTrend Raw Edge Dark Blue Denim Jacket For Women,DIMPY GARMENTS,0,0,0,449,3.5,35,70,,0,35
90,B09PVBX7J5,Mens strechable jacket and jacket styled designer denim shirt.,dockstreet,0,0,0,789,3.0,2,39,,1,2
91,B08BJQ41HW,Women's Quilted,Cazibe,0,0,0,"1,169",4.1,295,66,,1,295
92,B095HZV8BB,Men's Half Zip,Amazon Brand - Inkast Denim Co.,0,0,0,732,3.7,372,82,,1,372
93,B09HL1RRYR,Sports Jacket for Women | Track Jackets for Women | Quick-Dry Technology | Light Weight |,Forest Club,0,0,0,799,3.7,33,50,,1,33
94,B08P4VXT2Z,Cotton Hooded Regular Fit Jacket for Women (JB_W33_MRNNAVY_P_Maroon_P),JUNEBERRY,0,0,0,499,3.6,91,75,,1,91
95,B08JYXF3YJ,Full Sleeve Solid Women Denim Jacket (Pack Of 2),MONTREZ,0,0,0,599,3.9,401,70,,0,401
96,B08R61WYW1,Men Denim Full Sleeve Regular Winter Jacket,KOTTY,0,0,0,629,3.7,33,79,,1,33
97,B07SH1F739,Men's Jacket,Qube By Fort Collins,0,0,0,689,4.0,729,69,,1,729
98,B08GJ4JP64,Full Sleeve Solid Women Jacket,MONTREZ,0,0,0,399,3.9,"2,321",73,,0,"2,321"
99,B09MZ77YMZ,Stardust Mens Jacket,Duke,0,0,0,"1,300",4.2,18,50,,1,18
100,B07J3HLR3P,Men Hooded Sports Jacket,Campus Sutra,0,0,0,875,3.9,561,56,,1,561
101,B08T1Y7TX5,Men Denim Jacket,Avadat,0,0,0,"1,399",3.7,165,30,,1,165
102,B07FBN1SY4,Women's Bomber Jacket,Qube By Fort Collins,0,0,0,"1,039",4.1,912,55,,1,912
103,B08MQFJ3GY,Men's Solid Jacket,FUGAZEE,0,0,0,"2,249",3.7,53,25,,1,53
104,B09922GYKX,Men's Faux Leather Motorcycle Fashion Biker Style,Leather Retail,0,0,0,"1,899",3.7,58,53,,1,58
105,B09M9S8BX7,Men's Full Sleeve Jacket,Scott International,0,0,0,549,3.0,73,82,,1,73
106,B09H4SW3KF,Men's Full Sleeve Regular Fit Denim Jacket,Ben Martin,0,0,0,699,3.5,15,83,,1,15
107,B08C31WN3C,Men's Blouson Jacket,Qube By Fort Collins,0,0,0,519,3.5,42,80,,1,42
108,B09D4THSJP,Men's Denim Jacket,VOXATI,0,0,0,999,3.7,82,62,,1,82
109,B07SK2K1N1,Women's Parka Jacket,Qube By Fort Collins,0,0,0,"1,129",4.1,"1,594",53,,1,"1,594"
110,B09PV6DVC8,Fleece Full Sleeves Melange Jacket for Men,FITINC,0,0,0,499,4.0,1,75,,1,1
111,B07SDG8R8D,Men's Jacket,Qube By Fort Collins,0,0,0,989,3.8,826,61,,1,826
112,B09NL4G4PK,Men's Regular Fit Washed Full Sleeve Denim Jacket,Urbano Fashion,0,0,0,999,3.5,2,58,,1,2
113,B08PKF81GG,Women Sea Green & Yellow Colourblocked Corduroy Bomber Jacket,THE DRY STATE,0,0,0,799,3.9,30,73,,1,30
114,B07WDWZM33,Women's Jacket,Qube By Fort Collins,0,0,0,999,4.1,653,52,,1,653
115,B01H6FA66E,Men's Activewear Jacket,Fort Collins,0,0,0,599,3.9,966,51,,1,966
116,B08F9WNDZV,Men's Slim,Reebok,1,0,0,"1,899",3.6,11,46,,1,11
117,B08F9KWB52,Men's Fitted,Reebok,1,0,0,"5,764",3.9,4,36,,1,4
118,B07MD8TPC4,Men's Nylon Xtreme2.0 Jacket Water Proof Full-Sleeved Winter Jacket with Hood for Minus Degree Upto -10 Degree Trekking Jacket,HIVER,1,0,0,"7,990",3.7,39,27,,1,39
119,B07T9GHB8C,Men's Half Zip,Amazon Brand - Inkast Denim Co.,1,0,0,"1,089",3.7,372,73,,1,372
120,B07H5G9CKJ,Men's Jacket,Allen Solly,1,0,0,"1,438",3.8,"1,522",52,,1,"1,522"
121,B099X65WN8,Men's A-Line Coat,Van Heusen Sport,1,0,0,"2,342",3.7,230,6,,1,230
122,B07H5TD1P6,Men's Jacket,Allen Solly,1,0,0,"1,199",3.8,"4,856",52,,1,"4,856"
123,B07H5FRLZB,Men's Jacket,Allen Solly,1,0,0,"1,343",3.9,"2,164",52,,1,"2,164"
124,B01H6FA66E,Men's Activewear Jacket,Fort Collins,0,0,0,599,3.9,966,51,,1,966
