,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B0872PNL6D,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,482,3.8,"2,079",76,,0,"2,079"
1,B07TFKNCFT,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,569,3.7,"2,777",70,,1,"2,777"
2,B09DG6G7WH,"Men 100% Cotton, Stretchable Jeans, Light Weight Jeans | Premium Cotton Blend Denim.",Cobb,1,0,0,499,3.7,46,82,,1,46
3,B097C4WMNW,Men's Slim Jeans,Neostreak,1,0,0,559,3.7,27,67,,1,27
4,B019XSHCG4,Men's Relaxed Jeans,Ben Martin,0,1,0,698,3.7,"3,823",72,,1,"3,823"
5,B07HZQ4RW6,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,859,3.7,"1,346",73,,1,"1,346"
6,B085J79SJC,Men's Relaxed Jeans,Amazon Brand - Symbol,0,0,0,639,3.8,"1,121",66,,1,"1,121"
7,B09F6L3W6N,Men's Skinny Jeans,Spykar,0,0,0,"1,151",3.3,12,62,,1,12
8,B084K8TX4Q,Men's Slim Jeans,Pepe Jeans,0,0,0,"1,478",0,0,51,,1,"₹1,478
₹2,999 Save ₹1,521 (51%)"
9,B07DFPCD93,Men's Slim Fit Black Stretch Jeans,Urbano Fashion,0,0,0,599,3.7,"3,649",54,,1,"3,649"
10,B07CWT3MFK,Men's Slim Fit Denim Jeans,Ben Martin,0,0,0,698,3.6,"2,250",72,,1,"2,250"
11,B09QKX4MQQ,UP Men's Denim Blend Solid Slim Jeans for Men,UP Online Store,0,0,0,499,5.0,3,38,,1,3
12,B09F6KZK1Y,Men's Skinny Jeans,Spykar,0,0,0,"1,180",3.9,4,61,,1,4
13,B085FS8ZLL,Men Cut and Sew Denim Jeans,Campus Sutra,0,0,0,719,3.3,"1,270",58,,1,"1,270"
14,B07SBZ7H6H,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,0,0,0,781,3.5,"1,195",48,,1,"1,195"
15,B098L97BWD,Men's Regular Fit Jeans,Ben Martin,0,0,0,499,3.5,99,83,,1,99
16,B06Y6MHSVR,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,649,3.6,"3,888",74,,1,"3,888"
17,B09C2G7CSZ,Men's Light Blue Slim Fit Washed Jeans Stretchable,Urbano Fashion,0,0,0,629,3.5,"1,026",58,,1,"1,026"
18,B085J7MM17,Men's Slim Fit Jeans,Amazon Brand - Symbol,0,0,0,669,3.8,"1,150",71,,0,"1,150"
19,B079HXQ6VN,Men's Stretch Carrot Fit Jeans,Amazon Brand - Symbol,0,0,0,489,3.8,435,77,,0,435
20,B07YPQ3GLF,Men's Regular Fit Jeans,Police Jeans,1,0,0,636,3.6,"1,498",73,,1,"1,498"
21,B07VGGJWCH,Men's Slim Jeans,Deniklo,1,0,0,605,4.0,222,77,,1,222
22,B07QHST1N3,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,579,3.8,"3,207",64,,1,"3,207"
23,B085J7MM17,Men's Slim Fit Jeans,Amazon Brand - Symbol,1,0,0,669,3.8,"1,150",71,,0,"1,150"
24,B09BVWWVB1,Men's Regular Jeans,Levi's,0,0,0,"1,549",4.3,54,47,,1,54
25,B07HZR4V3G,Men's Stretch Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,769,3.7,457,73,,1,457
26,B07HZN78T8,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,769,3.6,232,73,,1,232
27,B07QBJ7BVW,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,515,3.8,"3,207",68,,1,"3,207"
28,B07DMZ9J72,Men's Slim Fit Denim,Ben Martin,0,0,0,698,3.6,"3,268",77,,1,"3,268"
29,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.5,"1,775",55,,1,"1,775"
30,B09BVX3Q3Q,Men's Regular Jeans (36087-0487_Blue_30),Levi's,0,0,0,"1,259",3.6,7,55,,1,7
31,B082MFGVH1,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,509,3.7,520,73,,1,520
32,B09BVW2LNQ,Men's Slim Jeans,Levi's,0,0,0,"1,439",4.1,304,45,,1,304
33,B09LCT6683,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,709,2.6,8,65,,1,8
34,B091734BWL,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,4.0,98,66,,1,98
35,B07VCG3TG7,Men's Light Blue Slim Fit Denim Jeans Stretchable,Urbano Fashion,0,0,0,649,3.5,584,57,,1,584
36,B08L2636YZ,Women's Loose Fit Jeans,KOTTY,0,0,0,639,3.8,466,68,,1,466
37,B085J74QM8,Men's Skinny Jeans,Amazon Brand - Symbol,0,0,0,669,3.7,926,44,,0,926
38,B08XMRC418,by Shoppers Stop Solid Cotton Rich Regular Fit Boys Jeans (S21711BJNS-P),LIFE,0,1,0,240,4.0,231,70,,0,231
39,B089FNZYG7,Womens High Rise Cotton Lycra Skinny Jeans,KOTTY,0,0,0,674,3.3,105,66,,1,105
40,B07XKSP8DW,Men's Slim Fit Apparel,Neostreak,0,0,0,433,3.2,10,80,,0,10
41,B0989MY5DT,Boy's Jogger Relaxed Jeans,Amazon Brand - Jam & Honey,0,0,0,550,3.6,6,72,,1,6
42,B08NTDTWDS,Women's High Rise Jeans,KOTTY,0,0,0,639,3.8,544,68,,1,544
43,B07W8MK8H2,Women's Regular Jeans,AKA CHIC,0,0,0,849,4.2,603,65,,1,603
44,B07TCJ7NDQ,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,569,3.7,"2,777",70,,1,"2,777"
45,B07L962M8L,Women's Black Skinny Fit High Rise Clean Look Regular Length Clean Look Stretchable Denim Jeans,Miss Chase,0,0,0,836,3.8,908,57,,1,908
46,B0867CKH2Z,Men's Brown Regular Fit Denim Jeans Stretchable,Urbano Plus,0,0,0,759,4.0,673,55,,1,673
47,B07RJQ2RY2,Men's Stretch Skinny Stretchable Jeans (IN-SK-164_Grey_32_Grey_32),Amazon Brand - Inkast Denim Co.,0,0,0,809,3.7,97,68,,1,97
48,B0979DR1HJ,Men's Regular Jeans,Spykar,0,0,0,"1,150",3.7,18,62,,1,18
49,B09MV2LYC2,Stylish Fashionable Women High Waist Regular wear Denim Jeans - Black,HOVAC,0,0,0,499,3.7,55,75,,1,55
50,B085RH5L7J,Boy's Slim Fit Jeans,Urbano Juniors,0,0,0,499,4.0,342,55,,1,342
51,B07V48LH4R,Women's Black Skinny Fringed Detailing High Rise Clean Look Solid Cropped Stretchable Denim Jeans,Miss Chase,0,0,0,849,3.8,535,63,,1,535
52,B074RMN99F,Men's Slim Fit Jogger Jeans Stretch,Urbano Fashion,0,0,0,725,3.7,"3,986",52,,1,"3,986"
53,B082MFGVGN,Men's Skinny Jeans,Amazon Brand - Symbol,0,0,0,729,3.6,"1,487",71,,1,"1,487"
54,B01F15NCWG,Women's Jeans,NIFTY,0,1,0,499,3.9,"4,409",58,,1,"4,409"
55,B09C6GTB2P,Men's Skinny Jeans,Spykar,0,0,0,"1,113",3.1,18,59,,1,18
56,B085J78HN2,Men's Relaxed Jeans,Amazon Brand - Symbol,1,0,0,599,3.8,"1,121",63,,1,"1,121"
57,B09CH285RK,Mens Skinny Fit Stretchable Jeans,Amazon Brand - House & Shields,1,0,0,619,4.7,5,66,,1,5
58,B07HZFQHT9,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,1,0,0,839,3.7,"1,346",74,,1,"1,346"
59,B07RMHKXNW,Men's Regular Fit Jeans,Wearo,1,0,0,999,3.8,"1,017",33,,1,"1,017"
60,B0872PW7QT,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,559,3.8,"2,079",72,,1,"2,079"
61,B09DLD3ZLV,Men's Regular Fit Jeans,Police Jeans,1,0,0,636,3.6,"1,498",73,,1,"1,498"
62,B07V9N5D7N,Men's Slim Jeans,Deniklo,1,0,0,728,4.0,222,72,,1,222
63,B085J6LRY3,Men's Skinny Jeans,Amazon Brand - Symbol,1,0,0,699,3.7,926,56,,1,926
64,B08HQHJ1YP,Women's Boot Cut Regular Jeans,VERO MODA,0,0,0,999,4.0,29,60,,1,29
65,B08V6VXXQH,Women's Joggers,dockstreet,0,0,0,398,3.2,"1,699",72,,1,"1,699"
66,B08QWW1TQ9,Men's Carrot Slim Jeans,EASYBUY,0,0,0,449,3.5,24,0,,0,24
67,B07W488M9K,Women's Skinny Jeans,AKA CHIC,0,0,0,"1,069",3.9,739,60,,1,739
68,B01LZK86D7,Men's (Millard) Regular Fit Stretchable Jeans,Wrangler,0,0,0,"1,291",3.6,37,52,,1,37
69,B094VX73YV,Men's Slim Jeans,NEWPORT,0,0,0,525,3.8,785,69,,1,785
70,B094P1JH99,Joggers for Women Stylish,DNEXT,0,0,0,299,3.4,189,81,,1,189
71,B01M2WWJ5W,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,698,3.5,205,72,,1,205
72,B07QHSZYFN,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,550,3.9,"1,931",66,,1,"1,931"
73,B08XMPF5C1,by Shoppers Solid Cotton Rich Regular Fit Boys Jeans (S21710BJNS-P),STOP,0,0,0,210,3.9,123,70,,0,123
