Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,B085J7164M,Men's Relaxed Jeans,Amazon Brand - Symbol,0,0,0,689,3.8,"1,138",64,,1,"1,138",https://m.media-amazon.com/images/I/81ASupqCFBL._AC_UL320_.jpg,Jean,Men's Relaxed Jeans,SKU: B085J7164M
1,B08D9T6K5M,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,685,3.6,"1,437",57,,1,"1,437",https://m.media-amazon.com/images/I/71m0W58-zQL._AC_UL320_.jpg,Jean,Men's Slim Fit Jeans,SKU: B08D9T6K5M
2,B07QX7X134,Men's Regular Fit Stretch Jeans,STUDIO NEXX,0,0,0,619,3.7,"3,685",59,,1,"3,685",https://m.media-amazon.com/images/I/81yyPPeLi3L._UX679_.jpg,Jean,Men's Regular Fit Stretch Jeans,SKU: B07QX7X134
3,B019XSHDL8,Men's Relaxed Jeans,Ben Martin,0,1,0,589,3.8,"2,775",76,,1,"2,775",https://m.media-amazon.com/images/I/81cIjzxBH5L._AC_UL320_.jpg,Jean,Men's Relaxed Jeans,SKU: B019XSHDL8
4,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.5,"1,786",55,,1,"1,786",https://m.media-amazon.com/images/I/61ZGXTSfA3L._AC_UL320_.jpg,Jean,Men Striped Denim Jeans,SKU: B07MXMTW2Z
5,B0758JYPHF,Men's Relaxed Jeans,Diverse,0,0,0,509,3.6,"2,125",66,,1,"2,125",https://m.media-amazon.com/images/I/91rFfkC-JcL._UY550_.jpg,Jean,Men's Relaxed Jeans,SKU: B0758JYPHF
6,B07FYG1Z88,Men's Relaxed Jeans,Diverse,0,0,0,537,3.7,"4,038",73,,1,"4,038",https://m.media-amazon.com/images/I/81WHyU7EvCL._UY550_.jpg,Jean,Men's Relaxed Jeans,SKU: B07FYG1Z88
7,B08XMSDJ3Q,by Shoppers Stop Solid Cotton Rich Regular Fit Boys Jeans (S21711BJNS-P),LIFE,0,1,0,240,4,237,70,,0,237,https://m.media-amazon.com/images/I/51oEGGLX2FL._AC_UL320_.jpg,Jean,by Shoppers Stop Solid Cotton Rich Regular Fit Boys Jeans (S21711BJNS-P),SKU: B08XMSDJ3Q
8,B09F6L3W6N,Men's Skinny Jeans,Spykar,0,0,0,"1,151",3.5,16,62,,1,16,https://m.media-amazon.com/images/I/813Rtj4U33L._UY550_.jpg,Jean,Men's Skinny Jeans,SKU: B09F6L3W6N
9,B07DFPCD93,Men's Slim Fit Black Stretch Jeans,Urbano Fashion,0,0,0,599,3.7,"3,672",54,,1,"3,672",https://m.media-amazon.com/images/I/611hFiiUv4L._AC_UL320_.jpg,Jean,Men's Slim Fit Black Stretch Jeans,SKU: B07DFPCD93
10,B07CWTXW97,Men's Slim Fit Denim Jeans,Ben Martin,0,0,0,698,3.6,"2,265",72,,1,"2,265",https://m.media-amazon.com/images/I/616xchp1ECL._UY550_.jpg,Jean,Men's Slim Fit Denim Jeans,SKU: B07CWTXW97
