,Rank,Probability distn
0,1,"{'B07LH4GYF8': 0.15, 'B09QKYR129': 0.15, 'B0872PNL6D': 0.1, 'B07GXRJRWL': 0.05, 'B07MQ8P7TL': 0.05, 'B085J78HLP': 0.05, 'B09Q678N7F': 0.05, 'B07RFK3Y2S': 0.05, 'B0973C2YHX': 0.05, 'B09DG5X87M': 0.05, 'B07L6Y7B8G': 0.05, 'B09DG67WH1': 0.05, 'B076CR4CXR': 0.05, 'B07RHLWYFP': 0.05, 'B09QKX4MQQ': 0.05}"
1,2,"{'B09QKYR129': 0.2, 'B07L6Y7B8G': 0.1, 'B085J78HLP': 0.05, 'B085J7MLWY': 0.05, 'B09Q66MNB7': 0.05, 'B07MJFJB8P': 0.05, 'B085J74QM6': 0.05, 'B07TFKNCFT': 0.05, 'B07Q1CPB89': 0.05, 'B09QKYTLM7': 0.05, 'B0973C94TX': 0.05, 'B06XSZJ8TZ': 0.05, 'B08KH1K46S': 0.05, 'B09DG6G7WH': 0.05, 'B07RFK3Y2S': 0.05, 'B09DG6Z6JV': 0.05}"
2,3,"{'B09Q678N7F': 0.15, 'B07MC7683G': 0.1, 'B08KH1K46S': 0.1, 'B085J7MLWY': 0.05, 'B07MC75TF5': 0.05, 'B07L6Y7B8G': 0.05, 'B085J7MM17': 0.05, 'B0758JQ5B4': 0.05, 'B09DG6G7WH': 0.05, 'B06XSZJ8TZ': 0.05, 'B07T9SJ82L': 0.05, 'B07RFK3Y2S': 0.05, 'B08KGYWM4Y': 0.05, 'B08KGYH2FP': 0.05, 'B07XB1ND4Y': 0.05, 'B08MKZXX4R': 0.05}"
3,4,"{'B07MQ8P7TL': 0.15, 'B09Q66MNB7': 0.1, 'B07L6YWD2K': 0.05, 'B07M7H94HG': 0.05, 'B07L6Y7B8G': 0.05, 'B0767MHDS1': 0.05, 'B07TFKNCFT': 0.05, 'B07FYFP6KT': 0.05, 'B097C4WMNW': 0.05, 'B09Q678N7F': 0.05, 'B07L6YWD43': 0.05, 'B08KH1K46S': 0.05, 'B08KGYWM4Y': 0.05, 'B0767HKDY8': 0.05, 'B08KH32NYS': 0.05, 'B09DG6Z6JV': 0.05, 'B09JRPYRSP': 0.05}"
4,5,"{'B019XSHCG4': 0.45, 'B085J7164M': 0.2, 'B019XSHDL8': 0.15, 'B08D9T6K5M': 0.05, 'B07QX7X134': 0.05, 'B07FYG1Z88': 0.05, 'B01FPI967Y': 0.05}"
5,6,"{'B08D9T6K5M': 0.25, 'B07DFPCD93': 0.15, 'B01F15NCWG': 0.1, 'B07QX7X134': 0.1, 'B07HZQ4RW6': 0.1, 'B085J7164M': 0.1, 'B07FYG1Z88': 0.1, 'B0758DTZ4K': 0.05, 'B07CWTXW97': 0.05}"
6,7,"{'B07DFPCD93': 0.15, 'B08D9T6K5M': 0.15, 'B085J79SJC': 0.1, 'B07QX7X134': 0.1, 'B01FPI967Y': 0.1, 'B075P377WJ': 0.05, 'B01F15NCWG': 0.05, 'B09F6L3W6N': 0.05, 'B07HZQ4RW6': 0.05, 'B0758JYPHF': 0.05, 'B06XJ9J4KT': 0.05, 'B085J7164M': 0.05, 'B07ZVRDFHK': 0.05}"
7,8,"{'B07QX7X134': 0.15, 'B09LCT6683': 0.1, 'B08D9T6K5M': 0.1, 'B09F6L3W6N': 0.1, 'B019XSHDL8': 0.1, 'B07MXMTW2Z': 0.1, 'B07CWTXW97': 0.1, 'B07DFPCD93': 0.05, 'B07HZQ4RW6': 0.05, 'B079HXQ6VN': 0.05, 'B09QKX4MQQ': 0.05, 'B01FPI967Y': 0.05}"
8,9,"{'B09F6L3W6N': 0.2, 'B07MXMTW2Z': 0.2, 'B084K8TX4Q': 0.1, 'B07WX4D5RK': 0.1, 'B09QKX4MQQ': 0.05, 'B07HZQ4RW6': 0.05, 'B07SBZ7H6H': 0.05, 'B07FYG1Z88': 0.05, 'B019XSHDL8': 0.05, 'B07CWTXW97': 0.05, 'B07CPDGQB5': 0.05, 'B094VXZKQS': 0.05}"
9,10,"{'B07MXMTW2Z': 0.2, 'B09QKX4MQQ': 0.15, 'B0758JYPHF': 0.15, 'B09F6L3W6N': 0.1, 'B075P377WJ': 0.05, 'B07CWT3MFK': 0.05, 'B08NSPYQZF': 0.05, 'B07DFPCD93': 0.05, 'B08XMSDJ3Q': 0.05, 'B019XSHDL8': 0.05, 'B094VXZKQS': 0.05, 'B076CR4HPR': 0.05}"
