,Unnamed: 0,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
0,0,B09QKYR129,UP Men's Denim Blend Solid Slim Jeans for Men,UP Online Store,1,0,0,749,4.6,7,53,,1,7,https://m.media-amazon.com/images/I/61UZ+QwpH6S._AC_UL320_.jpg
1,1,B07RFK3Y2S,Men's Stretch Carrot Stretchable Jeans,Amazon Brand - Inkast Denim Co.,1,0,0,699,3.6,"1,154",72,,1,"1,154",https://m.media-amazon.com/images/I/81iWmTkWAbL._AC_UL320_.jpg
2,2,B08KGYH2FP,Men's Blue Relaxed Fit Jeans,STUDIO NEXX,1,0,0,479,3.6,110,72,,1,110,https://m.media-amazon.com/images/I/81TuGkDoP9L._AC_UL320_.jpg
3,3,B08KH32NYS,Men's Blue Relaxed Fit Jeans,STUDIO NEXX,1,0,0,599,3.8,82,65,,1,82,
4,4,B019XSHDL8,Men's Relaxed Jeans,Ben Martin,0,1,0,698,3.8,"2,783",72,,1,"2,783",https://m.media-amazon.com/images/I/616xchp1ECL._AC_UL320_.jpg
5,5,B07FYG1Z88,Men's Relaxed Jeans,Diverse,0,0,0,551,3.7,"4,053",72,,1,"4,053",
6,6,B085J7164M,Men's Relaxed Jeans,Amazon Brand - Symbol,0,0,0,689,3.8,"1,149",64,,1,"1,149",https://m.media-amazon.com/images/I/81ASupqCFBL._AC_UL320_.jpg
7,7,B08D9T6K5M,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,0,3.6,"1,441",0,,0,"1,441",https://m.media-amazon.com/images/I/71m0W58-zQL._AC_UL320_.jpg
8,8,B07CWTXW97,Men's Slim Fit Denim Jeans,Ben Martin,0,0,0,698,3.6,"2,272",72,,1,"2,272",
9,9,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.5,"1,789",55,,1,"1,789",https://m.media-amazon.com/images/I/61ZGXTSfA3L._AC_UL320_.jpg
10,10,B08XMPF5C1,by Shoppers Solid Cotton Rich Regular Fit Boys Jeans (S21710BJNS-P),STOP,0,1,0,210,3.9,126,70,,0,126,https://m.media-amazon.com/images/I/51iQbJ5dOaL._AC_UL320_.jpg
11,11,B0758JYPHF,Men's Relaxed Jeans,Diverse,0,0,0,509,3.5,"2,204",66,,1,"2,204",
12,12,B07L6Z52YW,Men's Slim Fit Stretchable Jeans,Neostreak,0,0,0,550,3.7,"2,808",66,,1,"2,808",
13,13,B094P1JH99,Joggers for Women Stylish,DNEXT,0,0,0,299,3.3,202,81,,1,202,https://m.media-amazon.com/images/I/41qSlQWBogS._AC_UL320_.jpg
14,14,B09F6LRB58,Men's Skinny Jeans,Spykar,0,0,0,"1,142",4.2,9,62,,1,9,
15,15,B085J7FQC3,Men's Slim Fit Jeans,Amazon Brand - Symbol,0,0,0,599,3.8,"1,167",74,,1,"1,167",
16,16,B07DFPCD93,Men's Slim Fit Black Stretch Jeans,Urbano Fashion,0,0,0,649,3.7,"3,685",50,,1,"3,685",https://m.media-amazon.com/images/I/611hFiiUv4L._AC_UL320_.jpg
17,17,B06XJ9J4KT,Women's Jeans,NIFTY,0,1,0,499,3.9,"4,495",62,,1,"4,495",https://m.media-amazon.com/images/I/61e5EIR-LhL._AC_UL320_.jpg
18,18,B07HZN78T8,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,769,3.6,239,73,,1,239,https://m.media-amazon.com/images/I/91qT9DFAVwL._AC_UL320_.jpg
19,19,B09F6L3W6N,Men's Skinny Jeans,Spykar,0,0,0,"1,151",3.5,17,62,,1,17,
20,20,B07Q9RSWX6,Men's Relaxed Fit Jeans,Diverse,1,0,0,466,3.7,914,69,,0,914,https://m.media-amazon.com/images/I/61S4Pv2ddKL._AC_UL320_.jpg
21,21,B07VGGJWCH,Men's Slim Jeans,Deniklo,1,0,0,754,4.0,224,71,,1,224,https://m.media-amazon.com/images/I/81lMieV8qwL._AC_UL320_.jpg
22,22,B07GZWCHFY,Men's Skinny Jeans,Diverse,1,0,0,613,3.5,560,75,,0,560,
23,23,B0767KLWYG,Men's Slim Jeans,Diverse,1,0,0,619,3.7,"3,307",69,,1,"3,307",https://m.media-amazon.com/images/I/31EpESl1n6L._AC_UL320_.jpg
24,24,B085J7BK52,Men's Skinny Jeans,Amazon Brand - Symbol,0,0,0,629,3.8,672,63,,1,672,
25,25,B08NTDTWDS,Women's High Rise Jeans,KOTTY,0,0,0,639,3.8,560,68,,1,560,https://m.media-amazon.com/images/I/313389wmFrL._AC_UL320_.jpg
26,26,B07DMZ9J72,Men's Slim Fit Denim,Ben Martin,0,0,0,698,3.6,"3,305",77,,1,"3,305",https://m.media-amazon.com/images/I/61Don-d8JfL._AC_UL320_.jpg
27,27,B07HLZ6K4K,Women's Straight Jeans,AKA CHIC,0,0,0,885,4.1,530,62,,1,530,https://m.media-amazon.com/images/I/81mRWoU5jxL._AC_UL320_.jpg
28,28,B09LLHDX59,Men's Regular Jeans,Peter England,0,0,0,"1,073",5.0,1,40,,1,1,
