,Unnamed: 0,Unnamed: 0.1,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
0,0,0,0,B07LH4GYF8,Men's Slim Fit Jeans,Urbano Fashion,1,0,0,689,3.6,205,54,,1,205,https://m.media-amazon.com/images/I/51+U2t2DE9L._AC_UL320_.jpg,Jean_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Men's Slim Fit Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07LH4GYF8
1,1,1,1,B07Q1CPB89,Men's Slim Fit Jeans,Urbano Fashion,1,0,0,599,3.8,434,57,,1,434,https://m.media-amazon.com/images/I/61+EOfVK2CL._AC_UL320_.jpg,Jean_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Men's Slim Fit Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07Q1CPB89
2,2,2,2,B06XSZJ8TZ,Men's Black Slim Fit Jeans Stretch,Urbano Fashion,1,0,0,589,3.6,489,55,,1,489,https://m.media-amazon.com/images/I/51wejfsWOJL._AC_UL320_.jpg,Jean_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Men's Black Slim Fit Jeans Stretch
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B06XSZJ8TZ
3,3,3,3,B09Q678N7F,Men's Denim Cotton Relaxed Fit Jeans (Blue),Murqin,1,0,0,645,0.0,0,73,,1,"₹645
₹2,400 Save ₹1,755 (73%)",https://m.media-amazon.com/images/I/41jEFEZYEwL._AC_UL320_.jpg,Jean_A1,"<span style=""font-size: 10pt; color: #999999;"">Sponsored</span>
Men's Denim Cotton Relaxed Fit Jeans (Blue)
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B09Q678N7F
4,4,4,4,B085J7164M,Men's Relaxed Jeans,Amazon Brand - Symbol,0,0,0,689,3.8,"1,138",64,,1,"1,138",https://m.media-amazon.com/images/I/81ASupqCFBL._AC_UL320_.jpg,Jean_A1,"Men's Relaxed Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B085J7164M
5,5,5,5,B08D9T6K5M,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,685,3.6,"1,437",57,,1,"1,437",https://m.media-amazon.com/images/I/71m0W58-zQL._AC_UL320_.jpg,Jean_A1,"Men's Slim Fit Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B08D9T6K5M
6,6,6,6,B07QX7X134,Men's Regular Fit Stretch Jeans,STUDIO NEXX,0,0,0,619,3.7,"3,685",59,,1,"3,685",https://m.media-amazon.com/images/I/81yyPPeLi3L._UX679_.jpg,Jean_A1,"Men's Regular Fit Stretch Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07QX7X134
7,7,7,7,B019XSHDL8,Men's Relaxed Jeans,Ben Martin,0,1,0,589,3.8,"2,775",76,,1,"2,775",https://m.media-amazon.com/images/I/81cIjzxBH5L._AC_UL320_.jpg,Jean_A1,"Men's Relaxed Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B019XSHDL8
8,8,8,8,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.5,"1,786",55,,1,"1,786",https://m.media-amazon.com/images/I/61ZGXTSfA3L._AC_UL320_.jpg,Jean_A1,"Men Striped Denim Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B07MXMTW2Z
9,9,9,9,B0758JYPHF,Men's Relaxed Jeans,Diverse,0,0,0,509,3.6,"2,125",66,,1,"2,125",https://m.media-amazon.com/images/I/91rFfkC-JcL._UY550_.jpg,Jean_A1,"Men's Relaxed Jeans
<img class=""alignnone  wp-image-20196"" src=""http://65.0.75.99/wp-content/uploads/2022/05/prime-delivery-1.jpg"" alt="""" width=""57"" height=""24"" /></span>
",SKU: B0758JYPHF
