,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07LH4GYF8,Men's Slim Fit Jeans,Urbano Fashion,1,0,0,689,3.6,205,54,,1,205
1,B09QKYR129,UP Men's Denim Blend Solid Slim Jeans for Men,UP Online Store,1,0,0,749,5,3,53,,1,3
2,B09Q678N7F,Men's Denim Cotton Relaxed Fit Jeans (Blue),Murqin,1,0,0,645,0,0,73,,1,"₹645
₹2,400 Save ₹1,755 (73%)"
3,B07MQ8P7TL,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,639,3.7,678,71,,1,678
4,B019XSHCG4,Men's Relaxed Jeans,Ben Martin,0,1,0,698,3.7,"3,797",72,,1,"3,797"
5,B08D9T6K5M,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,0,3.6,"1,411",0,,0,"1,411"
6,B07DFPCD93,Men's Slim Fit Black Stretch Jeans,Urbano Fashion,0,0,0,649,3.7,"3,629",50,,1,"3,629"
7,B07QX7X134,Men's Regular Fit Stretch Jeans,STUDIO NEXX,0,0,0,619,3.7,"3,634",59,,1,"3,634"
8,B09F6L3W6N,Men's Skinny Jeans,Spykar,0,0,0,"1,151",3.4,11,62,,1,11
9,B07MXMTW2Z,Men Striped Denim Jeans,Campus Sutra,0,0,0,899,3.6,"1,764",55,,1,"1,764"
10,B07CWT3MFK,Men's Slim Fit Denim Jeans,Ben Martin,0,0,0,698,3.6,"2,231",72,,1,"2,231"
11,B08XMSDJ3Q,by Shoppers Stop Solid Cotton Rich Regular Fit Boys Jeans (S21711BJNS-P),LIFE,0,1,0,240,4,237,70,,0,237
12,B09LCT6683,Men's Slim Jeans,Amazon Brand - Symbol,0,0,0,709,2.2,5,65,,1,5
13,B09F6KZK1Y,Men's Skinny Jeans,Spykar,0,0,0,"1,180",4.5,2,61,,1,2
14,B07SBZ7H6H,Men's Slim Fit Stretchable Fabric Casual Wear Denim Jeans,RAGZO,0,0,0,849,3.5,"1,182",43,,1,"1,182"
15,B07PD5BCWC,Women's Skinny Fit Jeans,AKA CHIC,0,0,0,839,3.9,"1,260",58,,1,"1,260"
16,B079HXQ6VN,Men's Stretch Carrot Fit Jeans,Amazon Brand - Symbol,0,0,0,489,3.8,427,77,,0,427
17,B085J7BK52,Men's Skinny Fit Jeans,Amazon Brand - Symbol,0,0,0,669,3.8,"1,140",61,,1,"1,140"
18,B07HZN78T8,Men's Slim Stretchable Jeans,Amazon Brand - Inkast Denim Co.,0,0,0,769,3.7,225,76,,1,225
19,B06Y6MHSVR,Men's Relaxed Fit Jeans,Ben Martin,0,0,0,649,3.6,"3,865",74,,1,"3,865"
20,B099JPYXJT,Men's Carrot Jeans,Amazon Brand - Inkast Denim Co.,1,0,0,799,4,37,73,,1,37
21,B07GXJKNBN,Men's Stretch Skinny Stretchable Jeans (IN-SK-31_Dark Blue_32_Dark Blue1_32),Amazon Brand - Inkast Denim Co.,1,0,0,859,3.3,31,69,,1,31
22,B07VGFW4KH,Men's Slim Jeans,Deniklo,1,0,0,655,4,76,72,,1,76
23,B08MQPSHWT,Studio X Svensson & Co. Men's Slim Fit Stretchable Denim Jeans,Avadat,1,0,0,999,3.8,368,47,,1,368
24,B08NTDTWDS,Women's High Rise Jeans,KOTTY,0,0,0,639,3.8,532,68,,1,532
25,B07DMZ9J72,Men's Slim Fit Denim,Ben Martin,0,0,0,698,3.5,"3,248",77,,1,"3,248"
26,B09BVW2LNQ,Men's Slim Jeans,Levi's,0,0,0,"1,321",4.1,300,47,,1,300
27,B06XJ9J4KT,Women's Jeans,NIFTY,0,1,0,499,3.9,"4,410",62,,1,"4,410"
28,B07HLZ6K4K,Women's Straight Jeans,AKA CHIC,0,0,0,885,4.1,519,62,,1,519
29,B09C2G7CSZ,Men's Light Blue Slim Fit Washed Jeans Stretchable,Urbano Fashion,0,0,0,699,3.5,"1,017",53,,1,"1,017"
30,B099P4RTRR,Men's Slim Jeans,Spykar,0,0,0,"1,181",3.3,3,59,,1,3
31,B09F655D8M,Men's Slim Jeans,Allen Solly,0,0,0,"1,044",4.3,17,45,,1,17
32,B091734BWL,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,4,89,66,,1,89
33,B07XKSP8DW,Men's Slim Fit Apparel,Neostreak,0,0,0,356,3.2,10,84,,0,10
34,B08L2636YZ,Women's Loose Fit Jeans,KOTTY,0,0,0,639,3.8,462,68,,1,462
35,B07W3TDXXY,Women's Relaxed Jeans,AKA CHIC,0,0,0,806,4.1,"1,305",66,,1,"1,305"
36,B07VCG3TG7,Men's Light Blue Slim Fit Denim Jeans Stretchable,Urbano Fashion,0,0,0,699,3.5,581,53,,1,581
37,B08G2TG8XQ,Women's Skinny Jeans,AKA CHIC,0,0,0,328,3.7,52,86,,0,52
38,B0872PNL6D,Men's Slim Fit Stretchable Jeans,Neostreak,1,0,0,482,3.8,"2,076",76,,0,"2,076"
39,B076CR4CXR,Men's Slim Fit Washed Jeans Stretchable,Urbano Fashion,1,0,0,649,3.7,"5,660",50,,1,"5,660"
