,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B09NLSFZ9S,"Dell 15 (2021) i5-1135G7, 8GB, 512GB SSD, Win 11 + MS Office'21, Integrated Graphics, 15.6"" (39.62 cms) FHD Display, Platinum Silver Color, Backlit KB (Inspiron 3511, D560652WIN9S)",Dell,1,0,0,"59,790",3.0,1,21,"Tomorrow, February 5",1,1
1,B09NLRTY1Y,"Dell 14 (2021) i3-1115G4, 4GB, 1TB + 256GB SSD, Win 11 + MS Office'21, Integrated Graphics, 14"" (35.56 cms) FHD Display, Dune Color (Vostro 3401, D552218WIN9DE)",Dell,1,0,0,"44,690",0,0,23,"Tomorrow, February 5",1,"₹44,690
₹57,863 Save ₹13,173 (23%)"
2,B09NQ9Z2S6,"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA",Lenovo,0,0,0,"20,990",3.1,20,65,"Monday, February 7",1,20
3,B09G9ZPV38,"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN",Lenovo,0,0,0,"28,790",4.0,248,31,,0,248
4,B08C5W6PL2,"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU",HP,0,0,0,"26,490",3.7,961,11,"Tomorrow, February 5",1,961
5,B09HHL3BNR,"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD / DOS /Iron Grey/1 Year Onsite Warranty/1.7 kg), 82C30052IH",Lenovo,0,0,0,"28,239",3.1,17,24,"Thursday, February 10",1,17
6,B09HV3WT9J,"HP Pavilion 15, Ryzen 5- 16GB RAM/512GB SSD 15.6-inch(39.6 cm) Laptop, FHD Anti-Glare Display/Radeon Graphics/Backlit KB/Alexa/250 nits/B&O Audio/Fingerprint Reader/Win 11/1.75 kg, 15-eh1108AU",HP,0,0,0,"62,990",4.5,151,19,"Thursday, February 10",1,151
7,B09LJ4VLHH,"ASUS VivoBook 14 (2021), 14-inch (35.56 cms) FHD, Intel Core i7-1065G7 10th Gen, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Office 2021/Windows 11/Silver/1.6 Kg), X415JA-EK701WS",ASUS,0,0,0,"59,990",4.6,6,28,"Tomorrow, February 5",1,6
8,B09KM1BVFH,"HP 15s 11th Gen Intel Core i3-8GB RAM/512GB SSD 15.6 inch(39.6 cm) Laptop, HD, Micro-Edge Display/ Windows 11/ MS Office/Alexa/Jet Black/ 1.75kg) - 15s-du3563TU",HP,0,0,0,"42,990",3.7,62,13,,1,62
9,B09MM5TSJ7,"Lenovo IdeaPad 3 11th Gen Intel Core i3 35.56cm (14 inches) FHD Thin & Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.5Kg), 81X700CWIN",Lenovo,0,0,0,"37,990",3.6,26,39,"Tomorrow, February 5",1,26
10,B09GDR9KK1,HP Pavilion 14 AMD Ryzen 5 14 inches FHD IPS Micro-Edge Anti-Glare Display Laptop (8GB/512GB SSD/Backlit KB/Alexa/B&O Audio/Fast Charge/720p Camera/Windows 11 ready/3D Metal Design/1.41kg/14-ec0035AU),HP,1,0,0,"54,990",4.1,244,19,"Tomorrow, February 5",1,244
