,SKU,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,linkofproduct
0,American Tourister Ivy Polypropylene 68 cms Black Hardsided Check-in Luggage (FO1 (0) 09 002),1,0,1,"3,699",4.2,"5,368",53,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07440272LGUA9QF8JHE2&url=%2FAmerican-Tourister-Polypropylene-FO1-002%2Fdp%2FB08CS9NC8Y%2Fref%3Dice_ac_b_dpb_sspa%3Fcrid%3DPPTXZTCXWG9E%26keywords%3DLuggage%26qid%3D1643617403%26sprefix%3Dluggage%252Caps%252C10438%26sr%3D8-1-spons%26psc%3D1&qualifier=1643617403&id=8009518451740266&widgetName=sp_atf
1,Safari Polyester 75 cms Red Softsided Check-in Luggage (PRISMA754WRED),1,0,0,"3,499",4.3,808,67,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A009506723ON1V8EPBX4H&url=%2FSafari-Polyester-Softsided-Luggage-PRISMA754WRED%2Fdp%2FB07FZSJZYJ%2Fref%3Dsr_1_2_sspa%3Fcrid%3DPPTXZTCXWG9E%26keywords%3DLuggage%26qid%3D1643617403%26smid%3DAT95IG9ONZD7S%26sprefix%3Dluggage%252Caps%252C10438%26sr%3D8-2-spons%26psc%3D1&qualifier=1643617403&id=8009518451740266&widgetName=sp_atf
2,KAMILIANT by AMERICAN TOURISTER Kam Kiza Polypropylene 79 cms RUBY RED Hardsided Check-in Luggage (KAM KIZA SP 79CM - RUBY RED),1,0,0,"3,599",4.1,"1,118",63,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0743871JNFZ3AATDHN2&url=%2FKamiliant-American-Tourister-RUBY-KIZA%2Fdp%2FB082N6KN4P%2Fref%3Dsr_1_3_sspa%3Fcrid%3DPPTXZTCXWG9E%26keywords%3DLuggage%26qid%3D1643617403%26sprefix%3Dluggage%252Caps%252C10438%26sr%3D8-3-spons%26psc%3D1&qualifier=1643617403&id=8009518451740266&widgetName=sp_atf
3,KAMILIANT by AMERICAN TOURISTER KAM Kiza Polypropylene 68 cms Black Hardsided Check-in Luggage (KAM KIZA SP 68CM - BLACK),1,0,0,"2,799",4.2,"1,414",64,,1,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07441832HDHD1LTI1I4E&url=%2FKamiliant-American-Tourister-KIZA-68CM%2Fdp%2FB082N6TGFQ%2Fref%3Dsr_1_4_sspa%3Fcrid%3DPPTXZTCXWG9E%26keywords%3DLuggage%26qid%3D1643617403%26sprefix%3Dluggage%252Caps%252C10438%26sr%3D8-4-spons%26psc%3D1&qualifier=1643617403&id=8009518451740266&widgetName=sp_atf
4,"ROZEN Heavy Dutty Fabric Travel Luggage Duffle Bag (Sky Blue, 50 litres 22Inch)",0,0,0,588,4.0,"1,293",70,,1,https://www.amazon.in/ROZEN-Fabric-Travel-Luggage-Duffle/dp/B085QMBX8H/ref=sr_1_5?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&sprefix=luggage%2Caps%2C10438&sr=8-5
5,M MEDLER Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),0,1,0,569,3.6,"14,060",81,,1,https://www.amazon.in/MEDLER-Nylon-Expandable-Duffel-Trolley/dp/B07MWD4D4W/ref=sr_1_6?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&smid=A2W2P4ZP2OW4Y0&sprefix=luggage%2Caps%2C10438&sr=8-6
6,Skybags Trooper 55 Cms Polycarbonate Blue Hardsided Cabin Luggage,0,1,0,"2,799",4.2,"8,153",57,,1,https://www.amazon.in/Skybags-Polycarbonate-Hardsided-Luggage-Trooper/dp/B07R5PKDLQ/ref=sr_1_7?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&smid=AT95IG9ONZD7S&sprefix=luggage%2Caps%2C10438&sr=8-7
7,American Tourister Ivy Polypropylene 68 cms Black Hardsided Check-in Luggage (FO1 (0) 09 002),0,0,1,"3,699",4.2,"5,368",53,,1,https://www.amazon.in/American-Tourister-Polypropylene-FO1-002/dp/B08CS9NC8Y/ref=ice_ac_b_dpb?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&sprefix=luggage%2Caps%2C10438&sr=8-8
8,Safari Ray Polycarbonate 65 cms Midnight Blue Hardsided Check-in Luggage (RAY 67 4W MIDNIGHT BLUE),0,0,0,"2,999",4.3,"4,072",60,,1,https://www.amazon.in/Safari-Polycarbonate-RAY-67-4W/dp/B0846GBZ3P/ref=sr_1_9?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&smid=AT95IG9ONZD7S&sprefix=luggage%2Caps%2C10438&sr=8-9
9,KAMILIANT by AMERICAN TOURISTER KAM Kiza Polypropylene 79 cms Black Hardsided Check-in Luggage (KAM KIZA SP 79CM - BLACK),0,0,0,"3,599",4.2,"1,340",63,,1,https://www.amazon.in/Kamiliant-American-Tourister-KIZA-79CM/dp/B082N63DLC/ref=sr_1_10?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&sprefix=luggage%2Caps%2C10438&sr=8-10
10,Safari RAY Polycarbonate 53 cms Midnight Blue Hardsided Cabin Luggage (RAY534WMBL),0,0,0,"2,299",4.2,"2,499",62,,1,https://www.amazon.in/Safari-Polycarbonate-Midnight-Hardsided-RAY534WMBL/dp/B07WHLHXB9/ref=sr_1_11?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&smid=AT95IG9ONZD7S&sprefix=luggage%2Caps%2C10438&sr=8-11
11,KAMILIANT by AMERICAN TOURISTER KAM Kiza Polypropylene 68 cms Black Hardsided Check-in Luggage (KAM KIZA SP 68CM - BLACK),0,0,0,"2,799",4.2,"1,414",64,,1,https://www.amazon.in/Kamiliant-American-Tourister-KIZA-68CM/dp/B082N6TGFQ/ref=sr_1_12?crid=PPTXZTCXWG9E&keywords=Luggage&qid=1643617403&sprefix=luggage%2Caps%2C10438&sr=8-12
