,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08KNRSZR8,"Set of 3 Luggage Polycarbonate 55 cms + 68 cms + 79 cms Hardsided Suitcase Trolley ((55 cms + 68 cms), Forest Sunray)",MOKOBARA,1,0,0,"16,440",4.5,97,31,,1,97
1,B08BCVG8ZF,ORKA TRAVEL Premium Spandex Stretchable Fabric Luggage Cover Medium 28 inch - Royal Blue,ORKA TRAVEL,1,0,0,592,3.3,29,46,"Wednesday, February 23",1,29
2,B08Y5K7J7P,"Premium Spandex Stretchable Fabric Luggage Cover Combo | Brown | ( Small 22"", Medium 28"", Large 30"" )",ORKA TRAVEL,1,0,0,"1,399",4.3,4,53,,1,4
3,B08CS9NC8Y,Ivy Polypropylene 68 cms Black Hardsided Check-in Luggage (FO1 (0) 09 002),American Tourister,1,0,1,"3,699",4.3,"5,613",53,,1,"5,613"
4,B0846GBZ3P,Ray Polycarbonate 65 cms Midnight Blue Hardsided Check-in Luggage (RAY 67 4W MIDNIGHT BLUE),Safari,0,0,0,"2,999",4.3,"4,237",60,,1,"4,237"
5,B07MWD4D4W,Epoch Nylon 55 litres Waterproof Strolley Duffle Bag- 2 Wheels - Luggage Bag - (Navy Blue),M MEDLER,0,1,0,569,3.6,"14,653",81,,1,"14,653"
6,B08CS9NC8Y,Ivy Polypropylene 68 cms Black Hardsided Check-in Luggage (FO1 (0) 09 002),American Tourister,0,0,1,"3,699",4.3,"5,613",53,,1,"5,613"
7,B082N6RG7D,KAM Kiza Polypropylene 55 cms Black Hardsided Cabin Luggage (KAM KIZA SP 55CM - BLACK),KAMILIANT by AMERICAN TOURISTER,0,0,0,"2,490",4.2,891,60,,1,891
8,B07DF5M52C,for Spirit Airlines Foldable Travel Duffel Bag Tote Carry on Luggage Sport Duffle Weekender Overnight for Women and Girls (1112 Mint Green),Narwey,0,0,0,250,3.2,"7,006",50,,0,"7,006"
9,B07R5PKDLQ,Trooper 55 Cms Polycarbonate Blue Hardsided Cabin Luggage,Skybags,0,0,0,"2,799",4.2,"8,433",57,,1,"8,433"
10,B082N6L2T8,KAM Kiza Polypropylene 68 cms Ash Blue Hardsided Check-in Luggage (KAM KIZA SP 68CM - ASH BLUE),KAMILIANT by AMERICAN TOURISTER,0,0,0,"2,799",4.1,"1,767",64,,1,"1,767"
11,B082N63DLC,KAM Kiza Polypropylene 79 cms Black Hardsided Check-in Luggage (KAM KIZA SP 79CM - BLACK),KAMILIANT by AMERICAN TOURISTER,0,0,0,"3,599",4.2,"1,398",63,,1,"1,398"
12,B09Q13HDH1,9 NINE SEAVEN Travel Foldable Nylon Duffle Tote Bag Portable Waterproof Handbag Folding Sport Weekend Shopping Luggage Bag Gym Sports Bag for Women Girl 32 L (Multicolor),9,0,1,0,249,2.8,7,75,"Wednesday, February 23",1,9 NINE SEAVEN
13,B07FZN5K3N,Prisma 65 Cms Polyester Red Check-In 4 wheels Soft Suitcase - 25.6 Inches,Safari,0,0,0,"2,799",4.3,"1,846",68,,1,"1,846"
14,B085QMBX8H,"Heavy Dutty Fabric Travel Luggage Duffle Bag (Sky Blue, 50 litres 22Inch)",ROZEN,0,0,0,588,4.0,"1,331",70,,1,"1,331"
15,B07J5GBKXZ,"Waterproof Foldable Travel Luggage Bag for Unisex Luggage Travel, Sport Handbags",ORPIO (LABEL),0,0,0,399,4.3,40,60,,1,40
16,B07Q45QZC1,Polyester Travel Duffel Bag with 2 Wheels Lightweight 55 L Luggage purple,Zion Bag,0,0,0,499,3.7,"1,749",82,,0,"1,749"
17,B07YFPF4QT,"Foldable Duffel Luggage Bag for Travel, Packing and Storage - Men and Women - (45 L,Black)",FATMUG,0,0,0,799,4.4,617,60,,1,617
18,B07FZFY8C6,Polyester 65 cms Blue Softsided Check-in Luggage (PRISMA654WBLU)-26 Inch,Safari,0,0,0,"2,799",4.3,"2,258",68,,1,"2,258"
19,B07S2G71ZY,Georgia Polycarbonate 69 cms Moonlight Blue Hardsided Check-in Luggage (FS3 (0) 21 002),American Tourister,0,0,0,"4,499",4.1,402,49,,1,402
20,B0983RSTQ4,Polycarbonate 11.02 inches Hard Check-in Luggage Suitcase (OASISSM4WPRN_Multicolor),Safari,1,0,0,"5,899",4.1,31,64,,1,31
21,B082P939FW,Polypropylene 31.1 inches Soft Suitcase (GZ8 (0) 09 008_Black),KAMILIANT by AMERICAN TOURISTER,1,0,0,"7,214",4.2,"1,679",70,,1,"1,679"
