,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07RTC8WSD,AmazonBasics 23 L Convection Microwave (Black),AmazonBasics,1,0,0,"8,499",4.3,"1,488",47,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"1,488"
1,B07RTCNM3N,AmazonBasics 30 L Convection Microwave (Black),AmazonBasics,1,0,0,"10,999",4.2,606,45,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,606
2,B00F15AFPY,"Bajaj 1701 MT 17L Solo Microwave Oven, White",Bajaj,0,0,0,"4,560",4.3,"3,877",14,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"3,877"
3,B072KZ373J,"Bajaj MTBX 2016 20L Grill Microwave Oven, Black",Bajaj,0,0,0,"5,490",4.3,"1,705",29,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,"1,705"
4,B09MK5NTTG,"Samsung 20 L Solo Microwave Oven with Dual Dial (MS20A3010AH/TL, White)",Samsung,0,0,0,"5,990",0,0,5,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"₹5,990
₹6,300 Save ₹310 (5%)"
5,B07YWYGJYD,Whirlpool 20 L Solo Microwave Oven (MAGICOOK PRO 20SE BLACK),Whirlpool,0,0,0,0,4.1,"1,036",0,,0,"1,036"
6,B07GLPJ37N,"LG 28 L Charcoal Convection Microwave Oven (MJ2886BWUM, Floral, Diet Fry, With Starter Kit)",LG,0,0,0,"16,890",4.3,"1,058",30,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"1,058"
7,B06XKC8S71,"LG 28 L Convection Microwave Oven (MC2846BV, Black)",LG,0,0,0,"12,311",4.5,282,21,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,282
8,B016ZLKJSU,"IFB 30 L Convection Microwave Oven (30BRC2, Black, With Starter Kit)",IFB,0,0,0,"13,870",4.3,"3,845",28,"Thu, 10 Feb, 7:00 am - 9:00 pm",0,"3,845"
9,B00A7PGI18,"IFB 20 L Convection Microwave Oven (20SC2, Metallic Silver, With Starter Kit)",IFB,0,0,0,"9,784",4.3,"3,935",27,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,"3,935"
10,B01LF927AU,"LG 28 L Convection Microwave Oven (MC2886BRUM, Black, With Starter Kit)",LG,1,0,0,"16,790",4.4,867,13,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,867
11,B00KPSSPZY,"Panasonic 23L Convection Microwave Oven(NN-CT353BFDG,Black Mirror, 360° Heat Wrap)",Panasonic,1,0,0,"10,590",4.5,859,27,"Wed, 9 Feb, 7:00 am - 9:00 pm",0,859
