,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B07DHK5DHN,"AmazonBasics Monitor Stand, Height Adjustable Arm Mount- Steel",AmazonBasics,1,0,1,"2,099",4.5,"7,943",0,"Friday, February 18",1,"7,943"
1,B076B3Q8JR,"AmazonBasics Dual Monitor Stand - Height-Adjustable Arm Mount, Steel",AmazonBasics,1,0,0,"2,999",4.5,"4,893",40,"Friday, February 18",1,"4,893"
2,B07DHK5DHN,"AmazonBasics Monitor Stand, Height Adjustable Arm Mount- Steel",AmazonBasics,0,0,1,"2,099",4.5,"7,943",0,"Friday, February 18",1,"7,943"
3,B076B3Q8JR,"AmazonBasics Dual Monitor Stand - Height-Adjustable Arm Mount, Steel",AmazonBasics,0,0,0,"2,999",4.5,"4,893",40,"Friday, February 18",1,"4,893"
4,B09D3WWZ2Y,"Tukzer Single 13 to 27-inch LCD Monitor Desk Mount Stand, Height Adjustable Arm Mount, Fully Adjustable, Tilt, Articulating/Holds 1 Screen Stand-Steel (TZ-T19)",Tukzer,0,0,0,"1,799",4.4,275,55,"Friday, February 18",1,275
5,B07LFGBG18,"Caprigo Heavy Duty TV Wall Mount Stand for 12 to 27 Inch LED/LCD/Monitor Screen’s, Full Motion Rotatable Universal TV & Monitor Wall Mount Bracket with Swivel & Tilt Adjustments (Black - C417)",Caprigo,0,0,0,499,4.0,547,44,"Monday, February 21",1,547
6,B0758DDXS1,"Caprigo Heavy Duty TV Wall Mount Stand for 12 to 27 Inch LED/LCD/Monitor Screen’s, Full Motion Rotatable Universal TV & Monitor Wall Mount Bracket With Swivel & Tilt Adjustments (Black - M417)",Caprigo,0,0,0,499,3.9,889,44,"Monday, February 21",1,889
7,B09QFXDB5D,"SYGA Double Monitor Stand Dual Arm Desk Mount Fully Height Adjustable Bracket with C-Clamp & Gronment-Ergonomic 180° Tilt, 360° Rotation & 360° Swivel Arm - VESA Dimensions: 75x75-100x100 - Dual",SYGA,0,0,0,"1,749",0,0,56,"Tuesday, February 22",0,"₹1,749
₹3,999 Save ₹2,250 (56%)"
8,B07C9TYSL7,"Rife Full Motion Single Monitor Desk Mount Adjustable/Tilt/Articulating for 1 Screen up to 27""",Rife,0,0,0,"1,490",4.1,59,66,"Monday, February 21",1,59
9,B083GQGT3Z,"Caprigo Heavy Duty TV Wall Mount Stand for 12 to 27 inches LED/LCD/Monitor Screen's, Full Motion Rotatable Universal TV & Monitor Wall Mount Bracket (Single Arm - Black - M416)",Caprigo,0,0,0,450,4.1,767,44,"Monday, February 21",1,767
10,B07NVNK55K,"Rife Single Monitor Wall Mount Arm | VESA Wall Mount Monitor Arm | Full Motion Gas Spring Arm Fits 17 to 32 Inch Screens with 75 or 100 VESA Patterns, Black",Rife,1,0,0,"2,800",0,0,65,"Monday, February 21",1,"₹2,800
₹8,000 Save ₹5,200 (65%)"
11,B084TMBZ5D,"Rife VESA Full Motion Single Arm Desk Monitor Mount Stand with Fully Adjustable Arms Fits Screens up to 27"" ((Silver Monitor Arm)",Rife,1,0,0,"3,170",4.4,376,58,"Monday, February 21",1,376
12,B09J6MB8C4,"TJOM ® New Tv Wall Stand Universal Slim Tilt & Swivel Full Motion TV Wall Mount Bracket for 14-26 Inch PC Monitor TFT LCD LED Plasma OLED Flat Curved Screen TVs, VESA 50x50mm 100x100mm 33Lbs",TJOM,0,0,0,279,3.9,24,79,"Monday, February 21",1,24
