,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08461VC1Z,"Scarters Mouse Pad, Desk Mat Extended for Work from Home/Office/Gaming | Vegan PU Leather | Anti-Skid, Anti-Slip, Reversible Splash-Proof – Deskspread ~ Navy Blue & Yellow",Scarters,1,0,0,899,4.5,"4,693",55,"Tuesday, February 8",1,"4,693"
1,B06X19FLTC,"AmazonBasics Extended Gaming Mouse Pad,Black",AmazonBasics,1,1,0,469,4.5,"35,271",67,"Tuesday, February 8",1,"35,271"
2,B071CP6HQH,"RiaTech (250mm x 210mm x 2mm) Speed Type Mouse Pad with Antifray Stitched Embroidery Edges, Non-Slip Rubber Base Mousepad for Laptop PC - Black with Black Border",RiaTech,0,0,1,199,4.3,"12,074",75,"Tuesday, February 8",1,"12,074"
3,B08QJJCY2Q,"Tizum Mouse Pad for Laptop, Notebook, Gaming Computer| 9.4 X 7.9 Inches| Anti-Skid Base Mousepad (Design 4)",Tizum,0,0,0,179,4.4,"1,281",55,"Tuesday, February 8",1,"1,281"
4,B01J1CFO5I,Redgear MP35 Speed-Type Gaming Mousepad (Black/Red),Redgear,0,1,0,259,4.6,"23,965",53,"Friday, February 11",1,"23,965"
5,B07S7DCJKS,"IT2M Designer Mouse Pad for Laptop/Computer (9.2 X 7.6 Inches, 12788)",IT2M,0,0,0,195,4.3,"7,541",76,"Saturday, February 12",1,IT2M
6,B08QJLYY17,"Tizum Mouse Pad for Laptop, Notebook, Gaming Computer| 9.4 X 7.9 Inches| Anti-Skid Base Mousepa (Design 9)",Tizum,0,0,0,179,4.3,969,55,"Tuesday, February 8",1,969
7,B06X19FLTC,"AmazonBasics Extended Gaming Mouse Pad,Black",AmazonBasics,0,1,0,469,4.5,"35,271",67,"Tuesday, February 8",1,"35,271"
8,B08QZH6Y9R,Romonic Texture Design Pink Color Printed Mousepad for Laptop and Computer,Romonic,0,0,0,99,0,0,67,"Sunday, February 13",0,"₹99
₹299 Save ₹200 (67%)"
9,B08WLY8V9S,"Tukzer Gel Mouse Pad Wrist Rest Memory-Foam Ergonomic Mousepad| Cushion Wrist Support & Pain Relief| Suitable for Gaming, Computer, Laptop, Home & Office Non-Slip Rubber Base (Blue)",Tukzer,0,0,0,425,4.6,"1,780",53,"Friday, February 11",1,"1,780"
10,B08T86K4HD,"Seagull flight of fashion Large Extended Mouse Pad with Non-Slip Rubber Base, Stitched Embroidery Edge Mouse Mat for Laptop, Computer & Desk - 60 x 30 x 0.2 cm - Hexagon Print",Seagull,1,0,0,399,4.3,"1,178",50,"Tuesday, February 8",1,"1,178"
11,B08B8HLW5Y,"RiaTech Large Size (600mm x 300mm x 2mm) Extended Gaming Mouse Pad with Stitched Embroidery Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop/Computer- Black With Black Border",RiaTech,1,0,0,299,4.3,"12,074",84,"Friday, February 11",1,"12,074"
12,B095N9V74F,"ZORI Avenger Logo Gaming Mouse PAD for Computer, PC and Laptop",ZORI,0,0,0,165,4.2,494,67,"Saturday, February 12",1,494
13,B09QXC88MX,"ICW Speed Type Mouse Pad with Antifray , Non-Slip Rubber Base Mousepad for Laptop PC - Blue (Pack of 1)",ICW,0,0,0,149,2.1,3,75,"Sunday, February 13",1,3
14,B09PGJY7JV,"ROMONIC Mousepad Graphic Printed, Anti Skid Mousepad for Computer and Laptop (MP0079)",ROMONIC,0,0,0,89,4.4,122,70,"Sunday, February 13",0,122
15,B09PNJ1JJJ,"RiaTech (215mm x 185mm x 2.5mm) Speed Type Mouse Pad with Antifray Stitched Embroidery Edges, Non-Slip Rubber Base Mousepad for Laptop PC - Alternate Design",RiaTech,0,0,0,169,3.9,7,83,"Friday, February 11",1,7
16,B08WLY85VT,"Tukzer Gel Mouse Pad Wrist Rest Memory-Foam Ergonomic Mousepad| Cushion Wrist Support & Pain Relief| Suitable for Gaming, Computer, Laptop, Home & Office Non-Slip Rubber Base (Black)",Tukzer,0,0,0,425,4.6,"1,122",53,"Tuesday, February 8",1,"1,122"
17,B08WJ86PV2,RPM Euro Games Gaming Mousepad Speed Type Extended Large (Size - 800 mm x 300 mm x 3 mm),RPM,0,0,0,299,4.6,778,70,"Tuesday, February 8",1,778
18,B07JVKTKNJ,"TheYaYaCafe Good Vibes Only Motivational Quote Printed Mouse Pad for Computer, PC, Laptop",TheYaYaCafe,0,0,0,185,4.4,"3,177",38,"Saturday, February 12",1,"3,177"
19,B08KH81TZN,Printelligent Anti Slip Round Mouse Pad Desktops Computer PC and Laptop for Office and Home (Style -6),Printelligent,0,0,0,127,4.3,965,60,"Saturday, February 12",1,965
20,B097N39TWD,"Scarters Mouse Pad Vol. I for Work from Home/Office | Vegan Leather | Anti-Skid, Anti-Slip, Reversible use, Dual Color | Splash-Proof ~ Navy Blue & Yellow Ochre",Scarters,1,0,0,349,4.1,252,56,"Monday, February 14",1,252
21,B09FGMNBRM,"RiaTech Large Size (600mm x 300mm x 2mm) Speed Type Extended Gaming Mouse Pad with Stitched Embroidery Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop/Computer- (Good Vibes Only Quote)",RiaTech,1,0,0,449,4.2,473,82,"Tuesday, February 8",1,473
22,B09FGHMDWS,"RiaTech Extra Large Size (800mm x 400mm x 2mm) Speed Type Extended Gaming Mouse Pad with Stitched Embroidery Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop/Computer- (Good Vibes Only Quote)",RiaTech,1,0,0,699,4.2,473,77,"Friday, February 11",1,473
23,B094JGM85R,"Seagull flight of fashion Large Extended Mouse Pad with Non-Slip Rubber Base, Stitched Embroidery Edge Mouse Mat for Laptop, Computer & PC - 60 x 30 x 0.2 cm - Good Things Take Time - Quote",Seagull,1,0,0,399,4.3,"1,178",50,"Tuesday, February 8",1,"1,178"
24,B07YZCQ1GC,"OXYURA Gaming Mouse Pad, Black - Set of 1",OXYURA,0,0,0,99,4.3,"1,080",67,"Monday, February 14",0,"1,080"
25,B08QJHYHH9,"Tizum Mouse Pad for Laptop, Notebook, Gaming Computer| 9.4 X 7.9 Inches| Anti-Skid Base Mousepad (Design 1)",Tizum,0,0,0,179,4.4,514,55,"Tuesday, February 8",1,514
26,B085272RHN,"Vani Gel Mouse Pad, Ergonomic Mouse Pad with Gel Comfort Wrist Rest Support, Gaming Mouse Pad with Lycra Cloth Nonslip PU Base for Computer, Laptop, Home, Office & Travel (Gel Mousepad, Black)",Vani,0,0,0,299,4.0,"1,401",67,"Friday, February 11",1,"1,401"
27,B08PL2NTMM,Romonic Motivational Quotes Graphic Design Printed Mousepad for Laptop and Computers (MRP00014),Romonic,0,0,0,99,4.3,33,67,"Sunday, February 13",0,33
28,B097N39TWD,"Scarters Mouse Pad Vol. I for Work from Home/Office | Vegan Leather | Anti-Skid, Anti-Slip, Reversible use, Dual Color | Splash-Proof ~ Navy Blue & Yellow Ochre",Scarters,0,0,0,349,4.1,252,56,"Monday, February 14",1,252
29,B08YX64YM4,"WireScorts® Large Size (80 x 30 cm) Extended Water-Resistant Foldable Mouse Pad with Anti-Skid Rubber Base for Desktop, Laptop, Key-Board Mouse Mat",WireScorts®,0,0,0,249,4.5,109,75,"Friday, February 11",1,109
30,B08761D64D,"TNY Mouse Pad Premium-Textured Non-Slip Rubber Base Mousepad for Office and Home (Black, 9.5 x 8.0 x 0.12 Inches)",TNY,0,0,0,165,4.3,"1,005",67,"Saturday, February 12",1,"1,005"
31,B09NL1NHBZ,Lapster Speedo Type Non-Slip Rubber Base Mouse Pad with Antifray Stitched Embroidery Edges for Laptop PC - (240mm x 200mm x 2mm),Lapster,0,0,0,179,4.8,109,82,"Tuesday, February 8",1,109
32,B09LR63F1N,"RiaTech PU Leather (600mm x 300mm x 1.5mm) Extended Gaming Mouse Pad/ Reversible Desk Mat /Large Desk Pad for Work from Home/Office, Non-Slip Rubber Base Computer Waterproof Keyboard Pad -Brown",RiaTech,1,0,0,499,0,0,69,"Tuesday, February 8",1,"₹499
₹1,599 Save ₹1,100 (69%)"
33,B08G4F5718,"TheYaYaCafe Start Now Not Tomorrow Motivational Quote Printed Mouse Pad for Computer, PC, Laptop",TheYaYaCafe,1,0,0,199,4.4,"3,177",33,"Saturday, February 12",1,"3,177"
34,B08WQ29HJZ,"Cable World® Large Size (70 x 30 cm) Extended Water-Resistant Foldable Mouse Pad with Anti-Skid Rubber Base for Desktop, Laptop, Key-Board Mouse Mat",Cable,0,0,0,199,4.4,98,90,"Friday, February 11",1,98
35,B0994D4DF3,"ZORI Astronaut Mouse Pad for Work from Home/Office/Gaming |Anti-Skid, Anti-Slip, Rubber Base (Astronaut-1)",ZORI,0,0,0,149,3.4,6,70,"Saturday, February 12",1,6
36,B09QQ3N6P9,"INOVERA Anti Slip Rubber Mouse Pad for Home, Office & Gaming (Black, 24L x 20B x 0.2H cm)",INOVERA,0,0,0,136,0,0,85,"Tuesday, February 8",1,"₹136
₹899 Save ₹763 (85%)"
