,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B01EFVDDH6,"Lenovo 300 Wireless Compact Mouse, 1000 DPI Optical sensor, 2.4GHz Wireless Nano USB, 10m range, 3-button(left,right,scroll) upto 3M left/right clicks & 1yr battery, Ambidextrous, Ergonomic GX30K79401",Lenovo,1,0,0,689,4.4,"30,999",47,"Tuesday, February 8",1,"30,999"
1,B08D7CW8TC,Frontech MS0011 Wired Optical USB Mouse (Black),Frontech,1,0,0,0,3.6,15,0,,0,15
2,B01HJI0FS2,Dell MS116 1000DPI USB Wired Optical Mouse,Dell,0,0,1,289,4.5,"21,773",56,"Tuesday, February 8",1,"21,773"
3,B01J0XWYKQ,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",Logitech,0,0,0,599,4.4,"44,594",25,"Tuesday, February 8",1,"44,594"
4,B0819HZPXL,Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),Zebronics,0,1,0,420,4.4,"33,888",23,"Tuesday, February 8",1,"33,888"
5,B009VCGPSY,HP X1000 Wired Mouse (Black/Grey),HP,0,0,0,279,4.3,"41,902",30,"Tuesday, February 8",1,"41,902"
6,B003D8ZT0C,"Logitech M90 Wired USB Mouse, 3 yr Warranty, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Logitech,0,0,0,279,4.5,"20,023",29,"Tuesday, February 8",1,"20,023"
7,B07XBSX9X2,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,Zebronics,0,0,0,189,3.9,"3,713",17,"Friday, February 11",1,"3,713"
8,B079Y6JZC8,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",ZEBRONICS,0,1,0,81,3.6,130,73,,0,130
9,B07JPX9CR7,"Dell WM118 USB, Wireless Optical LED 3-Button Mouse, Black",Dell,0,0,0,629,4.4,"4,917",37,"Tuesday, February 8",1,"4,917"
10,B01MCZFGPK,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Red",Logitech,1,0,0,"1,099",4.6,"9,042",33,"Friday, February 11",1,"9,042"
11,B071VC9998,"Logitech M590 Multi-Device Silent Bluetooth Mouse–Move Text/Image/File Between 2 Windows/Mac/Android Devices with Bluetooth/USB,With 7 Customizable Buttons,Contoured Shape,2 Year Battery Life-Graphite",Logitech,1,0,0,"2,494",4.5,"8,187",17,"Friday, February 11",1,"8,187"
12,B073BRXPZX,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",Lenovo,0,0,0,299,4.4,"30,999",41,,1,"30,999"
13,B099SD8PRP,"Lenovo 130 USB Optical Compact Mouse, Black",Lenovo,0,0,0,549,4.4,"1,275",53,"Tuesday, February 8",1,"1,275"
14,B07L94YR16,Zebronics Zeb-Comfort+ Wired Mouse,Zebronics,0,0,0,212,3.6,"2,440",15,"Tuesday, February 8",1,"2,440"
15,B08CHZ3ZQ7,"Redgear A-15 Wired Gaming Mouse, Black",Redgear,0,0,0,599,4.3,"7,609",25,"Tuesday, February 8",1,"7,609"
16,B07L9FW9GF,Zebronics Zeb Power Wired Mouse,Zebronics,0,0,0,199,4.0,"3,277",0,"Tuesday, February 8",1,"3,277"
17,B01KK09ZKU,HP Z3700 Wireless Mouse Silver,HP,0,0,0,999,4.3,"15,395",33,"Tuesday, February 8",1,"15,395"
18,B07BLS34LQ,HP M100 Wired Gaming Optical Mouse (Black),HP,0,0,0,499,4.3,"1,559",17,"Tuesday, February 8",1,"1,559"
19,B08ZJKGMGQ,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Black)",Portronics,0,0,0,349,4.0,"11,011",42,"Tuesday, February 8",1,"11,011"
20,B07DNNBW7K,Zebronics Zeb-Shine Wireless Optical Mouse (Black),Zebronics,1,0,0,428,3.5,876,29,"Tuesday, February 8",1,876
21,B07L94YR16,Zebronics Zeb-Comfort+ Wired Mouse,Zebronics,1,0,0,212,3.6,"2,440",15,"Tuesday, February 8",1,"2,440"
22,B073BRXPZX,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",Lenovo,1,0,0,299,4.4,"30,999",41,,1,"30,999"
23,B08CT9Z6BQ,Zinq Technologies 818W 2.4 Ghz Wireless Mouse with 1600DPI for Laptop and Desktop with 2xAAA Duracell Batteries Included (Black),Zinq,1,0,0,299,3.6,"8,410",50,"Tuesday, February 8",1,"8,410"
24,B07KR5P3YD,Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750,Zebronics,0,0,0,449,3.9,"11,056",18,"Friday, February 11",1,"11,056"
25,B012DT5U96,Dell MS116 Optical Mouse,Dell,0,0,0,289,4.5,"11,160",56,,1,"11,160"
26,B07PSDYPSZ,Portronics POR-016 Toad 11 Wireless Mouse with 2.4GHz Technology (Grey),Portronics,0,0,0,399,3.9,"14,533",20,"Saturday, February 12",0,"14,533"
27,B09DL6DTYH,"Portronics Toad 13 2.4 GHz Wireless Optical Mouse with USB Nano Receiver, 1200 DPI Resolution Optical Sensor(Black)",Portronics,0,0,0,399,3.6,217,20,"Monday, February 14",0,217
28,B004IO5BMQ,"Logitech M235 Wireless Mouse, 2.4 GHz with USB Unifying Receiver, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop - Black/Grey",Logitech,0,0,0,645,4.5,"44,301",35,"Saturday, February 12",1,"44,301"
29,B09N7FNDY8,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Rose",Logitech,0,0,0,795,4.5,"24,473",39,"Tuesday, February 8",1,"24,473"
30,B08372ZPVS,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.",Redgear,0,0,0,349,4.3,"3,747",50,"Tuesday, February 8",1,"3,747"
