,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B018HSPN8U,Logitech M275 Wireless Mouse (Black),Logitech,1,0,0,"1,145",4.3,981,12,"Monday, February 14",1,981
1,B07X2L5Z8C,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Graphite",Logitech,1,0,0,"1,545",4.6,"6,720",23,"Monday, February 14",1,"6,720"
2,B01HJI0FS2,Dell MS116 1000DPI USB Wired Optical Mouse,Dell,0,0,1,289,4.5,"22,071",56,"Monday, February 14",1,"22,071"
3,B01J0XWYKQ,"Logitech B170 Wireless Mouse, 2.4 GHz with USB Nano Receiver, Optical Tracking, 12-Months Battery Life, Ambidextrous, PC/Mac/Laptop - Black",Logitech,0,1,0,645,4.4,"44,939",19,"Monday, February 14",1,"44,939"
4,B003D8ZT0C,"Logitech M90 Wired USB Mouse, 3 yr Warranty, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",Logitech,0,0,0,279,4.5,"20,160",29,"Monday, February 14",1,"20,160"
5,B0819HZPXL,Zebronics Zeb-Transformer-M Optical USB Gaming Mouse with LED Effect(Black),Zebronics,0,1,0,420,4.4,"34,173",23,"Monday, February 14",1,"34,173"
6,B009VCGPSY,HP X1000 Wired Mouse (Black/Grey),HP,0,0,0,279,4.3,"42,121",30,"Wednesday, February 16",1,"42,121"
7,B07XBSX9X2,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,Zebronics,0,0,0,189,3.9,"3,758",17,"Tuesday, February 15",1,"3,758"
8,B079Y6JZC8,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black",ZEBRONICS,0,0,0,209,3.7,148,16,"Wednesday, February 16",1,148
9,B01KK0HU3Y,HP Z3700 Wireless Mouse (Modern Gold),HP,0,0,0,899,4.3,"15,546",40,"Monday, February 14",1,"15,546"
10,B07YXNDK6X,"Logitech MX Master 3 Wireless Mouse, Ultrafast Scrolling, Use on Any Surface, Ergonomic, 4000 Dpi, Customisation, USB-C, Bluetooth/USB, Apple Mac iPad OS Microsoft PC Windows Linux, Dark Grey",Logitech,1,0,0,"7,995",4.6,"1,664",16,"Monday, February 14",1,"1,664"
11,B01MCZFGPK,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Red",Logitech,1,0,0,"1,099",4.6,"9,105",33,"Monday, February 14",1,"9,105"
12,B08CHZ3ZQ7,"Redgear A-15 Wired Gaming Mouse, Black",Redgear,0,0,0,599,4.3,"7,703",25,"Monday, February 14",1,"7,703"
13,B01EFVDDH6,"Lenovo 300 Wireless Compact Mouse, 1000 DPI Optical sensor, 2.4GHz Wireless Nano USB, 10m range, 3-button(left,right,scroll) upto 3M left/right clicks & 1yr battery, Ambidextrous, Ergonomic GX30K79401",Lenovo,0,0,0,649,4.4,"31,210",50,"Monday, February 14",1,"31,210"
14,B08372ZPVS,"Redgear A-10 Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Upto 2400, Compatible with Windows and MAC.",Redgear,0,0,0,349,4.3,"3,820",50,"Monday, February 14",1,"3,820"
15,B07JPX9CR7,"Dell WM118 USB, Wireless Optical LED 3-Button Mouse, Black",Dell,0,0,0,629,4.4,"5,025",37,"Monday, February 14",1,"5,025"
16,B099SD8PRP,"Lenovo 130 USB Optical Compact Mouse, Black",Lenovo,0,0,0,599,4.4,"1,328",49,"Monday, February 14",1,"1,328"
17,B08YDFX7Y1,"ZEBRONICS Zeb-Dash Plus 2.4 GHz Wireless Mouse with USB Nano Receiver, 4 Buttons, Power Saving Mode, for PC/Mac/Laptops (Black)",ZEBRONICS,0,0,0,365,3.5,"4,678",27,"Wednesday, February 16",0,"4,678"
18,B07BLS34LQ,HP M100 Wired Gaming Optical Mouse (Black),HP,0,0,0,499,4.3,"1,581",17,"Monday, February 14",1,"1,581"
19,B012DT5U96,Dell MS116 Optical Mouse,Dell,0,0,0,289,4.5,"11,209",56,,1,"11,209"
20,B071YZJ1G1,"Logitech MX Master 2S Wireless Mouse, Multi-Device, Bluetooth or 2.4GHz Wireless with USB Unifying Receiver, 4000 DPI Any Surface Tracking, 7 Buttons, Fast Rechargeable, Laptop/PC/Mac/iPad OS - Black",Logitech,1,0,0,"5,995",4.5,"10,393",33,"Monday, February 14",1,"10,393"
21,B08NLQ9CQK,"Logitech MX Anywhere 3 Compact Performance Mouse – Wireless, Magnetic Scrolling, Ergonomic, 4000DPI Sensor, Custom Buttons, USB-C, Bluetooth, Apple Mac, iPad, Windows PC, Linux, Chrome - Graphite",Logitech,1,0,0,"5,995",4.4,"7,846",25,"Monday, February 14",1,"7,846"
22,B01MQ2A86A,"Logitech M331 Silent Plus Wireless Mouse, 2.4GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 3 Buttons, 24 Month Life Battery, PC/Mac/Laptop - Black",Logitech,1,0,0,"1,099",4.6,"9,105",33,"Monday, February 14",1,"9,105"
23,B07X3PJLQR,"Logitech Pebble M350 Wireless Mouse with Bluetooth or USB - Silent, Slim Computer Mouse with Quiet Click for Laptop, Notebook, PC and Mac - Rose",Logitech,1,0,0,"1,545",4.6,"6,720",33,"Monday, February 14",1,"6,720"
24,B07J2NGB69,"Lenovo 400 Wireless Mouse, 1200DPI Optical Sensor, 2.4GHz Wireless Nano USB, 3-Button (Left,Right,Scroll) Upto 8M Left/Right & 100K Scroll clicks & 1yr Battery, Ambidextrous, Ergonomic GY50R91293",Lenovo,0,0,0,645,4.5,"3,831",54,"Monday, February 14",1,"3,831"
25,B07F67B927,Quantum QHM222 3-Button 400/8001000DPI Wired Optical Mouse with USB Interface (Black),Quantum,0,0,0,170,3.8,640,43,"Monday, February 14",1,640
26,B01J7F4AC2,Dragonwar Emera ELE-G11 Gaming Mouse (Black),Dragonwar,0,0,0,390,4.3,"6,143",22,"Wednesday, February 16",1,"6,143"
27,B07PT6Q376,Portronics POR-015 Toad 11 Wireless Mouse with 2.4GHz Technology (Blue),Portronics,0,0,0,349,3.9,"14,617",30,"Wednesday, February 16",1,"14,617"
28,B09DL6DTYH,"Portronics Toad 13 2.4 GHz Wireless Optical Mouse with USB Nano Receiver, 1200 DPI Resolution Optical Sensor(Black)",Portronics,0,0,0,299,3.7,256,40,"Wednesday, February 16",1,256
29,B09N7FNDY8,"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Rose",Logitech,0,0,0,795,4.5,"24,760",39,"Monday, February 14",1,"24,760"
30,B07L9FW9GF,Zebronics Zeb Power Wired Mouse,Zebronics,0,0,0,199,4.0,"3,317",0,"Monday, February 14",1,"3,317"
31,B08ZJKGMGQ,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Black)",Portronics,0,0,0,349,4.0,"11,069",42,"Monday, February 14",1,"11,069"
32,B08NM7KY6V,"Logitech MX Anywhere 3 Compact Performance Mouse – Wireless, Magnetic Scrolling, Ergonomic, 4000DPI Sensor, Custom Buttons, USB-C, Bluetooth, Apple Mac, iPad, Windows PC, Linux, Chrome - Rose",Logitech,1,0,0,"5,995",4.4,"7,846",25,"Monday, February 14",1,"7,846"
33,B01EFVDDH6,"Lenovo 300 Wireless Compact Mouse, 1000 DPI Optical sensor, 2.4GHz Wireless Nano USB, 10m range, 3-button(left,right,scroll) upto 3M left/right clicks & 1yr battery, Ambidextrous, Ergonomic GX30K79401",Lenovo,1,0,0,649,4.4,"31,210",50,"Monday, February 14",1,"31,210"
34,B09N94SK83,"EvoFox Shadow Gaming Mouse with 3600 DPI Gaming Sensor, 6 Buttons Design, Breathing Rainbow Lighting and 1.8m Braided Cable (Black)",EvoFox,0,0,0,499,4.6,28,38,"Wednesday, February 16",1,28
35,B07L94YR16,Zebronics Zeb-Comfort+ Wired Mouse,Zebronics,0,0,0,199,3.6,"2,469",33,"Monday, February 21",0,"2,469"
36,B083RD1J99,"HP 6VY96AA 100 Wired Mouse, Black",HP,0,0,0,327,4.2,"1,620",18,"Monday, February 14",1,"1,620"
37,B08CT9Z6BQ,Zinq Technologies 818W 2.4 Ghz Wireless Mouse with 1600DPI for Laptop and Desktop with 2xAAA Duracell Batteries Included (Black),Zinq,0,0,0,299,3.6,"8,493",50,"Monday, February 14",1,"8,493"
38,B081Q8HSHJ,"Ant Esports GM200W Optical Wired Gaming Mouse | 6 Programmable Buttons, 3200 DPI Adjustable and 7 Breathing Lights - Black",Ant,0,0,0,349,4.2,"6,031",65,"Monday, February 14",1,"6,031"
39,B07KR5P3YD,Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750,Zebronics,0,0,0,449,3.9,"11,238",18,"Tuesday, February 15",1,"11,238"
40,B09NKT829R,"HARRY & JAMES® Wireless Mouse for Laptops, 2.4Ghz Portable Slim Optical Mouse, 3-Level Adjustable DPI Compatible for Computer, MacBook, Wireless Mouse for Desktop (Multicolor)",HARRY,0,0,0,279,3.2,7,72,"Thursday, February 17",0,7
41,B09RMW2LQS,"Slim Wireless Mouse for Laptop, 2.4Ghz Portable Compatible Mouse for Desktop, PC",Slim,0,0,0,319,0,0,47,"Wednesday, February 16",0,"₹319
₹600 Save ₹281 (47%)"
42,B07L9FW9GF,Zebronics Zeb Power Wired Mouse,Zebronics,1,0,0,199,4.0,"3,317",0,"Monday, February 14",1,"3,317"
43,B07DNNBW7K,Zebronics Zeb-Shine Wireless Optical Mouse (Black),Zebronics,1,0,0,399,3.5,884,33,"Monday, February 14",1,884
44,B073BRXPZX,"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",Lenovo,1,0,0,449,4.4,"31,210",31,"Saturday, February 19",0,"31,210"
45,B00GN3TP4K,Quantum QHM222 3-Button 1000DPI Wired Optical Mouse (Black),Quantum,1,0,0,208,3.8,"2,554",30,"Monday, February 14",1,"2,554"
46,B08KZQPVJ7,"(Renewed) Redgear A-15 Wired Gaming Mouse with RGB, Semi-Honeycomb Design and Upto 6400 dpi for Windows PC Gamers.",(Renewed),0,0,0,377,3.7,141,37,"Monday, February 14",1,141
