,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08DFZ78JB,"Vinod Supreme Aluminium Induction Friendly Non-stick Cookware Set, 3pcs, Garnet Metallic(Fry Pan,Kadai With Lid,Tawa)",Vinod,1,0,0,"2,075",3.9,"2,095",36,"Friday, February 11",1,"2,095"
1,B09PGFXQJJ,"Vinod Popular Non-Stick 3 Pcs Cookware Combo Set - Kadai with Lid 24cm (2.4 litres), Fry Pan 24cm, Dosa Tawa 28cm Comes with Sturdy Riveted Bakelite Handle, Induction and Gas Stove Friendly - Red",Vinod,1,0,0,"1,900",5.0,1,42,"Friday, February 11",1,1
2,B00EYZQBIC,"Vinod Zest Non Stick Deep Fry Pan with Glass Lid- 22 cm, Blue/Black",Vinod,1,0,0,990,4.3,97,21,"Sunday, February 13",1,97
3,B07YCDBG17,"Bergner Argent 5CX 5-Ply Stainless Steel Fry Pan with Riveted Cast Handle & Induction Base (24 cm, Silver)",Bergner,1,0,0,"3,299",4.3,43,45,"Sunday, February 13",1,43
4,B09HMVZ9Z3,Panca Stainless Steel Copper Bottom Sauce Pan Tea Pan Milk Pan Tapeli Patila Induction Base 1.5 Litre Sauce Pot Milk Boiler Cookware with Handle (1500 ml),Panca,0,0,0,297,3.5,21,70,"Monday, February 14",1,21
5,B00EVQZ1T4,"Hawkins Futura Nonstick 3.25 mm Thickness Frying Pan (1 litre, 22 cm, Black)",Hawkins,0,0,1,765,4.5,"9,016",0,"Tuesday, February 8",1,"9,016"
6,B095S77C5H,"Prestige Aluminium Omega Select Plus IB Non-Stick Fry Pan, 200 mm, Multicolour, Medium",Prestige,0,0,0,529,4.2,335,25,"Sunday, February 13",1,335
7,B07KYPZHJ9,Pigeon Aluminium Nonstick Duo Pack Flat Tawa 250 and Fry Pan 200 Gift Set (Red),Pigeon,0,0,0,656,3.7,"3,216",56,"Tuesday, February 8",1,"3,216"
8,B00LP5BNJ6,"Prestige Aluminium Hard Anodised Tadka Pan, 100 mm, Black",Prestige,0,1,0,350,4.5,"3,645",15,"Sunday, February 13",0,"3,645"
9,B09MB9C3GJ,Metal Iron Tawa Pan with Handle Grip Loha Lokhand Pan Concave Tava for Roti Chapathi Paratha Fulka Dosa Omelette(23 cm),Metal,0,0,0,399,3.5,8,43,"Sunday, February 13",0,8
10,B00QWQ11O0,"Prestige Omega Deluxe Aluminium Granite Fry Pan, 200mm (Omelette Pan), Black",Prestige,0,0,0,730,4.2,"3,620",8,"Tuesday, February 8",1,"3,620"
11,B08WJN7WRV,"Meqstore Stainless Steel Copper Bottom Sauce Pan, Flat Base Sauce Pan, Tea Pan, Milk Pan, Tapeli Patila, Sauce Pot Cookware with Handle (1000 ml)",Meqstore,0,0,0,299,3.9,"1,498",57,"Saturday, February 12",0,"1,498"
12,B08KM8CR5R,"Milton Pro Cook Black Pearl Induction Fry Pan with Glass Lid, 22 cm / 1.4 Litre",Milton,0,0,0,792,4.0,169,20,"Wednesday, February 9",1,169
13,B08XNGQK63,"Rock Tawa 4cv Mini Square Pre Seasoned Cast Iron Skillet Pan, 7.5inch",Rock,0,0,0,800,4.2,46,56,"Wednesday, February 16",1,46
14,B07TJV4DKD,"Cello Aluminium Non Stick Grill Pan Square Black- Gas Stove Compatible Only Red, Cherry",Cello,0,0,0,649,4.2,"1,966",50,"Friday, February 11",1,"1,966"
15,B07QNL956Q,"Perfect Non-Stick Taper Frying Pan 240MM,Aluminium, Black",Perfect,0,0,0,375,4.1,786,26,"Tuesday, February 8",0,786
16,B0732NXYNS,"CAROTE 20cm Frying Pan Aluminium PFOA Free Stone-Derived Non-Stick Coating from Switzerland, Handle Soft Touch, Suitable for All Stove Including Induction (Silver, Steel)",CAROTE,0,0,0,"1,199",4.5,"16,306",60,"Friday, February 11",1,"16,306"
17,B07S7DNXVV,"neelam CIBS010W Stainless Steel Sauce Pan, 1150ml, 1 Piece (Silver)",neelam,0,0,0,363,4.3,755,2,"Tuesday, February 8",0,755
18,B08LN53L3F,"Kanshita's Rasoiware Heavy Gauge Stainless Steel Saucepan/Tea Pan, (Induction Cookware) 1 Liter",Kanshita's,0,0,0,379,4.7,31,46,"Saturday, February 12",1,31
19,B09J14KF52,Sempl Carbon Steel Fry Pan Induction Bottom Non-Stick 20cm Diameter /1 LTR Capacity,Sempl,0,0,0,275,3.5,42,30,"Saturday, February 12",1,42
20,B07PC1QXZN,"Amazon Brand - Solimo Cast Iron Grill Pan, 26cm, Red",Amazon,1,0,0,"2,349",3.7,51,53,"Sunday, February 13",1,51
21,B00EVQYIQQ,"Hawkins Futura Nonstick Frying Pan with Glass Lid, Capacity 1.5 L Diameter 26 cm, Thickness 3.25 mm, Black",Hawkins,1,1,0,"1,299",4.5,"9,016",0,"Tuesday, February 8",1,"9,016"
22,B07Y579B1S,"AmazonBasics Ceramic Non-Stick 32 cm Pan, Grey",AmazonBasics,1,0,0,"1,449",4.2,54,53,"Tuesday, February 8",1,54
23,B074RPCNMX,"AmazonBasics Non-Stick 3-Piece Fry Pan Set (8, 10 & 12 Inch)",AmazonBasics,1,0,0,"1,419",4.2,"3,604",45,"Tuesday, February 8",1,"3,604"
24,B08Y5SVSDX,HOMEST Non-Stick Aluminum Vagariya Spice Heating Tadka Pan (11 cm),HOMEST,0,0,0,199,3.6,4,80,"Sunday, February 13",0,4
