,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base
0,B08D15G16P,"Vinod Stainless steel induction friendly Modena cookware set -3 pieces(Saucepan, Fry pan , Kadhai)",Vinod,1,0,0,"2,090",4.0,223,38,"Friday, February 18",1,223
1,B09PGFXQJJ,"Vinod Popular Non-Stick 3 Pcs Cookware Combo Set - Kadai with Lid 24cm (2.4 litres), Fry Pan 24cm, Dosa Tawa 28cm Comes with Sturdy Riveted Bakelite Handle, Induction and Gas Stove Friendly - Red",Vinod,1,0,0,"1,900",5.0,1,42,"Wednesday, February 16",1,1
2,B09MHZ87TS,Kanshita's Rasoiware Premium Aluminium Induction Bottom Fry Pan/ Tadka Pan (1 Liter),Kanshita's,1,0,0,429,0,0,67,"Wednesday, February 16",1,"₹429
₹1,299 Save ₹870 (67%)"
3,B001IAUG4Q,"USA Pans Aluminized Steel Pan, Grey",USA,1,0,0,"2,129",4.8,653,33,"Friday, February 18",1,653
4,B00EVQZ1T4,"Hawkins Futura Nonstick 3.25 mm Thickness Frying Pan (1 litre, 22 cm, Black)",Hawkins,0,0,1,765,4.5,"9,097",17,"Monday, February 14",1,"9,097"
5,B00LP5BNJ6,"Prestige Aluminium Hard Anodised Tadka Pan, 100 mm, Black",Prestige,0,1,0,349,4.5,"3,677",21,"Wednesday, February 16",0,"3,677"
6,B095S77C5H,"Prestige Aluminium Omega Select Plus IB Non-Stick Fry Pan, 200 mm, Multicolour, Medium",Prestige,0,0,0,529,4.2,340,25,"Friday, February 18",1,340
7,B07QNL956Q,"Perfect Non-Stick Taper Frying Pan 240MM,Aluminium, Black",Perfect,0,0,0,375,4.1,795,26,"Monday, February 14",0,795
8,B07KYPZHJ9,Pigeon Aluminium Nonstick Duo Pack Flat Tawa 250 and Fry Pan 200 Gift Set (Red),Pigeon,0,0,0,581,3.7,"3,298",61,"Monday, February 14",1,"3,298"
9,B07YCKNNCB,"Cello Prima Hard Anodized Sauce Pan, 1.5 litres, Black",Cello,0,0,0,649,3.8,509,32,"Thursday, February 17",1,509
10,B00QWQ11O0,"Prestige Omega Deluxe Aluminium Granite Fry Pan, 200mm (Omelette Pan), Black",Prestige,0,0,0,730,4.2,"3,635",8,"Monday, February 14",1,"3,635"
11,B00S9GEQ98,"Tosaa Square Grill Pan, Black/Red (22cmx22cm)",Tosaa,0,0,0,336,4.0,"2,861",57,"Monday, February 14",0,"2,861"
12,B003SLDNEI,"Hawkins Futura Small Tadka Pan, Hard Anodised Spice Heating Pan, Black (ATP1), 1 Cup",Hawkins,0,0,0,359,4.5,"1,056",0,"Friday, February 18",1,"1,056"
13,B08WJN7WRV,"Meqstore Stainless Steel Copper Bottom Sauce Pan, Flat Base Sauce Pan, Tea Pan, Milk Pan, Tapeli Patila, Sauce Pot Cookware with Handle (1000 ml)",Meqstore,0,0,0,299,3.9,"1,527",57,"Wednesday, February 16",0,"1,527"
14,B07S7DNXVV,"neelam CIBS010W Stainless Steel Sauce Pan, 1150ml, 1 Piece (Silver)",neelam,0,0,0,363,4.3,773,2,"Monday, February 14",0,773
15,B08KM8CR5R,"Milton Pro Cook Black Pearl Induction Fry Pan with Glass Lid, 22 cm / 1.4 Litre",Milton,0,0,0,792,4.0,176,20,"Tuesday, February 15",1,176
16,B08XMTBLVT,"Panca Premium Grill Pan Mini Pan Uttapam Tawa Non Stick Uttapam Pan for Cooking Multi Snack Maker 4 in 1, Mini Pancake Maker, Mini Crepe Pan, Pancake Moulds , Aluminium",Panca,0,0,0,299,3.7,106,70,"Friday, February 18",1,106
17,B08LN53L3F,"Kanshita's Rasoiware Heavy Gauge Stainless Steel Saucepan/Tea Pan, (Induction Cookware) 1 Liter",Kanshita's,0,0,0,379,4.7,35,46,"Wednesday, February 16",1,35
18,B07TJV4DKD,"Cello Aluminium Non Stick Grill Pan Square Black- Gas Stove Compatible Only Red, Cherry",Cello,0,0,0,649,4.2,"1,989",50,"Wednesday, February 16",1,"1,989"
19,B09J14KF52,Sempl Carbon Steel Fry Pan Induction Bottom Non-Stick 20cm Diameter /1 LTR Capacity,Sempl,0,0,0,275,3.6,50,30,"Wednesday, February 16",1,50
20,B00EVQYIQQ,"Hawkins Futura Nonstick Frying Pan with Glass Lid, Capacity 1.5 L Diameter 26 cm, Thickness 3.25 mm, Black",Hawkins,1,1,0,"1,300",4.5,"9,097",11,"Monday, February 14",1,"9,097"
21,B08GG92NST,"Bergner Argent 5CX 5-Ply Stainless Steel Fry Pan with Riveted Cast Handle & Induction Base (20 cm, Silver)",Bergner,1,0,0,"2,999",4.7,4,39,"Wednesday, February 16",1,4
22,B074RPCNMX,"AmazonBasics Non-Stick 3-Piece Fry Pan Set (8, 10 & 12 Inch)",AmazonBasics,1,0,0,"1,499",4.2,"3,623",42,"Monday, February 14",1,"3,623"
23,B07P913GS1,"Amazon Brand - Solimo Non-Stick Tawa with 2-Way Non-Stick Coating, 26cm (Induction and Gas Stove Compatible), Aluminium, Black",Amazon,1,0,0,559,4.1,"2,508",30,"Monday, February 14",1,"2,508"
